# distance_A^-1 band_1_absolute_eV band_2_absolute_eV band_3_absolute_eV band_4_absolute_eV band_5_absolute_eV band_6_absolute_eV band_7_absolute_eV band_8_absolute_eV band_9_absolute_eV band_10_absolute_eV band_11_absolute_eV band_12_absolute_eV band_13_absolute_eV band_14_absolute_eV band_15_absolute_eV band_16_absolute_eV band_17_absolute_eV band_18_absolute_eV band_19_absolute_eV band_20_absolute_eV band_21_absolute_eV band_22_absolute_eV band_23_absolute_eV band_24_absolute_eV band_25_absolute_eV band_26_absolute_eV band_27_absolute_eV band_28_absolute_eV band_29_absolute_eV band_30_absolute_eV band_31_absolute_eV band_32_absolute_eV band_33_absolute_eV band_34_absolute_eV band_35_absolute_eV band_36_absolute_eV band_37_absolute_eV band_38_absolute_eV band_39_absolute_eV band_40_absolute_eV band_41_absolute_eV band_42_absolute_eV band_43_absolute_eV band_44_absolute_eV band_45_absolute_eV band_46_absolute_eV band_47_absolute_eV band_48_absolute_eV band_49_absolute_eV band_50_absolute_eV band_51_absolute_eV band_52_absolute_eV band_53_absolute_eV band_54_absolute_eV band_55_absolute_eV band_56_absolute_eV band_57_absolute_eV band_58_absolute_eV band_59_absolute_eV band_60_absolute_eV band_61_absolute_eV band_62_absolute_eV band_63_absolute_eV band_64_absolute_eV
0.00000000000000e+00 -2.63835300000000e+00 -2.48730100000000e+00 3.40569000000000e+00 3.43228600000000e+00 3.46439500000000e+00 4.65942400000000e+00 4.66946800000000e+00 5.31466700000000e+00 5.33408600000000e+00 5.36572600000000e+00 7.34322900000000e+00 7.34401000000000e+00 3.04181030000000e+01 3.04246590000000e+01 3.04338800000000e+01 3.06791760000000e+01 3.06886750000000e+01 3.06953020000000e+01 3.57269380000000e+01 3.57339860000000e+01 3.58700220000000e+01 3.58765750000000e+01 3.79371210000000e+01 3.79573130000000e+01 3.79831950000000e+01 3.81495010000000e+01 3.82894880000000e+01 3.84680230000000e+01 3.86060050000000e+01 3.86330420000000e+01 3.86541900000000e+01 3.93600550000000e+01 3.94887650000000e+01 3.96045060000000e+01 5.43865470000000e+01 5.49194720000000e+01 6.17934170000000e+01 6.18012440000000e+01 6.18062230000000e+01 6.37171890000000e+01 6.37256580000000e+01 6.37376590000000e+01 7.17393640000000e+01 7.41517470000000e+01 7.41647280000000e+01 7.46099150000000e+01 7.46248290000000e+01 7.46378710000000e+01 7.50012700000000e+01 7.50247080000000e+01 7.50520030000000e+01 7.66337350000000e+01 7.66573710000000e+01 7.66775240000000e+01 9.04384210000000e+01 9.24228270000000e+01 9.27692030000000e+01 9.35244630000000e+01 1.00708841000000e+02 1.00753821000000e+02 1.00804229000000e+02 1.00917475000000e+02 1.01023616000000e+02 1.01369225000000e+02
1.10617452285023e-02 -2.63784200000000e+00 -2.48678700000000e+00 3.40576000000000e+00 3.43228000000000e+00 3.46446000000000e+00 4.65927300000000e+00 4.66948300000000e+00 5.31472800000000e+00 5.33406200000000e+00 5.36579200000000e+00 7.34301400000000e+00 7.34404300000000e+00 3.04155110000000e+01 3.04241250000000e+01 3.04330180000000e+01 3.06776620000000e+01 3.06876590000000e+01 3.06928240000000e+01 3.57248940000000e+01 3.57346530000000e+01 3.58658290000000e+01 3.58805810000000e+01 3.79043990000000e+01 3.79128950000000e+01 3.79668600000000e+01 3.81851310000000e+01 3.83346190000000e+01 3.84882120000000e+01 3.85954090000000e+01 3.86144010000000e+01 3.86474330000000e+01 3.93733360000000e+01 3.95087070000000e+01 3.96161320000000e+01 5.43867170000000e+01 5.49199190000000e+01 6.17932380000000e+01 6.18013430000000e+01 6.18060180000000e+01 6.37164540000000e+01 6.37258510000000e+01 6.37370760000000e+01 7.17339220000000e+01 7.41238930000000e+01 7.41597800000000e+01 7.45942380000000e+01 7.46225420000000e+01 7.46348150000000e+01 7.50144420000000e+01 7.50250820000000e+01 7.50779220000000e+01 7.66426470000000e+01 7.66575820000000e+01 7.66917220000000e+01 9.04409110000000e+01 9.24200960000000e+01 9.27711670000000e+01 9.35213600000000e+01 1.00658994000000e+02 1.00666634000000e+02 1.00757257000000e+02 1.00856344000000e+02 1.00945118000000e+02 1.01303673000000e+02
2.21234904570045e-02 -2.63629400000000e+00 -2.48523300000000e+00 3.40596700000000e+00 3.43226400000000e+00 3.46465900000000e+00 4.65880100000000e+00 4.66954800000000e+00 5.31490800000000e+00 5.33398800000000e+00 5.36599500000000e+00 7.34220400000000e+00 7.34430700000000e+00 3.04062610000000e+01 3.04230890000000e+01 3.04313710000000e+01 3.06701310000000e+01 3.06838590000000e+01 3.06891770000000e+01 3.57055790000000e+01 3.57499730000000e+01 3.58510810000000e+01 3.58948060000000e+01 3.78088870000000e+01 3.78210850000000e+01 3.79609520000000e+01 3.82440890000000e+01 3.84290470000000e+01 3.85443940000000e+01 3.85574510000000e+01 3.85674510000000e+01 3.86395000000000e+01 3.94079220000000e+01 3.95641090000000e+01 3.96513970000000e+01 5.43872250000000e+01 5.49212610000000e+01 6.17925010000000e+01 6.18016290000000e+01 6.18056090000000e+01 6.37137280000000e+01 6.37264320000000e+01 6.37358470000000e+01 7.17174770000000e+01 7.40403870000000e+01 7.41592090000000e+01 7.45351120000000e+01 7.46225380000000e+01 7.46336810000000e+01 7.50229860000000e+01 7.50262500000000e+01 7.51723860000000e+01 7.66514510000000e+01 7.66582040000000e+01 7.67494940000000e+01 9.04481300000000e+01 9.24115130000000e+01 9.27770450000000e+01 9.35120410000000e+01 1.00552225000000e+02 1.00650009000000e+02 1.00710165000000e+02 1.00788262000000e+02 1.00833279000000e+02 1.01068523000000e+02
3.31852356855068e-02 -2.63370900000000e+00 -2.48263900000000e+00 3.40630800000000e+00 3.43223800000000e+00 3.46499400000000e+00 4.65795600000000e+00 4.66971400000000e+00 5.31520100000000e+00 5.33386600000000e+00 5.36634000000000e+00 7.34075200000000e+00 7.34484800000000e+00 3.03893490000000e+01 3.04218660000000e+01 3.04297270000000e+01 3.06517960000000e+01 3.06800550000000e+01 3.06865030000000e+01 3.56728960000000e+01 3.57764370000000e+01 3.58262850000000e+01 3.59188530000000e+01 3.76979720000000e+01 3.77106440000000e+01 3.79603100000000e+01 3.82936370000000e+01 3.84650270000000e+01 3.84932740000000e+01 3.85729960000000e+01 3.86296510000000e+01 3.86438090000000e+01 3.94527030000000e+01 3.96456210000000e+01 3.97110760000000e+01 5.43880610000000e+01 5.49234840000000e+01 6.17906910000000e+01 6.18020670000000e+01 6.18055430000000e+01 6.37078380000000e+01 6.37274690000000e+01 6.37350760000000e+01 7.16896710000000e+01 7.39296040000000e+01 7.41595160000000e+01 7.44399670000000e+01 7.46246070000000e+01 7.46341270000000e+01 7.50257050000000e+01 7.50280950000000e+01 7.53121730000000e+01 7.66549320000000e+01 7.66591920000000e+01 7.68492490000000e+01 9.04602070000000e+01 9.23968480000000e+01 9.27868450000000e+01 9.34964280000000e+01 1.00354728000000e+02 1.00406596000000e+02 1.00625469000000e+02 1.00688409000000e+02 1.00828839000000e+02 1.00906863000000e+02
4.42469809140091e-02 -2.63008800000000e+00 -2.47899700000000e+00 3.40680900000000e+00 3.43225400000000e+00 3.46550400000000e+00 4.65668800000000e+00 4.67008700000000e+00 5.31564700000000e+00 5.33376600000000e+00 5.36688200000000e+00 7.33869100000000e+00 7.34566700000000e+00 3.03651580000000e+01 3.04203450000000e+01 3.04279800000000e+01 3.06240810000000e+01 3.06764820000000e+01 3.06833600000000e+01 3.56282420000000e+01 3.57919600000000e+01 3.58132700000000e+01 3.59523410000000e+01 3.75825820000000e+01 3.75947010000000e+01 3.79608030000000e+01 3.83134400000000e+01 3.83845000000000e+01 3.84415160000000e+01 3.86350150000000e+01 3.86899800000000e+01 3.87470780000000e+01 3.95006830000000e+01 3.97446730000000e+01 3.97929390000000e+01 5.43892900000000e+01 5.49266080000000e+01 6.17879590000000e+01 6.18029830000000e+01 6.18063970000000e+01 6.36986140000000e+01 6.37291920000000e+01 6.37356170000000e+01 7.16502550000000e+01 7.38096780000000e+01 7.41601180000000e+01 7.43191070000000e+01 7.46275300000000e+01 7.46355700000000e+01 7.50277960000000e+01 7.50302460000000e+01 7.54757470000000e+01 7.66572910000000e+01 7.66606950000000e+01 7.69790510000000e+01 9.04772180000000e+01 9.23766710000000e+01 9.28005890000000e+01 9.34744270000000e+01 1.00128961000000e+02 1.00172317000000e+02 1.00463470000000e+02 1.00541071000000e+02 1.00570755000000e+02 1.00715768000000e+02
5.53087261425113e-02 -2.62543200000000e+00 -2.47432400000000e+00 3.40739900000000e+00 3.43220800000000e+00 3.46613000000000e+00 4.65493800000000e+00 4.67061700000000e+00 5.31613500000000e+00 5.33354600000000e+00 5.36754200000000e+00 7.33603100000000e+00 7.34669000000000e+00 3.03341700000000e+01 3.04184250000000e+01 3.04259360000000e+01 3.05883940000000e+01 3.06723410000000e+01 3.06794060000000e+01 3.55726920000000e+01 3.57486760000000e+01 3.58600070000000e+01 3.59949820000000e+01 3.74658480000000e+01 3.74773320000000e+01 3.79617720000000e+01 3.82590480000000e+01 3.82875700000000e+01 3.84565780000000e+01 3.86358540000000e+01 3.88186830000000e+01 3.88677340000000e+01 3.95505330000000e+01 3.98552960000000e+01 3.98918450000000e+01 5.43907160000000e+01 5.49305210000000e+01 6.17828320000000e+01 6.18041620000000e+01 6.18077120000000e+01 6.36850120000000e+01 6.37312800000000e+01 6.37370010000000e+01 7.15981050000000e+01 7.36900660000000e+01 7.41608210000000e+01 7.41794600000000e+01 7.46303800000000e+01 7.46385660000000e+01 7.50300860000000e+01 7.50326310000000e+01 7.56529230000000e+01 7.66593230000000e+01 7.66623710000000e+01 7.71302160000000e+01 9.04990920000000e+01 9.23503120000000e+01 9.28182410000000e+01 9.34458420000000e+01 9.97914430000000e+01 9.99825910000000e+01 1.00244135000000e+02 1.00291921000000e+02 1.00431716000000e+02 1.00674326000000e+02
6.63704713710136e-02 -2.61974300000000e+00 -2.46861300000000e+00 3.40810200000000e+00 3.43215600000000e+00 3.46691800000000e+00 4.65269600000000e+00 4.67137100000000e+00 5.31670200000000e+00 5.33328300000000e+00 5.36838400000000e+00 7.33277900000000e+00 7.34794400000000e+00 3.02967920000000e+01 3.04160540000000e+01 3.04234940000000e+01 3.05454190000000e+01 3.06673810000000e+01 3.06745450000000e+01 3.55073750000000e+01 3.56969290000000e+01 3.59162870000000e+01 3.60464590000000e+01 3.73491640000000e+01 3.73601330000000e+01 3.79629560000000e+01 3.81661820000000e+01 3.81846860000000e+01 3.85093730000000e+01 3.86370240000000e+01 3.89511590000000e+01 3.89953860000000e+01 3.96033130000000e+01 3.99738210000000e+01 4.00026910000000e+01 5.43923900000000e+01 5.49352280000000e+01 6.17760210000000e+01 6.18058660000000e+01 6.18095690000000e+01 6.36677900000000e+01 6.37338980000000e+01 6.37392210000000e+01 7.15329430000000e+01 7.35764360000000e+01 7.40267260000000e+01 7.41620260000000e+01 7.46325230000000e+01 7.46436600000000e+01 7.50327780000000e+01 7.50353890000000e+01 7.58386110000000e+01 7.66615140000000e+01 7.66644070000000e+01 7.72969710000000e+01 9.05256960000000e+01 9.23177550000000e+01 9.28398620000000e+01 9.34104760000000e+01 9.95230870000000e+01 9.95589480000000e+01 1.00001232000000e+02 1.00081645000000e+02 1.00400401000000e+02 1.00743422000000e+02
7.74322165995159e-02 -2.61301800000000e+00 -2.46184600000000e+00 3.40898900000000e+00 3.43216500000000e+00 3.46796700000000e+00 4.65003500000000e+00 4.67237600000000e+00 5.31744600000000e+00 5.33307200000000e+00 5.36955200000000e+00 7.32898200000000e+00 7.34943900000000e+00 3.02534300000000e+01 3.04131900000000e+01 3.04205870000000e+01 3.04957050000000e+01 3.06614900000000e+01 3.06687130000000e+01 3.54334250000000e+01 3.56373310000000e+01 3.59816390000000e+01 3.61064230000000e+01 3.72333340000000e+01 3.72439260000000e+01 3.79637830000000e+01 3.80636140000000e+01 3.80793330000000e+01 3.85742720000000e+01 3.86385870000000e+01 3.90858100000000e+01 3.91275780000000e+01 3.96601320000000e+01 4.00980240000000e+01 4.01217960000000e+01 5.43944180000000e+01 5.49407650000000e+01 6.17679070000000e+01 6.18090220000000e+01 6.18128600000000e+01 6.36474130000000e+01 6.37378220000000e+01 6.37429140000000e+01 7.14549190000000e+01 7.34719720000000e+01 7.38659720000000e+01 7.41633300000000e+01 7.46342600000000e+01 7.46507400000000e+01 7.50361890000000e+01 7.50388400000000e+01 7.60299300000000e+01 7.66644810000000e+01 7.66673250000000e+01 7.74751870000000e+01 9.05573320000000e+01 9.22791350000000e+01 9.28654510000000e+01 9.33680880000000e+01 9.92688890000000e+01 9.93853860000000e+01 9.98002210000000e+01 9.99394220000000e+01 1.00230099000000e+02 1.00498638000000e+02
8.84939618280181e-02 -2.60526400000000e+00 -2.45406100000000e+00 3.40987900000000e+00 3.43210000000000e+00 3.46911200000000e+00 4.64680800000000e+00 4.67357100000000e+00 5.31810900000000e+00 5.33272000000000e+00 5.37081500000000e+00 7.32454800000000e+00 7.35114600000000e+00 3.02044580000000e+01 3.04097530000000e+01 3.04171350000000e+01 3.04398020000000e+01 3.06545840000000e+01 3.06618450000000e+01 3.53519110000000e+01 3.55704960000000e+01 3.60555710000000e+01 3.61744930000000e+01 3.71187650000000e+01 3.71290980000000e+01 3.79514040000000e+01 3.79595350000000e+01 3.79840570000000e+01 3.86394030000000e+01 3.86473060000000e+01 3.92217580000000e+01 3.92628780000000e+01 3.97214750000000e+01 4.02263860000000e+01 4.02466730000000e+01 5.43964370000000e+01 5.49468990000000e+01 6.17580520000000e+01 6.18116530000000e+01 6.18155730000000e+01 6.36234100000000e+01 6.37414630000000e+01 6.37464060000000e+01 7.13632210000000e+01 7.33783940000000e+01 7.36992800000000e+01 7.41647550000000e+01 7.46358220000000e+01 7.46590960000000e+01 7.50397810000000e+01 7.50424620000000e+01 7.62249270000000e+01 7.66672540000000e+01 7.66701610000000e+01 7.76615570000000e+01 9.05937770000000e+01 9.22336670000000e+01 9.28950360000000e+01 9.33183490000000e+01 9.89751490000000e+01 9.90671160000000e+01 9.94114310000000e+01 9.95868650000000e+01 9.99443870000000e+01 1.00158062000000e+02
9.95557070565204e-02 -2.59647900000000e+00 -2.44524200000000e+00 3.41084200000000e+00 3.43203100000000e+00 3.47045900000000e+00 4.64309900000000e+00 4.67497600000000e+00 5.31878900000000e+00 5.33232500000000e+00 5.37232400000000e+00 7.31952600000000e+00 7.35307600000000e+00 3.01502960000000e+01 3.03779580000000e+01 3.04058840000000e+01 3.04131730000000e+01 3.06465890000000e+01 3.06538780000000e+01 3.52638230000000e+01 3.54970450000000e+01 3.61375780000000e+01 3.62502730000000e+01 3.70058260000000e+01 3.70159890000000e+01 3.78495190000000e+01 3.78594880000000e+01 3.79728520000000e+01 3.86423750000000e+01 3.87238630000000e+01 3.93584760000000e+01 3.94006070000000e+01 3.97876940000000e+01 4.03580290000000e+01 4.03758510000000e+01 5.43985340000000e+01 5.49536460000000e+01 6.17467430000000e+01 6.18146960000000e+01 6.18186750000000e+01 6.35961330000000e+01 6.37456060000000e+01 6.37504480000000e+01 7.12588160000000e+01 7.32964110000000e+01 7.35292000000000e+01 7.41663790000000e+01 7.46374340000000e+01 7.46687270000000e+01 7.50438350000000e+01 7.50465380000000e+01 7.64222570000000e+01 7.66703750000000e+01 7.66735960000000e+01 7.78540370000000e+01 9.06350560000000e+01 9.21814490000000e+01 9.29286170000000e+01 9.32609890000000e+01 9.87131450000000e+01 9.87667300000000e+01 9.92354110000000e+01 9.94569870000000e+01 9.99013100000000e+01 1.00146761000000e+02
