# SHG chi units=pm/V component=xxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -2.87245518771155582e-04 6.07072368599495413e-07
2.01005025125628144e-02 -6.62343535314915358e-04 -3.70485113465662065e-05
4.02010050251256287e-02 -4.72858406736042895e-04 -1.82619998549308277e-05
6.03015075376884396e-02 -4.11505387000358786e-04 -1.19890805493706419e-05
8.04020100502512575e-02 -3.81534350705850858e-04 -8.85493934743772484e-06
1.00502512562814075e-01 -3.64181080939984738e-04 -6.97740563991078077e-06
1.20603015075376879e-01 -3.53245222465133090e-04 -5.72845263406263830e-06
1.40703517587939697e-01 -3.46082198017404175e-04 -4.83880956750633748e-06
1.60804020100502515e-01 -3.41375881246331865e-04 -4.17381058557468425e-06
1.80904522613065333e-01 -3.38399984545441508e-04 -3.65863183137685804e-06
2.01005025125628151e-01 -3.36723520881931318e-04 -3.24837571270641540e-06
2.21105527638190968e-01 -3.36077235949537145e-04 -2.91446972779712385e-06
2.41206030150753759e-01 -3.36286989220259023e-04 -2.63786529985153386e-06
2.61306532663316604e-01 -3.37238008928549048e-04 -2.40537487645247548e-06
2.81407035175879394e-01 -3.38854588229338264e-04 -2.20757845993802773e-06
3.01507537688442184e-01 -3.41088032377215842e-04 -2.03756793642167918e-06
3.21608040201005030e-01 -3.43909269330073967e-04 -1.89016151679683087e-06
3.41708542713567820e-01 -3.47304230738029751e-04 -1.76139587528847544e-06
3.61809045226130666e-01 -3.51270958378464902e-04 -1.64818718674502567e-06
3.81909547738693456e-01 -3.55817838619513485e-04 -1.54809907481271295e-06
4.02010050251256301e-01 -3.60962615598901110e-04 -1.45918004831720408e-06
4.22110552763819091e-01 -3.66731977957101283e-04 -1.37984738881314217e-06
4.42211055276381937e-01 -3.73161602215103198e-04 -1.30880197763737508e-06
4.62311557788944727e-01 -3.80296593566507163e-04 -1.24496580813122234e-06
4.82412060301507517e-01 -3.88192306254862818e-04 -1.18743404503962208e-06
5.02512562814070307e-01 -3.96915558743457498e-04 -1.13543864920083583e-06
5.22613065326633208e-01 -4.06546289894505895e-04 -1.08831967027564105e-06
5.42713567839195998e-01 -4.17179735073003983e-04 -1.04550231120112332e-06
5.62814070351758788e-01 -4.28929240442414608e-04 -1.00647792040019297e-06
5.82914572864321578e-01 -4.41929884283492436e-04 -9.70787920343521304e-07
6.03015075376884369e-01 -4.56343143610258726e-04 -9.38009362081571002e-07
6.23115577889447270e-01 -4.72362942728523868e-04 -9.07741256446378479e-07
6.43216080402010060e-01 -4.90223565001086199e-04 -8.79590752154400691e-07
6.63316582914572850e-01 -5.10210127464034643e-04 -8.53157988605890084e-07
6.83417085427135640e-01 -5.32672658265259560e-04 -8.28018277554222097e-07
7.03517587939698541e-01 -5.58045364020845762e-04 -8.03699307953543057e-07
7.23618090452261331e-01 -5.86873586105718771e-04 -7.79650761046264864e-07
7.43718592964824121e-01 -6.19852525159420996e-04 -7.55200427835785779e-07
7.63819095477386911e-01 -6.57884673542791926e-04 -7.29489011168103762e-07
7.83919597989949701e-01 -7.02168326040218671e-04 -7.01367041263343549e-07
8.04020100502512602e-01 -7.54340389541015700e-04 -6.69224585705962272e-07
8.24120603015075393e-01 -8.16719553590683099e-04 -6.30694405172514972e-07
8.44221105527638183e-01 -8.92746204644959867e-04 -5.82103915456024981e-07
8.64321608040200973e-01 -9.87827566475671208e-04 -5.17423042215696365e-07
8.84422110552763874e-01 -1.11100727620462689e-03 -4.47905781225877469e-07
9.04522613065326664e-01 -1.27763822794535985e-03 -4.86614581315166627e-06
9.24623115577889454e-01 -1.50149935856443107e-03 -1.65487802422755029e-04
9.44723618090452244e-01 -1.60847589043735129e-03 -1.25639378835735874e-03
9.64824120603015034e-01 -9.28154042470466208e-04 -2.66227021871344189e-03
9.84924623115577935e-01 7.59422519810786206e-05 -1.64970744480525127e-03
1.00502512562814061e+00 4.35763635794963344e-05 1.70149001242486404e-03
1.02512562814070352e+00 -1.66995417687211154e-03 5.16813719108235453e-03
1.04522613065326642e+00 -4.81032084914942426e-03 6.80259961089133263e-03
1.06532663316582910e+00 -8.62290275239984728e-03 4.79996574351210410e-03
1.08542713567839200e+00 -1.12263776326344718e-02 -2.96941730156418966e-03
1.10552763819095468e+00 -1.06029159784660765e-02 -1.26726531042925562e-02
1.12562814070351758e+00 -7.09097192163983623e-03 -2.14995630914606162e-02
1.14572864321608048e+00 -8.37517938652280547e-04 -2.80467123641812040e-02
1.16582914572864316e+00 6.93550514339687750e-03 -3.08750062397244937e-02
1.18592964824120606e+00 1.52219053017671295e-02 -2.88456379438914098e-02
1.20603015075376874e+00 2.26547080598757146e-02 -2.21629899311147488e-02
1.22613065326633164e+00 2.77872675013554095e-02 -1.23114646386121400e-02
1.24623115577889454e+00 3.02817985158230982e-02 3.31221113160062354e-04
1.26633165829145722e+00 2.93541685935357899e-02 1.20801737292469021e-02
1.28643216080402012e+00 2.59506255300968915e-02 2.13507025050348985e-02
1.30653266331658302e+00 2.15078835545801164e-02 2.72546172420010079e-02
1.32663316582914570e+00 1.68703563688228850e-02 2.89599349605410492e-02
1.34673366834170860e+00 1.46086748778739891e-02 2.81570469095050076e-02
1.36683417085427128e+00 1.57668172965691189e-02 1.39840451454816342e-02
1.38693467336683418e+00 3.08714882341069481e-02 5.20218599370189105e-02
1.40703517587939708e+00 -5.16277234563221939e-03 1.56080379425543231e-01
1.42713567839195976e+00 -6.48747031845571392e-02 1.26946427543300738e-01
1.44723618090452266e+00 -8.43186884971379863e-02 3.14960766838133441e-02
1.46733668341708534e+00 -7.71608071759277564e-02 -2.72598935810695470e-02
1.48743718592964824e+00 -5.33991435065085396e-02 -4.88498253216373135e-02
1.50753768844221114e+00 -3.75528765820249549e-02 -2.28312481883522454e-02
1.52763819095477382e+00 -4.29605625630897561e-02 -5.19897485237787432e-03
1.54773869346733672e+00 -5.14769035338236355e-02 -1.71462098746355054e-02
1.56783919597989940e+00 -4.82862446943550030e-02 -5.65528114961161496e-02
1.58793969849246230e+00 -3.19742915134024058e-02 -9.12525637482456131e-02
1.60804020100502520e+00 -5.24357074035291908e-03 -9.36371919084245108e-02
1.62814070351758788e+00 1.32097029048342269e-02 -5.72159931295936619e-02
1.64824120603015079e+00 7.54991024909697390e-03 -4.52435453909056512e-02
1.66834170854271346e+00 1.84916430988633987e-02 -6.90504971008195773e-02
1.68844221105527637e+00 3.72143070575395377e-02 -6.77792542781755630e-02
1.70854271356783927e+00 4.77556436617196378e-02 -3.83923055059891272e-02
1.72864321608040195e+00 5.11838055502209163e-02 -1.28174400991133142e-02
1.74874371859296485e+00 4.65758058678186274e-02 8.77616321159267222e-03
1.76884422110552775e+00 3.74300803407275340e-02 3.72964067451339587e-02
1.78894472361809043e+00 1.45185052064314493e-02 5.25826973857195373e-02
1.80904522613065333e+00 -6.51830854594409072e-03 2.07346963926803400e-02
1.82914572864321601e+00 -3.58122262381897110e-03 -3.24765335417386766e-02
1.84924623115577891e+00 2.02391978033029489e-02 -5.06487274840142498e-02
1.86934673366834181e+00 2.84563898448909891e-02 3.87824861964204334e-03
1.88944723618090449e+00 2.15542101709534743e-02 -7.28786180605347882e-03
1.90954773869346739e+00 2.73840618898709316e-02 -2.61500093847530091e-02
1.92964824120603007e+00 4.85116940290123144e-02 -3.34780602953913958e-02
1.94974874371859297e+00 6.17033948046206704e-02 -2.91958949136030812e-03
1.96984924623115587e+00 6.43603729996471002e-02 7.59057986137605112e-02
1.98994974874371855e+00 2.13642951863840351e-02 1.18131869024388297e-01
2.01005025125628123e+00 -7.44978630858779498e-03 8.39943821494224807e-02
2.03015075376884413e+00 -2.07462788292089237e-02 4.64931948832734698e-02
2.05025125628140703e+00 -2.09811291065896341e-02 3.24752363873527655e-02
2.07035175879396993e+00 -2.25097003630944613e-02 1.73765154981837255e-02
2.09045226130653283e+00 -1.53798900869532330e-02 6.47547178750871710e-03
