# SHG chi units=pm/V component=xxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.39971819585645232e+01 1.39360279771844018e-06
2.01005025125628144e-02 1.39684560385732794e+01 1.33877120663068337e-03
4.02010050251256287e-02 1.39738696645638605e+01 6.70914246397096188e-04
6.03015075376884396e-02 1.39702449619767961e+01 4.47842176446241569e-04
8.04020100502512575e-02 1.39606516685979347e+01 3.36254271693086238e-04
1.00502512562814075e-01 1.39463412235505029e+01 2.69287366220126868e-04
1.20603015075376879e-01 1.39277184540838714e+01 2.24635493366984141e-04
1.40703517587939697e-01 1.39048869115990286e+01 1.92735331445379745e-04
1.60804020100502515e-01 1.38778140783563728e+01 1.68804044665651703e-04
1.80904522613065333e-01 1.38463900810109628e+01 1.50183923180578283e-04
2.01005025125628151e-01 1.38104512096860788e+01 1.35279945104152413e-04
2.21105527638190968e-01 1.37697898364707711e+01 1.23076763760749020e-04
2.41206030150753759e-01 1.37241583292647604e+01 1.12897169494753234e-04
2.61306532663316604e-01 1.36732699658609764e+01 1.04272014996792254e-04
2.81407035175879394e-01 1.36167981456826066e+01 9.68658771775487385e-05
3.01507537688442184e-01 1.35543744924499130e+01 9.04324467529272319e-05
3.21608040201005030e-01 1.34855861238023156e+01 8.47866388877000117e-05
3.41708542713567820e-01 1.34099722088222695e+01 7.97865395150449693e-05
3.61809045226130666e-01 1.33270198520364467e+01 7.53213607928081112e-05
3.81909547738693456e-01 1.32361592944760815e+01 7.13031908883803435e-05
4.02010050251256301e-01 1.31367583912950003e+01 6.76612073165691190e-05
4.22110552763819091e-01 1.30281163029329772e+01 6.43375314942636707e-05
4.42211055276381937e-01 1.29094563188269813e+01 6.12841986959328266e-05
4.62311557788944727e-01 1.27799177173848566e+01 5.84609014388099489e-05
4.82412060301507517e-01 1.26385465528893572e+01 5.58332759440689921e-05
5.02512562814070307e-01 1.24842852498501369e+01 5.33715756200326107e-05
5.22613065326633208e-01 1.23159608799825868e+01 5.10496205370153595e-05
5.42713567839195998e-01 1.21322720001372861e+01 4.88439442028332221e-05
5.62814070351758788e-01 1.19317739475585327e+01 4.67330784520581175e-05
5.82914572864321578e-01 1.17128625327342260e+01 4.46969310193363463e-05
6.03015075376884369e-01 1.14737561582949255e+01 4.27162182100562955e-05
6.23115577889447270e-01 1.12124765563020752e+01 4.07719195578897875e-05
6.43216080402010060e-01 1.09268286296490746e+01 3.88447226325600557e-05
6.63316582914572850e-01 1.06143803997230375e+01 3.69144227604497005e-05
6.83417085427135640e-01 1.02724449673757761e+01 3.49592384048376959e-05
7.03517587939698541e-01 9.89806798629610363e+00 3.29549898119662054e-05
7.23618090452261331e-01 9.48802697949117935e+00 3.08740721733397359e-05
7.43718592964824121e-01 9.03885395155581683e+00 2.86841263979089226e-05
7.63819095477386911e-01 8.54690222548355472e+00 2.63462642264578570e-05
7.83919597989949701e-01 8.00849646501587031e+00 2.38126359798706328e-05
8.04020100502512602e-01 7.42024033269115790e+00 2.10230093288343953e-05
8.24120603015075393e-01 6.77962880795965450e+00 1.78998351820518664e-05
8.44221105527638183e-01 6.08626652120402856e+00 1.43409443978478268e-05
8.64321608040200973e-01 5.34432979281343457e+00 1.02432117759962383e-05
8.84422110552763874e-01 4.56759721392256424e+00 4.56925003506178333e-05
9.04522613065326664e-01 3.78883089518798233e+00 7.40763286621510999e-03
9.24623115577889454e-01 3.05887542462047612e+00 2.44201508819879592e-01
9.44723618090452244e-01 2.19616306348355250e+00 1.86650037391378198e+00
9.64824120603015034e-01 2.76233439651479395e-01 5.15503704992109935e+00
9.84924623115577935e-01 -3.09864681190350000e+00 8.51500725916336876e+00
1.00502512562814061e+00 -7.87171484680036837e+00 1.13894728469046793e+01
1.02512562814070352e+00 -1.41406666540848107e+01 1.37930646473924892e+01
1.04522613065326642e+00 -2.22536993076321892e+01 1.56732357560425566e+01
1.06532663316582910e+00 -3.27414287768774130e+01 1.49628952506147623e+01
1.08542713567839200e+00 -4.40682712356040156e+01 3.46005981481058411e+00
1.10552763819095468e+00 -5.04459929183916174e+01 -1.77095701809733370e+01
1.12562814070351758e+00 -5.13640752974581503e+01 -3.79749076414274072e+01
1.14572864321608048e+00 -4.83066567161780966e+01 -5.33535381648789908e+01
1.16582914572864316e+00 -4.31559800377257261e+01 -6.74150070896312599e+01
1.18592964824120606e+00 -3.73258995964781661e+01 -7.47085513323311403e+01
1.20603015075376874e+00 -3.06461598518265319e+01 -8.51596999619683146e+01
1.22613065326633164e+00 -2.40036384111160501e+01 -8.60909783815128407e+01
1.24623115577889454e+00 -1.99398556111225211e+01 -9.29574045024664173e+01
1.26633165829145722e+00 -1.37186477313978870e+01 -9.43258736823351285e+01
1.28643216080402012e+00 -1.21264196117207455e+01 -9.23667425901502952e+01
1.30653266331658302e+00 -1.01447831343678221e+01 -1.03102020714705816e+02
1.32663316582914570e+00 -7.66235830509760163e+00 -1.00661960238452991e+02
1.34673366834170860e+00 -1.52528776065916247e+01 -9.28834415899157193e+01
1.36683417085427128e+00 -2.51717727066545329e+01 -1.28241118827831912e+02
1.38693467336683418e+00 -1.39856510204034752e+01 -1.96218627149534399e+02
1.40703517587939708e+00 1.62870511554522892e+01 -2.26158027529467063e+02
1.42713567839195976e+00 5.01455301268761175e+01 -2.55333490923994674e+02
1.44723618090452266e+00 9.52452040287362536e+01 -2.62101915726035486e+02
1.46733668341708534e+00 1.31705491284705744e+02 -2.24515535087374786e+02
1.48743718592964824e+00 1.53076997215745109e+02 -1.93847873294233267e+02
1.50753768844221114e+00 1.66527574386355241e+02 -1.64195155277847675e+02
1.52763819095477382e+00 1.72652636901313826e+02 -1.46783803985567971e+02
1.54773869346733672e+00 1.80210576750600438e+02 -1.42420354959290364e+02
1.56783919597989940e+00 1.90116951571608922e+02 -1.35329125036856169e+02
1.58793969849246230e+00 1.99240708478448624e+02 -1.28268923667225863e+02
1.60804020100502520e+00 2.10731440453833159e+02 -1.22235983571976973e+02
1.62814070351758788e+00 2.21813632653882280e+02 -1.09721642420814561e+02
1.64824120603015079e+00 2.30820481250261366e+02 -1.06805346725711857e+02
1.66834170854271346e+00 2.45380880949994463e+02 -9.27594241601050840e+01
1.68844221105527637e+00 2.52598715657179184e+02 -7.68731146536029684e+01
1.70854271356783927e+00 2.61227406024225331e+02 -7.12889419869792818e+01
1.72864321608040195e+00 2.70867807614328512e+02 -6.60611166066793629e+01
1.74874371859296485e+00 2.85878302777149770e+02 -7.53169541166403462e+01
1.76884422110552775e+00 3.11363656062464599e+02 -7.32491431719796964e+01
1.78894472361809043e+00 3.37400641577916645e+02 -6.14367373495161218e+01
1.80904522613065333e+00 3.68466400120565140e+02 -4.65976826768245260e+01
1.82914572864321601e+00 4.04991156101810020e+02 -3.59733129863712620e+01
1.84924623115577891e+00 4.57871468613065190e+02 -4.81208751924588896e+00
1.86934673366834181e+00 4.97640559701728421e+02 1.78749820759750037e+02
1.88944723618090449e+00 4.41051635362675540e+02 3.61165241192151711e+02
