# SHG chi units=pm/V component=xxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -5.10712397061665602e-02 -8.50052988311561942e-06
2.01005025125628144e-02 -5.19171894872187609e-02 -4.95372008928810816e-03
4.02010050251256287e-02 -5.15488799975819534e-02 -2.47757072230814310e-03
6.03015075376884396e-02 -5.14654079488966534e-02 -1.64760484117868356e-03
8.04020100502512575e-02 -5.14740271360262305e-02 -1.23022166681621995e-03
1.00502512562814075e-01 -5.15333932063245792e-02 -9.77956888846234990e-04
1.20603015075376879e-01 -5.16296300244785886e-02 -8.08252352675273939e-04
1.40703517587939697e-01 -5.17569221612463395e-02 -6.85709693402800731e-04
1.60804020100502515e-01 -5.19125399182225819e-02 -5.92622677996589215e-04
1.80904522613065333e-01 -5.20951631808725182e-02 -5.19149883259814463e-04
2.01005025125628151e-01 -5.23042079982168964e-02 -4.59382687469483074e-04
2.21105527638190968e-01 -5.25395206388917443e-02 -4.09557672732851043e-04
2.41206030150753759e-01 -5.28012256516987161e-02 -3.67162703750073820e-04
2.61306532663316604e-01 -5.30896454116795979e-02 -3.30455525164496532e-04
2.81407035175879394e-01 -5.34052556748191506e-02 -2.98188635276102677e-04
3.01507537688442184e-01 -5.37486605557799882e-02 -2.69444179181616353e-04
3.21608040201005030e-01 -5.41205786331449279e-02 -2.43530728688424834e-04
3.41708542713567820e-01 -5.45218357959180444e-02 -2.19916464926743168e-04
3.61809045226130666e-01 -5.49533624024594672e-02 -1.98184604833942220e-04
3.81909547738693456e-01 -5.54161933540187612e-02 -1.78002873536364792e-04
4.02010050251256301e-01 -5.59114702496523938e-02 -1.59102103122965403e-04
4.22110552763819091e-01 -5.64404451091089082e-02 -1.41260911829506309e-04
4.42211055276381937e-01 -5.70044853328171008e-02 -1.24294524568490479e-04
4.62311557788944727e-01 -5.76050796702776424e-02 -1.08046469556181117e-04
4.82412060301507517e-01 -5.82438450183564507e-02 -9.23823065783441297e-05
5.02512562814070307e-01 -5.89225338827514059e-02 -7.71848119998942695e-05
5.22613065326633208e-01 -5.96430423140633659e-02 -6.23502212575709918e-05
5.42713567839195998e-01 -6.04074180720664752e-02 -4.77852468830878435e-05
5.62814070351758788e-01 -6.12178686686207230e-02 -3.34046693012625997e-05
5.82914572864321578e-01 -6.20767687748157992e-02 -1.91293520727775271e-05
6.03015075376884369e-01 -6.29866662225123802e-02 -4.88457116649840479e-06
6.23115577889447270e-01 -6.39502854384078334e-02 9.40142567886429598e-06
6.43216080402010060e-01 -6.49705265454656455e-02 2.37986944393322490e-05
6.63316582914572850e-01 -6.60504574288372226e-02 3.83767569253377834e-05
6.83417085427135640e-01 -6.71932945843886492e-02 5.32056914988002672e-05
7.03517587939698541e-01 -6.84023661925744625e-02 6.83571876312355096e-05
7.23618090452261331e-01 -6.96810469569773688e-02 8.39055941399547681e-05
7.43718592964824121e-01 -7.10326476608212076e-02 9.99289865817632210e-05
7.63819095477386911e-01 -7.24602309244471998e-02 1.16510274585383342e-04
7.83919597989949701e-01 -7.39663039225997576e-02 1.33738363302531206e-04
8.04020100502512602e-01 -7.55522997571839716e-02 1.51709372135858215e-04
8.24120603015075393e-01 -7.72176820285869064e-02 1.70527892888920233e-04
8.44221105527638183e-01 -7.89583476755449515e-02 1.90308229058604178e-04
8.64321608040200973e-01 -8.07636667525221952e-02 2.11175560143034844e-04
8.84422110552763874e-01 -8.26108777695311047e-02 2.33356220616975284e-04
9.04522613065326664e-01 -8.44560266168207924e-02 2.71858620944252544e-04
9.24623115577889454e-01 -8.62511037183368717e-02 7.08896324894096961e-04
9.44723618090452244e-01 -8.83549828537415760e-02 2.75087601934346235e-03
9.64824120603015034e-01 -9.14968060660472510e-02 4.45027304867923624e-03
9.84924623115577935e-01 -9.44762587260194603e-02 4.46159629020215134e-03
1.00502512562814061e+00 -9.70588600125916329e-02 6.05192951883104079e-03
1.02512562814070352e+00 -1.00466985342939005e-01 1.10849717638046817e-02
1.04522613065326642e+00 -1.06247629900484197e-01 1.93085211516904019e-02
1.06532663316582910e+00 -1.15682934335062063e-01 2.83968890380180243e-02
1.08542713567839200e+00 -1.28408693304640303e-01 3.19197134626327678e-02
1.10552763819095468e+00 -1.41219524609117492e-01 2.94064697542945931e-02
1.12562814070351758e+00 -1.53650194901787523e-01 2.68567928733546811e-02
1.14572864321608048e+00 -1.66867046801615099e-01 2.48822496887249160e-02
1.16582914572864316e+00 -1.81597979688797234e-01 2.14877259305301972e-02
1.18592964824120606e+00 -1.98025428792555802e-01 1.47433111415716973e-02
1.20603015075376874e+00 -2.12955689351003452e-01 -3.98037336055364396e-03
1.22613065326633164e+00 -2.20815649775064460e-01 -2.70205180054356835e-02
1.24623115577889454e+00 -2.25434012446870474e-01 -3.44969246765685980e-02
1.26633165829145722e+00 -2.36871643339566368e-01 -1.68857662064863107e-02
1.28643216080402012e+00 -2.64292130308882933e-01 -1.27912750525757592e-03
1.30653266331658302e+00 -3.00384180817716950e-01 -5.40143965894497678e-03
1.32663316582914570e+00 -3.43439780742607503e-01 -8.01849494503232944e-03
1.34673366834170860e+00 -4.06916365801400393e-01 -1.31556982569818147e-02
1.36683417085427128e+00 -4.82868261348992855e-01 -1.12404800654492112e-01
1.38693467336683418e+00 -5.20771773351017986e-01 -3.57450200798611673e-01
1.40703517587939708e+00 -4.63950311437295537e-01 -4.88189491468583314e-01
1.42713567839195976e+00 -4.36694800664594929e-01 -5.04187493655984253e-01
1.44723618090452266e+00 -4.24678867216422062e-01 -9.02479530705071920e-01
1.46733668341708534e+00 -1.28072992573324412e-01 -1.30413457919275722e+00
1.48743718592964824e+00 1.87463238182965536e-01 -1.13287734692417530e+00
1.50753768844221114e+00 3.45666229047528195e-01 -7.92233036994927753e-01
1.52763819095477382e+00 3.92389714146194057e-01 -5.36468205356959271e-01
1.54773869346733672e+00 4.27860063432937587e-01 -4.61069000468470713e-01
1.56783919597989940e+00 4.44037298618063236e-01 -3.30046877563471563e-01
1.58793969849246230e+00 4.55933745478943941e-01 -1.76382901581021545e-01
1.60804020100502520e+00 3.98742568615685133e-01 -2.44559931975371174e-02
1.62814070351758788e+00 3.22738106223842192e-01 4.91904022773032579e-02
1.64824120603015079e+00 2.67716318494114314e-01 6.68959637004397784e-02
1.66834170854271346e+00 1.94554798811503227e-01 1.37652743779871439e-01
1.68844221105527637e+00 8.23510489303087984e-02 1.51546712889889246e-01
1.70854271356783927e+00 3.40160913413684179e-02 -1.96981069999097619e-01
1.72864321608040195e+00 1.69954965323420665e-01 -2.97314452895950543e-01
1.74874371859296485e+00 2.24196787446175938e-01 -9.35245486248380831e-02
1.76884422110552775e+00 2.07235079965156388e-01 1.56071479020010971e-02
1.78894472361809043e+00 1.89623401276593107e-01 -7.09971671027730469e-03
1.80904522613065333e+00 2.10806913227755077e-01 7.87285799594749786e-02
1.82914572864321601e+00 1.53630662213609354e-01 3.76181832965266472e-01
1.84924623115577891e+00 -6.01529960720347950e-02 5.25647874137639470e-01
1.86934673366834181e+00 -2.19766438197541464e-01 3.21846411389440423e-01
1.88944723618090449e+00 -3.34350842570376616e-01 2.41671725978676866e-01
1.90954773869346739e+00 -4.53678434185903590e-01 1.02243825978242914e-01
1.92964824120603007e+00 -5.39771194226665973e-01 -1.42300846942550296e-01
1.94974874371859297e+00 -5.54462460889607822e-01 -5.86895563051766489e-01
1.96984924623115587e+00 -3.70697837300308031e-01 -1.02319360043999663e+00
1.98994974874371855e+00 -9.97131616996537462e-02 -1.13806483311738860e+00
2.01005025125628123e+00 1.04403468626492177e-01 -1.10690746112500871e+00
2.03015075376884413e+00 3.31740926362680044e-01 -1.06976839552872760e+00
2.05025125628140703e+00 5.05156496203460592e-01 -9.06378857994588616e-01
2.07035175879396993e+00 6.26712867983543309e-01 -6.39208471046010862e-01
2.09045226130653283e+00 6.38082494153254354e-01 -4.55557058063389864e-01
2.11055276381909529e+00 6.42131227477480304e-01 -5.46659297305041370e-01
2.13065326633165819e+00 8.50277405151914523e-01 -6.57911212929109590e-01
2.15075376884422109e+00 9.84399171002112605e-01 -2.41312531064939551e-01
2.17085427135678399e+00 9.36285015203284776e-01 3.77208785971167582e-01
2.19095477386934689e+00 7.06536823727484053e-01 3.95243095750444196e-01
2.21105527638190935e+00 5.77668134119275423e-01 4.50804054579436730e-01
2.23115577889447225e+00 4.76606674244491213e-01 3.25592594765279575e-01
2.25125628140703515e+00 4.19837193764405980e-01 3.00019518540796948e-01
2.27135678391959805e+00 3.55521952985504153e-01 3.38985026825313673e-01
2.29145728643216096e+00 3.15482571361208608e-01 2.27253226056435526e-01
2.31155778894472341e+00 2.88553010149350198e-01 2.43233525949920176e-01
2.33165829145728631e+00 2.82787521356909988e-01 2.06627906008149342e-01
2.35175879396984921e+00 2.92451140462580583e-01 2.30070147375861594e-01
2.37185929648241212e+00 2.46561970961451299e-01 3.11861900877780207e-01
2.39195979899497502e+00 1.84565965536104548e-01 2.72597341012957517e-01
2.41206030150753747e+00 1.76545358189202556e-01 8.97164178359709796e-02
2.43216080402010038e+00 2.20804112181113954e-01 -6.70803936550589675e-02
2.45226130653266328e+00 3.68857100901236024e-01 -2.52432672532085400e-01
2.47236180904522618e+00 5.52333272993491553e-01 -7.43977094576987741e-02
2.49246231155778908e+00 6.36504727624031874e-01 1.28350558307686047e-01
2.51256281407035198e+00 7.26837011303756886e-01 6.40150955849596692e-01
2.53266331658291444e+00 4.32088278581214902e-01 1.45015766772430088e+00
2.55276381909547734e+00 -4.86357819157411247e-02 1.36469039713015206e+00
2.57286432160804024e+00 -3.41226434598304873e-01 9.17705462266263816e-01
2.59296482412060314e+00 -5.47897063075789892e-01 4.15833241743604587e-01
2.61306532663316604e+00 -4.46779071494685154e-01 -3.31265034752780629e-01
2.63316582914572850e+00 -1.69204341230672822e-01 -6.43452692078050448e-01
2.65326633165829140e+00 1.36896668875101074e-01 -6.39938354357188155e-01
2.67336683417085430e+00 3.95012009318353341e-01 -4.28800343772325177e-01
2.69346733668341720e+00 5.17048116052957751e-01 -3.70448913741991348e-01
2.71356783919598010e+00 7.99393653255748071e-01 -4.62274069913008401e-01
2.73366834170854256e+00 1.08666083401135838e+00 1.60159882294325817e-01
2.75376884422110546e+00 1.08081993365747331e+00 1.52936997196260105e+00
2.77386934673366836e+00 4.67669185829099610e-01 2.76727074471338241e+00
2.79396984924623126e+00 -2.09755696241821527e-01 2.40791600970327391e+00
2.81407035175879416e+00 -5.16073041497639773e-01 1.90496178299343244e+00
2.83417085427135662e+00 -7.58638901773954655e-01 1.65463841726890148e+00
2.85427135678391952e+00 -1.06917804099441693e+00 1.15948836051126469e+00
2.87437185929648242e+00 -9.81745413702577729e-01 -9.73578513827277059e-02
2.89447236180904532e+00 -6.86131779050519697e-01 3.60534960268874771e-01
2.91457286432160823e+00 -9.48153990007491898e-01 3.06562973278612982e-01
2.93467336683417068e+00 -8.60001173048792755e-01 -1.09735558572592110e-01
2.95477386934673358e+00 -9.00911568156219977e-01 1.41195239658455027e-02
2.97487437185929648e+00 -9.17362711707916501e-01 -3.81250676564054536e-01
2.99497487437185939e+00 -6.47182936239392159e-01 -8.33803083311203563e-01
