# SHG chi units=pm/V component=xyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.11454323238153498e-03 3.08163559491480703e-06
2.01005025125628144e-02 1.22542244426218118e-03 2.62132381714981141e-02
4.02010050251256287e-02 7.57688554270941061e-05 1.31375282241725649e-02
6.03015075376884396e-02 -3.09824851881132252e-04 8.76802285372564952e-03
8.04020100502512575e-02 -5.01336138232842503e-04 6.58350241529885236e-03
1.00502512562814075e-01 -6.15304874605047784e-04 5.27381416315378122e-03
1.20603015075376879e-01 -6.90792779250981419e-04 4.40171903956407956e-03
1.40703517587939697e-01 -7.44574244669112895e-04 3.77973340497601666e-03
1.60804020100502515e-01 -7.85041999961953296e-04 3.31409072611244405e-03
1.80904522613065333e-01 -8.16858830683676960e-04 2.95269075938551671e-03
2.01005025125628151e-01 -8.42821939599030959e-04 2.66427074948026284e-03
2.21105527638190968e-01 -8.64711434245521264e-04 2.42893539246300449e-03
2.41206030150753759e-01 -8.83714946182883091e-04 2.23342101182570554e-03
2.61306532663316604e-01 -9.00656448289569749e-04 2.06854518893379025e-03
2.81407035175879394e-01 -9.16127123742686107e-04 1.92774927402437467e-03
3.01507537688442184e-01 -9.30563991308248624e-04 1.80622382639040947e-03
3.21608040201005030e-01 -9.44299156773883270e-04 1.70036197602709753e-03
3.41708542713567820e-01 -9.57591809061656579e-04 1.60740568964368711e-03
3.61809045226130666e-01 -9.70649702259504857e-04 1.52520992588763048e-03
3.81909547738693456e-01 -9.83644036165578009e-04 1.45208124578230405e-03
4.02010050251256301e-01 -9.96720094285707698e-04 1.38666481681968168e-03
4.22110552763819091e-01 -1.01000511384754035e-03 1.32786367502165455e-03
4.42211055276381937e-01 -1.02361434500822810e-03 1.27477997537412215e-03
4.62311557788944727e-01 -1.03765594794332622e-03 1.22667153063470082e-03
4.82412060301507517e-01 -1.05223519344379950e-03 1.18291917092654218e-03
5.02512562814070307e-01 -1.06745832857700965e-03 1.14300188113004419e-03
5.22613065326633208e-01 -1.08343641987802266e-03 1.10647760876213795e-03
5.42713567839195998e-01 -1.10028948134412922e-03 1.07296825185526504e-03
5.62814070351758788e-01 -1.11815123139673463e-03 1.04214775867513465e-03
5.82914572864321578e-01 -1.13717490947570191e-03 1.01373255639982036e-03
6.03015075376884369e-01 -1.15754073697049232e-03 9.87473724996750781e-04
6.23115577889447270e-01 -1.17946586348909358e-03 9.63150468725879364e-04
6.43216080402010060e-01 -1.20321805961026923e-03 9.40564530253221176e-04
6.63316582914572850e-01 -1.22913511203464666e-03 9.19535251469833642e-04
6.83417085427135640e-01 -1.25765304777583197e-03 8.99895017235249201e-04
7.03517587939698541e-01 -1.28934833771302557e-03 8.81484824101075228e-04
7.23618090452261331e-01 -1.32500283359780258e-03 8.64149694858849966e-04
7.43718592964824121e-01 -1.36570683292054932e-03 8.47733604060691803e-04
7.63819095477386911e-01 -1.41302837312302899e-03 8.32073473305254595e-04
7.83919597989949701e-01 -1.46930220636521183e-03 8.16991614614356789e-04
8.04020100502512602e-01 -1.53814478344741889e-03 8.02285693245488921e-04
8.24120603015075393e-01 -1.62541691243318497e-03 7.87714762403117865e-04
8.44221105527638183e-01 -1.74111625380528583e-03 7.72979023676758606e-04
8.64321608040200973e-01 -1.90326210204951659e-03 7.57689123657146130e-04
8.84422110552763874e-01 -2.14578567765107489e-03 7.41037317275024883e-04
9.04522613065326664e-01 -2.52865956337373259e-03 6.74685764457580092e-04
9.24623115577889454e-01 -3.04557013845381487e-03 -6.84301584803372401e-04
9.44723618090452244e-01 -2.22534294774635313e-03 -7.10843762351158568e-03
9.64824120603015034e-01 2.57212305871041495e-03 -1.01064615937109213e-02
9.84924623115577935e-01 6.01916619902620551e-03 -1.12545009539838326e-03
1.00502512562814061e+00 4.42996508301088908e-03 1.03708140690340900e-02
1.02512562814070352e+00 -1.06369716720219453e-03 1.66503888833959557e-02
1.04522613065326642e+00 -7.83142639357356680e-03 1.59368033485984412e-02
1.06532663316582910e+00 -1.26870838493631788e-02 7.78079446184883582e-03
1.08542713567839200e+00 -1.20444931870917569e-02 -8.95851045453376245e-03
1.10552763819095468e+00 -7.55365684755457054e-03 -2.41125841757461809e-02
1.12562814070351758e+00 1.56095236930947406e-03 -2.88029371571243871e-02
1.14572864321608048e+00 1.18535234155785381e-02 -2.38962741604178200e-02
1.16582914572864316e+00 1.88500898589916352e-02 -1.33460271954535369e-02
1.18592964824120606e+00 2.20123973620369520e-02 2.08448698785145079e-03
1.20603015075376874e+00 2.15860122425901198e-02 1.70838024393602413e-02
1.22613065326633164e+00 1.51782146627258332e-02 2.97882695934867936e-02
1.24623115577889454e+00 7.10022372090613960e-03 4.14493435147108499e-02
1.26633165829145722e+00 -5.98471068721513882e-03 4.50358763189865827e-02
1.28643216080402012e+00 -1.64351378376516623e-02 4.80578862492499273e-02
1.30653266331658302e+00 -2.93487418051848990e-02 3.95129483401626749e-02
1.32663316582914570e+00 -4.00317892176818776e-02 2.83389616820630200e-02
1.34673366834170860e+00 -4.56255327279663017e-02 -1.42527830194770916e-02
1.36683417085427128e+00 -2.61735870062258756e-02 -4.84376620898085558e-02
1.38693467336683418e+00 -3.96673844292283213e-03 -4.84528415785140040e-02
1.40703517587939708e+00 5.40716158976268027e-03 3.03762195545434106e-02
1.42713567839195976e+00 -3.16455476518644821e-02 8.01235113187775128e-02
1.44723618090452266e+00 -6.26804998616279224e-02 6.92962834101489185e-03
1.46733668341708534e+00 -5.48233718291641220e-02 -7.36537829507864644e-02
1.48743718592964824e+00 -1.83633312260130452e-02 -1.05668561119057106e-01
1.50753768844221114e+00 9.23568317579305520e-03 -6.22677616863101177e-02
1.52763819095477382e+00 9.92116520989723416e-03 -3.91187014186100898e-02
1.54773869346733672e+00 1.39255804371329218e-02 -2.64232287706823721e-02
1.56783919597989940e+00 1.44467567057876330e-02 -3.97389092374375724e-02
1.58793969849246230e+00 1.88304752112768391e-02 -3.27372245279124452e-02
1.60804020100502520e+00 3.38530775277191068e-02 -4.71694336190243771e-02
1.62814070351758788e+00 4.24129670289274327e-02 -2.89969641487758840e-02
1.64824120603015079e+00 2.91732710457523643e-02 2.61633328774648552e-02
1.66834170854271346e+00 1.09703451622032953e-02 7.79908498432597269e-02
1.68844221105527637e+00 -1.75638937696483109e-02 1.85179528036947365e-02
1.70854271356783927e+00 2.14185581061945374e-03 -3.45459765919848907e-02
1.72864321608040195e+00 1.19543056516993994e-02 -1.56058961980380696e-02
1.74874371859296485e+00 7.59846297831320936e-03 1.59354032334718156e-02
1.76884422110552775e+00 -3.51578869489073235e-03 -1.28955200111435971e-03
1.78894472361809043e+00 -1.05810281054621435e-03 -1.30215237680700469e-02
1.80904522613065333e+00 -2.60560624643309691e-03 -2.53252494328573725e-02
1.82914572864321601e+00 8.72350503953043220e-03 -5.17057139977425070e-02
1.84924623115577891e+00 2.53068728203746339e-02 -3.76389480627877249e-02
1.86934673366834181e+00 3.18038192097869002e-02 -5.46689752310543370e-02
1.88944723618090449e+00 5.85883064058960804e-02 -3.91017344916883142e-02
1.90954773869346739e+00 6.07942254056539136e-02 -6.11613655149658309e-03
1.92964824120603007e+00 7.19489251623056658e-02 -1.11447046414905170e-02
1.94974874371859297e+00 7.58740668576585314e-02 3.75143742264252150e-02
1.96984924623115587e+00 6.24216217265920123e-02 8.48925142373279651e-02
1.98994974874371855e+00 2.93677384840371827e-02 1.11328569546264633e-01
2.01005025125628123e+00 2.81467565145003323e-03 8.26744244970939596e-02
2.03015075376884413e+00 -4.30794139790083384e-03 4.18983939369062808e-02
2.05025125628140703e+00 4.69566195115961923e-03 1.86904298096286364e-02
2.07035175879396993e+00 1.90447352588280563e-02 3.60072593106013777e-02
2.09045226130653283e+00 1.61071657334058253e-02 9.16853659992795944e-02
2.11055276381909529e+00 -1.44288245487347172e-02 1.26202749902351002e-01
2.13065326633165819e+00 -3.80439429449686908e-02 1.09357871552530905e-01
2.15075376884422109e+00 -7.05793977762506075e-02 1.29262707529319953e-01
2.17085427135678399e+00 -1.02234099840753226e-01 7.00147365797701426e-02
2.19095477386934689e+00 -1.00986526488344608e-01 -6.22829272070301362e-03
2.21105527638190935e+00 -7.79639527253259412e-02 -4.88552354058648802e-02
2.23115577889447225e+00 -5.29730269782111851e-02 -5.34482683808488179e-02
2.25125628140703515e+00 -3.43512125151569578e-02 -4.58673466700289453e-02
2.27135678391959805e+00 -3.12877637812040421e-02 -1.71137672703262529e-02
2.29145728643216096e+00 -3.36990311408444862e-02 -3.85645188170678083e-02
2.31155778894472341e+00 -1.54811319834958390e-02 -4.97990211523423737e-02
2.33165829145728631e+00 -2.39392112881372243e-02 -3.73307339988429646e-02
2.35175879396984921e+00 -1.43365791002479284e-02 -4.84234468812769388e-03
2.37185929648241212e+00 -7.03988281557924173e-02 7.36782707616968624e-02
2.39195979899497502e+00 -1.00793994753830579e-01 -1.47014007854063111e-02
2.41206030150753747e+00 -7.33429041277446486e-02 -2.53840945603080403e-01
2.43216080402010038e+00 1.01333434596547894e-01 -2.59121127117530381e-01
2.45226130653266328e+00 1.35783642543053057e-01 -8.75658025578951033e-02
2.47236180904522618e+00 1.76402597216151424e-01 -9.08098014416089533e-02
2.49246231155778908e+00 1.51239860907183499e-01 2.70990749881964699e-01
2.51256281407035198e+00 -3.98872996372922548e-02 1.62229357780041827e-01
2.53266331658291444e+00 -2.45204272170621816e-02 -3.74599383327120228e-02
2.55276381909547734e+00 -8.83993201244788473e-03 1.10559844963638420e-02
2.57286432160804024e+00 -6.63855749124691794e-03 3.39603155121978445e-02
2.59296482412060314e+00 -3.26467165536363166e-03 1.09656849300232735e-02
2.61306532663316604e+00 9.68115397922882440e-03 2.14544052794032880e-02
2.63316582914572850e+00 6.08768701373302128e-03 3.83310204694915502e-02
2.65326633165829140e+00 1.28260371289460554e-02 2.07863883016277395e-02
2.67336683417085430e+00 3.57965340691535974e-02 -1.63538343750408710e-02
2.69346733668341720e+00 1.00366530439292126e-01 -2.58762762601905227e-01
2.71356783919598010e+00 2.93723685972710036e-01 -4.80937443536719356e-01
2.73366834170854256e+00 3.95323428514434194e-01 7.40667465102179401e-01
2.75376884422110546e+00 -4.52217591786065742e-01 8.53310613656614425e-01
2.77386934673366836e+00 -2.98229682868639268e-01 -5.40510657827186880e-01
2.79396984924623126e+00 -1.55296485773936316e-01 -2.06930801307332324e-01
