# SHG chi units=pm/V component=xyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 4.26341667497237786e-01 -3.75979889095403013e-06
2.01005025125628144e-02 4.87936192851876727e-01 4.35114317683643875e-03
4.02010050251256287e-02 4.54603619433081585e-01 2.19617612294322612e-03
6.03015075376884396e-02 4.42417986638699745e-01 1.48255271394826232e-03
8.04020100502512575e-02 4.35595585389073336e-01 1.13118528480396041e-03
1.00502512562814075e-01 4.30968290641701113e-01 9.24958535477863253e-04
1.20603015075376879e-01 4.27479204860239770e-01 7.91398031305890837e-04
1.40703517587939697e-01 4.24675425092168990e-01 6.99433904808043658e-04
1.60804020100502515e-01 4.22330758768981573e-01 6.33536558446367464e-04
1.80904522613065333e-01 4.20319893745885242e-01 5.85086862793259867e-04
2.01005025125628151e-01 4.18568055313177478e-01 5.48922443084851226e-04
2.21105527638190968e-01 4.17028124219792351e-01 5.21767369766330640e-04
2.41206030150753759e-01 4.15669200468822886e-01 5.01446920930266301e-04
2.61306532663316604e-01 4.14470451660598760e-01 4.86464794213761905e-04
2.81407035175879394e-01 4.13417605021245083e-01 4.75761590919498338e-04
3.01507537688442184e-01 4.12500850715447565e-01 4.68570006834817185e-04
3.21608040201005030e-01 4.11713540368220055e-01 4.64324443292291229e-04
3.41708542713567820e-01 4.11051354823950055e-01 4.62602651766623853e-04
3.61809045226130666e-01 4.10511760280031890e-01 4.63086977937329780e-04
3.81909547738693456e-01 4.10093648359292073e-01 4.65538010439443676e-04
4.02010050251256301e-01 4.09797097783390574e-01 4.69776322798108430e-04
4.22110552763819091e-01 4.09623219436712760e-01 4.75669645876772166e-04
4.42211055276381937e-01 4.09574060952369312e-01 4.83123784694187140e-04
4.62311557788944727e-01 4.09652555785647576e-01 4.92076189337164582e-04
4.82412060301507517e-01 4.09862507385497954e-01 5.02491465688156423e-04
5.02512562814070307e-01 4.10208602840620051e-01 5.14358355360749532e-04
5.22613065326633208e-01 4.10696453028074171e-01 5.27687878160151900e-04
5.42713567839195998e-01 4.11332658293311004e-01 5.42512446025059970e-04
5.62814070351758788e-01 4.12124900340688327e-01 5.58885843430221565e-04
5.82914572864321578e-01 4.13082062517878268e-01 5.76884039611114574e-04
6.03015075376884369e-01 4.14214382191438635e-01 5.96606861699517581e-04
6.23115577889447270e-01 4.15533640566613571e-01 6.18180623272028247e-04
6.43216080402010060e-01 4.17053397224188660e-01 6.41761877971664145e-04
6.63316582914572850e-01 4.18789278952538369e-01 6.67542562651716261e-04
6.83417085427135640e-01 4.20759335253138966e-01 6.95756922045134862e-04
7.03517587939698541e-01 4.22984476256593078e-01 7.26690786536063815e-04
7.23618090452261331e-01 4.25489012614608475e-01 7.60694036783723438e-04
7.43718592964824121e-01 4.28301320720959555e-01 7.98197481226618614e-04
7.63819095477386911e-01 4.31454658735636154e-01 8.39735975488328876e-04
7.83919597989949701e-01 4.34988154857805176e-01 8.85980560565322213e-04
8.04020100502512602e-01 4.38947967263024874e-01 9.37783926228391161e-04
8.24120603015075393e-01 4.43388544352178837e-01 9.96246039555849592e-04
8.44221105527638183e-01 4.48373717471265976e-01 1.06281110143371200e-03
8.64321608040200973e-01 4.53976876524910977e-01 1.13941408991242608e-03
8.84422110552763874e-01 4.60278807369565002e-01 1.22820303357368482e-03
9.04522613065326664e-01 4.67368086171424113e-01 1.25953578975773837e-03
9.24623115577889454e-01 4.75490056983773612e-01 -3.55455487522242971e-04
9.44723618090452244e-01 4.86757889074070027e-01 -7.00467634261621279e-03
9.64824120603015034e-01 5.03540488158871424e-01 -8.13819448610256929e-03
9.84924623115577935e-01 5.20389185150107902e-01 2.35550756530757393e-03
1.00502512562814061e+00 5.35086836018697776e-01 1.44734205039692178e-02
1.02512562814070352e+00 5.50025592177643463e-01 2.18482050172334151e-02
1.04522613065326642e+00 5.69008903055513549e-01 2.38841530502543649e-02
1.06532663316582910e+00 5.91725880999987131e-01 2.99449306099880616e-02
1.08542713567839200e+00 6.12219756438348917e-01 6.06860424147217734e-02
1.10552763819095468e+00 6.40591504730550265e-01 1.02801621835486787e-01
1.12562814070351758e+00 6.63242434867905239e-01 1.35842280848115976e-01
1.14572864321608048e+00 6.87753202251075724e-01 1.53522547282957084e-01
1.16582914572864316e+00 7.32010232079861045e-01 1.71582572413501944e-01
1.18592964824120606e+00 7.97181714597554381e-01 2.88034980703555932e-01
1.20603015075376874e+00 7.94132719038154078e-01 6.18458474117295598e-01
1.22613065326633164e+00 6.57838072997869450e-01 9.82378828550960592e-01
1.24623115577889454e+00 4.06169895121828994e-01 1.16112352717443823e+00
1.26633165829145722e+00 1.51244874217973224e-01 1.09193710970072955e+00
1.28643216080402012e+00 -6.38721230248799759e-02 8.51041989787681752e-01
1.30653266331658302e+00 -1.60477119901245913e-01 5.03748186005426701e-01
1.32663316582914570e+00 -1.37526195375662519e-01 1.62351416501829743e-01
1.34673366834170860e+00 8.93219092302679520e-03 -1.27548600081630159e-01
1.36683417085427128e+00 2.47220347672023832e-01 1.35116666973280584e-02
1.38693467336683418e+00 1.65905047645900000e-01 1.17772650519250699e+00
1.40703517587939708e+00 -5.52095317769342064e-01 1.73481725558094935e+00
1.42713567839195976e+00 -1.19192829887925322e+00 9.03377838551575885e-02
1.44723618090452266e+00 -5.58426526837509818e-01 -2.18289598984631050e+00
1.46733668341708534e+00 3.05877581584513114e-01 -1.12028827240539619e+00
1.48743718592964824e+00 1.83579584650313737e-01 -3.71413080285898714e-02
1.50753768844221114e+00 -1.33116551426036706e-02 -2.34723186055104394e-01
1.52763819095477382e+00 -6.97438300429343572e-02 -7.19978602822825553e-01
1.54773869346733672e+00 9.18206160759170997e-02 -1.43024873526037277e+00
1.56783919597989940e+00 5.52760947209885667e-01 -2.23817827892654009e+00
1.58793969849246230e+00 1.37181346573099172e+00 -2.33689683525772951e+00
1.60804020100502520e+00 1.93752488650333921e+00 -1.61710186133145739e+00
1.62814070351758788e+00 2.32270927132400073e+00 -8.55412121097838818e-01
1.64824120603015079e+00 2.51220978226613090e+00 -2.92705166247516024e-01
1.66834170854271346e+00 2.68339593878427118e+00 4.20696296397916336e-01
1.68844221105527637e+00 2.62947327769128458e+00 1.55929130615819300e+00
1.70854271356783927e+00 2.15026779297837978e+00 2.51941474805956878e+00
1.72864321608040195e+00 1.59724457858645241e+00 2.73077406894903518e+00
1.74874371859296485e+00 1.17185768175938887e+00 2.62329886054243167e+00
1.76884422110552775e+00 8.82710518267643462e-01 2.56412733891388722e+00
1.78894472361809043e+00 6.18778583012548622e-01 3.01792514249775223e+00
1.80904522613065333e+00 -2.20261099968587365e-02 3.65852169575777530e+00
1.82914572864321601e+00 -7.36917322004032038e-01 3.19379295700950960e+00
1.84924623115577891e+00 -1.11078025447658857e+00 2.40099496930238310e+00
1.86934673366834181e+00 -1.26302340260910539e+00 2.03762436468302788e+00
1.88944723618090449e+00 -1.39595329790722533e+00 1.83243292384525214e+00
1.90954773869346739e+00 -1.57152381516223905e+00 1.79428706353696477e+00
1.92964824120603007e+00 -1.81517238408548764e+00 1.59777462412164795e+00
1.94974874371859297e+00 -1.97657133023897114e+00 1.18451285450957089e+00
1.96984924623115587e+00 -2.13415214095149297e+00 1.03291725918936561e+00
1.98994974874371855e+00 -2.33486982279637134e+00 6.66861184375659666e-01
2.01005025125628123e+00 -2.48374371778336789e+00 2.04756445399224413e-01
2.03015075376884413e+00 -2.54730398885032905e+00 -4.92888274250471992e-01
2.05025125628140703e+00 -2.42136003648725673e+00 -1.16074784812135312e+00
2.07035175879396993e+00 -2.14595663143781801e+00 -1.90218390383528657e+00
2.09045226130653283e+00 -1.53328195617914798e+00 -2.75360042818938000e+00
2.11055276381909529e+00 -7.35058680509619422e-01 -2.70347944951541930e+00
2.13065326633165819e+00 -3.14024285613162646e-01 -1.52410194134372068e+00
2.15075376884422109e+00 -4.73578310467414887e-01 -9.95158204917003242e-01
2.17085427135678399e+00 -6.18907805139947143e-01 -3.10172535023409157e+00
2.19095477386934689e+00 5.95259885515712073e-01 -3.81844001231342167e+00
2.21105527638190935e+00 6.53732434150495978e-01 -2.29006613848217722e+00
2.23115577889447225e+00 2.01414438068650448e-01 -2.81761040868754931e+00
2.25125628140703515e+00 1.08476816236862539e+00 -4.98824162152683037e+00
2.27135678391959805e+00 1.73723010387758969e+00 -2.41225235311499198e+00
2.29145728643216096e+00 1.25568555498604484e+00 -1.41374243898269203e+00
2.31155778894472341e+00 1.79123075767756368e+00 -3.31072132831715749e+00
2.33165829145728631e+00 2.43001761353635892e+00 -1.12162770072623630e+00
2.35175879396984921e+00 2.37593728933190995e+00 -1.22518607518575440e+00
2.37185929648241212e+00 3.06679321547284989e+00 -5.17427590060831499e-01
2.39195979899497502e+00 2.96712286606038322e+00 4.43056654186607612e-01
2.41206030150753747e+00 2.84406791203278964e+00 1.27179433412245313e+00
2.43216080402010038e+00 2.19028338595727590e+00 2.05994847798265424e+00
2.45226130653266328e+00 1.49952420790790208e+00 1.25123092956383397e+00
2.47236180904522618e+00 1.47873230917130916e+00 1.12064899874829771e+00
2.49246231155778908e+00 8.31158047145151513e-01 1.42955601450799130e+00
2.51256281407035198e+00 9.69116822836843528e-01 9.50492216838543569e-01
2.53266331658291444e+00 8.50652719870594654e-01 1.31363351474383383e+00
2.55276381909547734e+00 7.34635567712368820e-01 1.54582737411624049e+00
2.57286432160804024e+00 6.66137213186732802e-01 1.42240722937895714e+00
2.59296482412060314e+00 8.95621966610435027e-01 1.20188959827076114e+00
2.61306532663316604e+00 7.83111213421761931e-01 2.52589307664305052e+00
2.63316582914572850e+00 2.32730357019173134e-01 3.01955323391773245e+00
2.65326633165829140e+00 -4.16773548670444083e-01 2.92580168701312981e+00
2.67336683417085430e+00 -1.04394042418695121e+00 2.41592789325764734e+00
2.69346733668341720e+00 -1.47823013554514704e+00 8.56449330577107815e-01
2.71356783919598010e+00 -1.32382357204058088e+00 -6.98211824151064420e-01
2.73366834170854256e+00 -8.53645929592200092e-01 -2.24321973655810059e+00
2.75376884422110546e+00 2.02177967097094596e-01 -2.90138705901306437e+00
2.77386934673366836e+00 8.94766008922788791e-01 -1.06891261914730862e+00
2.79396984924623126e+00 3.98367021977170888e-01 5.13527405443648832e-01
2.81407035175879416e+00 -2.99583592812838750e-01 1.90246962110512241e+00
2.83417085427135662e+00 -1.13639401050065958e+00 -1.93162127346882495e+00
2.85427135678391952e+00 2.74106816099023787e+00 -7.74413648739089400e+00
2.87437185929648242e+00 4.50565392857741820e+00 5.62655395402566150e+00
2.89447236180904532e+00 1.09621229457705405e+00 8.16708999451094542e+00
2.91457286432160823e+00 -8.21828080182559262e-01 4.96430785865809643e+00
2.93467336683417068e+00 -1.51698824171033131e+00 3.32652551570678856e+00
2.95477386934673358e+00 -2.27629703057862454e+00 3.52977595146378187e+00
2.97487437185929648e+00 -2.67559008865198544e+00 -3.84424365325379547e-02
2.99497487437185939e+00 -5.79855429428667746e-01 -5.36077153424346697e+00
3.01507537688442229e+00 2.48106813828958384e+00 1.14868036741102145e-01
3.03517587939698474e+00 -9.17541188557583265e-01 5.57511929190101974e+00
3.05527638190954764e+00 -2.07370384328514934e+00 -2.17848171392589318e+00
3.07537688442211055e+00 -9.74102147061492341e-01 -4.09671184389175203e+00
3.09547738693467345e+00 -4.61306953787498988e-02 -2.98375542383535386e+00
3.11557788944723635e+00 3.56537761759392668e-01 -1.73311109784658468e+00
3.13567839195979881e+00 6.11830058222552653e-01 -8.90629284114145658e-01
3.15577889447236171e+00 3.49437280576552323e-01 1.53552007116775607e-01
3.17587939698492461e+00 6.83082668578084140e-02 -8.23074862712159350e-01
3.19597989949748751e+00 3.67767910610744320e-01 -1.43145189464120914e+00
3.21608040201005041e+00 6.99575862502347379e-01 -1.30354653742668858e+00
3.23618090452261287e+00 8.50232990054324844e-01 -1.40279383044873085e+00
3.25628140703517577e+00 1.11066039046282716e+00 -7.69553268352955677e-01
3.27638190954773867e+00 8.89572005870265858e-01 -2.21399629888047955e-01
3.29648241206030157e+00 7.28345603739873781e-01 -2.72699171144577701e-01
3.31658291457286447e+00 6.90324942970346855e-01 -2.88457232540316355e-01
3.33668341708542693e+00 8.05607334143433329e-01 -2.61392122122672044e-01
3.35678391959798983e+00 1.01472994127226168e+00 -1.62987157220930517e-01
3.37688442211055273e+00 1.18037304664840015e+00 4.11638106097578504e-01
3.39698492462311563e+00 1.10096356457329980e+00 1.15981877166613345e+00
3.41708542713567853e+00 7.30158174452740560e-01 1.37287098378640460e+00
3.43718592964824099e+00 3.75917879632827578e-01 1.34337857672382643e+00
3.45728643216080389e+00 1.79042686583997745e-01 8.65439760933408797e-01
3.47738693467336679e+00 -7.58026862770928567e-02 1.12567593947327449e+00
3.49748743718592969e+00 -3.60447025008822919e-01 7.78499833955373477e-01
3.51758793969849259e+00 -4.25865829719369704e-01 1.54396813221152358e-02
3.53768844221105550e+00 -2.98267136021801937e-01 -7.08276971172747821e-02
3.55778894472361795e+00 -4.12289060180059230e-01 2.28414749470770007e-01
3.57788944723618085e+00 -4.73863290556511718e-01 -6.85050226605975032e-01
3.59798994974874375e+00 -6.17576984603940768e-02 -1.16279965580514677e+00
3.61809045226130666e+00 2.48387269497513163e-01 -1.11624636514505449e+00
3.63819095477386956e+00 5.21133819279857469e-01 -1.15419075868607246e+00
3.65829145728643201e+00 7.62353254324715124e-01 -1.47582689361985553e+00
3.67839195979899491e+00 1.17546099801465109e+00 -1.57882291552419818e+00
3.69849246231155782e+00 1.52155147436711680e+00 -1.62029789067103414e+00
3.71859296482412072e+00 2.02889684678521398e+00 -1.46539943618923929e+00
3.73869346733668362e+00 2.30731781532309954e+00 -5.60554620824279981e-01
3.75879396984924607e+00 2.39085075689421167e+00 -2.33825469506640377e-01
3.77889447236180898e+00 2.39486753787911599e+00 3.52677642853556184e-01
3.79899497487437188e+00 2.26327322163949285e+00 8.63592896912150465e-01
3.81909547738693478e+00 2.00281304617330491e+00 9.91941888924019910e-01
3.83919597989949768e+00 1.95178146277363807e+00 9.48843232032311135e-01
3.85929648241206014e+00 1.88118662906911549e+00 1.29156569252034359e+00
3.87939698492462304e+00 1.74407479760707007e+00 1.45617779501888633e+00
3.89949748743718594e+00 1.64957373566113286e+00 1.57763265999456337e+00
3.91959798994974884e+00 1.53351543185620387e+00 1.57975241671379329e+00
3.93969849246231174e+00 1.49005079617750225e+00 1.57224424404827401e+00
3.95979899497487420e+00 1.44099395348944004e+00 1.68060867086359900e+00
3.97989949748743710e+00 1.39942310216047217e+00 1.77942946685398251e+00
4.00000000000000000e+00 1.33942351561225226e+00 1.99402141721527681e+00
