# SHG chi units=pm/V component=xzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 3.79388177999066753e-02 4.15301250302510693e-05
2.01005025125628144e-02 3.79155366630975280e-02 4.63497679002552142e-03
4.02010050251256287e-02 3.79523409486861585e-02 2.06084568293828227e-03
6.03015075376884396e-02 3.79950027967889611e-02 1.07188024243286988e-03
8.04020100502512575e-02 3.80509664164919922e-02 4.81024790416361792e-04
1.00502512562814075e-01 3.81218110038357844e-02 4.89138508247859887e-05
1.20603015075376879e-01 3.82081568332534177e-02 -3.04580107169323642e-04
1.40703517587939697e-01 3.83103705033034300e-02 -6.13988964028441700e-04
1.60804020100502515e-01 3.84287420856327805e-02 -8.96733630030222472e-04
1.80904522613065333e-01 3.85635448214949397e-02 -1.16263097596759927e-03
2.01005025125628151e-01 3.87150596597209060e-02 -1.41769994718136862e-03
2.21105527638190968e-01 3.88835871077732667e-02 -1.66589313878738729e-03
2.41206030150753759e-01 3.90694538981897349e-02 -1.90996362761735195e-03
2.61306532663316604e-01 3.92730173682752648e-02 -2.15193264161293082e-03
2.81407035175879394e-01 3.94946688045736405e-02 -2.39335767306953807e-03
3.01507537688442184e-01 3.97348363487509681e-02 -2.63549422443376882e-03
3.21608040201005030e-01 3.99939877765033078e-02 -2.87939780783944823e-03
3.41708542713567820e-01 4.02726333304819772e-02 -3.12599088797323827e-03
3.61809045226130666e-01 4.05713287240519332e-02 -3.37610851443994513e-03
3.81909547738693456e-01 4.08906784044878804e-02 -3.63053060432371724e-03
4.02010050251256301e-01 4.12313391516261965e-02 -3.89000568364671279e-03
4.22110552763819091e-01 4.15940240868961156e-02 -4.15526907516140537e-03
4.42211055276381937e-01 4.19795071720925686e-02 -4.42705746650000950e-03
4.62311557788944727e-01 4.23886282894069683e-02 -4.70612113526099312e-03
4.82412060301507517e-01 4.28222990107503601e-02 -4.99323472464276077e-03
5.02512562814070307e-01 4.32815091881111336e-02 -5.28920720211269787e-03
5.22613065326633208e-01 4.37673345290230734e-02 -5.59489148501578128e-03
5.42713567839195998e-01 4.42809453644493894e-02 -5.91119411742130341e-03
5.62814070351758788e-01 4.48236168752317587e-02 -6.23908532866419754e-03
5.82914572864321578e-01 4.53967411239246041e-02 -6.57960977568695059e-03
6.03015075376884369e-01 4.60018413499230089e-02 -6.93389826695860276e-03
6.23115577889447270e-01 4.66405891423816790e-02 -7.30318077800700891e-03
6.43216080402010060e-01 4.73148253274217612e-02 -7.68880110016546565e-03
6.63316582914572850e-01 4.80265857289384202e-02 -8.09223350786972273e-03
6.83417085427135640e-01 4.87781334347205664e-02 -8.51510189817842461e-03
7.03517587939698541e-01 4.95719999097632008e-02 -8.95920194331599126e-03
7.23618090452261331e-01 5.04110383807481188e-02 -9.42652691152671106e-03
7.43718592964824121e-01 5.12984946054062321e-02 -9.91929796272891622e-03
7.63819095477386911e-01 5.22381028296375199e-02 -1.04399999202048951e-02
7.83919597989949701e-01 5.32342191302371676e-02 -1.09914237743346920e-02
8.04020100502512602e-01 5.42920116991043658e-02 -1.15767175113359860e-02
8.24120603015075393e-01 5.54177403246287614e-02 -1.21994473014982001e-02
8.44221105527638183e-01 5.66191801530835370e-02 -1.28636716739550083e-02
8.64321608040200973e-01 5.79062899100629205e-02 -1.35740322408918895e-02
8.84422110552763874e-01 5.92923467438960100e-02 -1.43359346778503503e-02
9.04522613065326664e-01 6.07963784175192049e-02 -1.51628766777651275e-02
9.24623115577889454e-01 6.24564812052410753e-02 -1.61430624984268307e-02
9.44723618090452244e-01 6.43962789737856645e-02 -1.70163267552506173e-02
9.64824120603015034e-01 6.63512345992067765e-02 -1.72335965681071276e-02
9.84924623115577935e-01 6.82255359034917575e-02 -1.79959164111059139e-02
1.00502512562814061e+00 7.05973578083601838e-02 -1.98140616046771564e-02
1.02512562814070352e+00 7.41339494848633762e-02 -2.24457945653295313e-02
1.04522613065326642e+00 7.95520952729032449e-02 -2.40120765571671009e-02
1.06532663316582910e+00 8.52613019452651555e-02 -4.15322725901371651e-03
1.08542713567839200e+00 7.06521630756486024e-02 3.84122858488062657e-02
1.10552763819095468e+00 4.54875123890310790e-02 1.50333437475800597e-02
1.12562814070351758e+00 4.15246213740070799e-02 -3.20075189899860571e-02
1.14572864321608048e+00 5.17436444004758869e-02 -6.43561337049853716e-02
1.16582914572864316e+00 6.47941024850541419e-02 -8.26898776133325325e-02
1.18592964824120606e+00 8.22971903520477860e-02 -8.77927924956492384e-02
1.20603015075376874e+00 1.00633565548700371e-01 -8.81844881231859667e-02
1.22613065326633164e+00 1.10135394422463742e-01 -8.32647178996488574e-02
1.24623115577889454e+00 1.24450723006412176e-01 -7.28704387597872844e-02
1.26633165829145722e+00 1.26966677048290066e-01 -7.81224387807489401e-02
1.28643216080402012e+00 1.30510054647258844e-01 -6.86787412520079577e-02
1.30653266331658302e+00 1.29644330747612113e-01 -9.45301465306584293e-02
1.32663316582914570e+00 1.35088095384372830e-01 -1.02628217388547383e-01
1.34673366834170860e+00 1.40784190678107407e-01 -1.52857823508883606e-01
1.36683417085427128e+00 2.36272500181405526e-01 -2.10443060961966549e-01
1.38693467336683418e+00 6.67086843847768618e-01 -1.86992604864536310e-01
1.40703517587939708e+00 6.37836295320063029e-01 1.25710527923088483e-01
1.42713567839195976e+00 3.07970752218764132e-01 1.52653060159392645e-01
1.44723618090452266e+00 2.88104281673840723e-01 4.07348033810599544e-02
1.46733668341708534e+00 3.31603207725980564e-01 4.84485412694677167e-02
1.48743718592964824e+00 3.70621156236333238e-01 1.98967020780649539e-01
1.50753768844221114e+00 2.80351423438598701e-01 4.21169951567657019e-01
1.52763819095477382e+00 1.61428675869073723e-01 1.31103514690626227e-01
1.54773869346733672e+00 3.22690888961522482e-01 -1.30996421335157487e-01
1.56783919597989940e+00 3.80038049927383159e-01 3.34321330188209545e-02
1.58793969849246230e+00 4.71518750589728197e-01 1.16534412551635255e-01
1.60804020100502520e+00 4.98081236599638044e-01 1.07267956630463637e-01
1.62814070351758788e+00 5.98809767829570960e-01 2.89221332958453314e-01
1.64824120603015079e+00 6.18087149716931128e-01 3.40216585355603840e-01
1.66834170854271346e+00 7.36194463125272813e-01 8.22002810350478841e-01
1.68844221105527637e+00 2.21338950061153367e-01 2.93261796346198045e+00
1.70854271356783927e+00 -1.03883169898400429e+00 1.81812748157352244e+00
1.72864321608040195e+00 -9.01310848292019906e-01 -6.50304799651415966e-01
1.74874371859296485e+00 -2.55021079785854365e-01 -7.39030433628076300e-01
1.76884422110552775e+00 1.04668230452922825e-01 -4.62256276039952618e-01
1.78894472361809043e+00 2.68596062862773655e-01 2.86143590005605186e-01
1.80904522613065333e+00 1.49310110570693433e-01 4.70740488724479988e-01
1.82914572864321601e+00 1.11572466249783162e-01 3.41339376547005635e-01
1.84924623115577891e+00 1.27021237867507852e-01 9.36211400126710780e-01
1.86934673366834181e+00 -4.01004165987516537e-01 1.16422349100353939e+00
1.88944723618090449e+00 -4.32021762678932275e-01 -2.73579115803447015e-01
1.90954773869346739e+00 2.48282462468831892e-02 -2.19690122158631707e-01
1.92964824120603007e+00 5.37031531613179139e-03 6.44776765083647563e-01
1.94974874371859297e+00 -2.35072471936235650e-01 6.08878854014050619e-01
1.96984924623115587e+00 -2.05245800855788085e-01 4.36865436059468148e-02
1.98994974874371855e+00 -8.98138806550964064e-02 5.19744531531120546e-01
2.01005025125628123e+00 -3.52296829625840691e-01 6.11909941207966712e-01
2.03015075376884413e+00 -3.40386311692064847e-01 1.83121461500868027e-01
2.05025125628140703e+00 -3.71958549738917454e-01 2.34417587240068059e-01
2.07035175879396993e+00 -3.34681256470510502e-01 -3.42360571646243700e-02
2.09045226130653283e+00 -2.58798017822945980e-01 -1.27898117136245244e-03
2.11055276381909529e+00 -1.98522636120052137e-01 -9.63788823075824481e-03
2.13065326633165819e+00 -1.96355751331287381e-01 4.14756741812644311e-02
2.15075376884422109e+00 -1.48868001674299477e-01 1.72842080509723328e-02
2.17085427135678399e+00 -1.52707481206480922e-01 1.99033058947783087e-01
2.19095477386934689e+00 -2.25616531218188338e-01 9.33387944298001010e-02
2.21105527638190935e+00 -8.69369677992038736e-02 8.72166117241702891e-03
2.23115577889447225e+00 -1.52141823363809686e-01 4.09229693366355618e-01
2.25125628140703515e+00 -2.24775170418895887e-01 -1.51929842356136713e-01
2.27135678391959805e+00 1.22398622369184182e-01 -3.25109537707789609e-01
2.29145728643216096e+00 1.07119046880720090e-01 4.77760259100752760e-01
2.31155778894472341e+00 -2.19533046495478806e-01 8.27973794707676736e-01
2.33165829145728631e+00 -4.85388399452351293e-01 3.39936839540739888e-01
2.35175879396984921e+00 -4.03974634872398708e-01 -9.75664216421687214e-02
2.37185929648241212e+00 -2.58711031714157935e-01 -2.10612851687708269e-01
2.39195979899497502e+00 -7.53517829726374627e-02 -5.94199461383861594e-01
2.41206030150753747e+00 9.58276373384322339e-02 3.22572094242126683e-01
2.43216080402010038e+00 -3.88739507682851315e-01 6.42787175679945477e-01
2.45226130653266328e+00 -4.67865853930069964e-01 -1.74791421906910577e-01
2.47236180904522618e+00 -2.56495557336019087e-01 -2.80701590759022901e-01
2.49246231155778908e+00 -2.33060393039615565e-01 -3.26797649480478680e-01
2.51256281407035198e+00 -1.13912674514284898e-01 -1.64012043799781487e-01
2.53266331658291444e+00 -1.98689771900833867e-01 5.89344883157538635e-01
2.55276381909547734e+00 -6.14112821433294820e-01 1.60223803818381172e+00
2.57286432160804024e+00 -8.98946292313780537e-01 -1.49596142862516923e+00
2.59296482412060314e+00 1.86889047508964579e+00 -4.28496095509685571e+00
2.61306532663316604e+00 3.26815748986006804e+00 -1.45315265328845133e+00
2.63316582914572850e+00 4.60274461622297171e+00 -5.24410288168628647e+00
2.65326633165829140e+00 6.75687476722717495e+00 6.99541159996921458e+00
2.67336683417085430e+00 -4.29083144535549010e+00 1.58952992327120324e+01
2.69346733668341720e+00 -5.23188518979402950e+00 -5.41555749781759044e+00
2.71356783919598010e+00 -2.52638465232894704e+00 -4.03172988164608181e+00
2.73366834170854256e+00 -1.61775183681316737e+00 -6.41536823979306225e-01
2.75376884422110546e+00 -1.18325091336876453e+00 1.95779347328299547e-02
2.77386934673366836e+00 -1.07926184996448082e+00 -5.75082227277153080e-01
2.79396984924623126e+00 -4.12313412172915006e-01 -1.05122778599476741e+00
2.81407035175879416e+00 -9.94615496161871809e-02 -5.72772414101872851e-01
2.83417085427135662e+00 3.29757296160321012e-01 -6.07782493714408734e-01
2.85427135678391952e+00 6.34547816246475715e-01 -3.08013815315115513e-01
2.87437185929648242e+00 9.78137503488707316e-01 -7.73179839846538097e-02
2.89447236180904532e+00 1.43708979080489785e+00 -1.03021663114176687e+00
