# SHG chi units=pm/V component=yxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.40313717218210368e+01 1.16227961054028824e-06
2.01005025125628144e-02 1.40985729973318819e+01 5.22379687460366397e-03
4.02010050251256287e-02 1.40593691631767861e+01 2.61851788304394905e-03
6.03015075376884396e-02 1.40390323917285880e+01 1.74800460675514835e-03
8.04020100502512575e-02 1.40209236849010779e+01 1.31286388787922245e-03
1.00502512562814075e-01 1.40015062564840829e+01 1.05204217843140463e-03
1.20603015075376879e-01 1.39795022996377671e+01 8.78418636208852369e-04
1.40703517587939697e-01 1.39542671442908759e+01 7.54637469720197368e-04
1.60804020100502515e-01 1.39253762272200881e+01 6.62016537276654236e-04
1.80904522613065333e-01 1.38924854326246692e+01 5.90175985574025569e-04
2.01005025125628151e-01 1.38552738103511039e+01 5.32888030536806507e-04
2.21105527638190968e-01 1.38134161634884673e+01 4.86190026423359762e-04
2.41206030150753759e-01 1.37665679082530659e+01 4.47440852349946820e-04
2.61306532663316604e-01 1.37143554015220435e+01 4.14812763025907999e-04
2.81407035175879394e-01 1.36563687965481879e+01 3.87001004905940661e-04
3.01507537688442184e-01 1.35921560361562630e+01 3.63049587564618053e-04
3.21608040201005030e-01 1.35212172717518939e+01 3.42242399732382103e-04
3.41708542713567820e-01 1.34429993182878800e+01 3.24032768566722069e-04
3.61809045226130666e-01 1.33568899205061538e+01 3.07996516302869758e-04
3.81909547738693456e-01 1.32622117001749213e+01 2.93799861002981175e-04
4.02010050251256301e-01 1.31582157182691031e+01 2.81176970992543158e-04
4.22110552763819091e-01 1.30440746422677574e+01 2.69913959725626216e-04
4.42211055276381937e-01 1.29188755722591910e+01 2.59837278176872988e-04
4.62311557788944727e-01 1.27816126646542454e+01 2.50805173608855802e-04
4.82412060301507517e-01 1.26311798163052575e+01 2.42701329017506713e-04
5.02512562814070307e-01 1.24663638590518264e+01 2.35430083186135105e-04
5.22613065326633208e-01 1.22858390018988430e+01 2.28912819969665822e-04
5.42713567839195998e-01 1.20881637026075861e+01 2.23085239032432583e-04
5.62814070351758788e-01 1.18717818441883392e+01 2.17895310006867060e-04
5.82914572864321578e-01 1.16350311837565616e+01 2.13301771221328929e-04
6.03015075376884369e-01 1.13761637780655427e+01 2.09273080538613187e-04
6.23115577889447270e-01 1.10933858870502426e+01 2.05786762092108886e-04
6.43216080402010060e-01 1.07849294272931928e+01 2.02829121305066922e-04
6.63316582914572850e-01 1.04491746441952067e+01 2.00395330480459969e-04
6.83417085427135640e-01 1.00848565491976565e+01 1.98489916629424642e-04
7.03517587939698541e-01 9.69140999581146012e+00 1.97127720755577683e-04
7.23618090452261331e-01 9.26954799357472758e+00 1.96335444917366820e-04
7.43718592964824121e-01 8.82224065550311032e+00 1.96153972882757988e-04
7.63819095477386911e-01 8.35640012259996467e+00 1.96641751658529855e-04
7.83919597989949701e-01 7.88584827743539662e+00 1.97879679353224209e-04
8.04020100502512602e-01 7.43670093106014907e+00 1.99978197386601898e-04
8.24120603015075393e-01 7.05749430699687252e+00 2.03087700188354849e-04
8.44221105527638183e-01 6.83901975768354919e+00 2.07415035073705840e-04
8.64321608040200973e-01 6.95458706169963037e+00 2.19246038612729883e-04
8.84422110552763874e-01 7.74033207229498643e+00 5.54377621192672556e-03
9.04522613065326664e-01 9.79043573023497515e+00 6.90320572260965659e-01
9.24623115577889454e-01 1.28998054928607431e+01 1.42420892553317344e+01
9.44723618090452244e-01 4.16914806413145023e+00 5.78065423049231981e+01
9.64824120603015034e-01 -2.36315676676325239e+01 7.66046745813654724e+01
9.84924623115577935e-01 -5.03472168821961645e+01 6.86881189421979883e+01
1.00502512562814061e+00 -7.59630523004678224e+01 5.96196139504843359e+01
1.02512562814070352e+00 -1.04700125793114111e+02 5.17277568368660638e+01
1.04522613065326642e+00 -1.41526346890866819e+02 3.99346455923217789e+01
1.06532663316582910e+00 -1.85488492789178906e+02 -4.90684592305821141e+01
1.08542713567839200e+00 -1.62600960609813313e+02 -2.87234899162313411e+02
1.10552763819095468e+00 -5.45006126308891012e+01 -3.66771794921256060e+02
1.12562814070351758e+00 2.80496116892381941e+01 -3.09976678410488432e+02
1.14572864321608048e+00 7.97330344013164023e+01 -2.50211347937180307e+02
1.16582914572864316e+00 1.11003799127092151e+02 -1.98385609832335831e+02
1.18592964824120606e+00 1.28999812974957848e+02 -1.57394649916946804e+02
1.20603015075376874e+00 1.41353832437930038e+02 -1.16211562137674193e+02
1.22613065326633164e+00 1.40075775569459665e+02 -9.45555434684170280e+01
1.24623115577889454e+00 1.45723536905293798e+02 -5.73410389404860652e+01
1.26633165829145722e+00 1.33073898975640304e+02 -4.51386539088791920e+01
1.28643216080402012e+00 1.32829124439690673e+02 -2.17755246441874704e+01
1.30653266331658302e+00 1.15260801122203461e+02 -6.16883461971613567e+00
1.32663316582914570e+00 1.03644370964154376e+02 1.18178373833002883e+01
1.34673366834170860e+00 8.10538632171642490e+01 -2.54231158541210034e+00
1.36683417085427128e+00 6.97585090345938283e+01 -1.61265384749993146e+01
1.38693467336683418e+00 6.82538150480429522e+01 -1.00983468262659841e+02
1.40703517587939708e+00 1.16175576535402882e+02 -1.26616102881423899e+02
1.42713567839195976e+00 1.32997490642290160e+02 -7.88561262925411199e+01
1.44723618090452266e+00 1.49176646570376818e+02 -6.41382112506881867e+01
1.46733668341708534e+00 1.54048633088244799e+02 -5.35827513432198117e+01
1.48743718592964824e+00 1.68758052089037363e+02 -4.73342606956376315e+01
1.50753768844221114e+00 1.75610294432900957e+02 -3.46202222299746367e+01
1.52763819095477382e+00 1.94769296938335344e+02 -2.72708400402992233e+01
1.54773869346733672e+00 1.98186517839732346e+02 2.88199016642922530e+01
1.56783919597989940e+00 1.94725401361382069e+02 3.83299825304819279e+01
1.58793969849246230e+00 1.93953772060751646e+02 7.17372775509642082e+01
1.60804020100502520e+00 1.82732882453590435e+02 8.57541030124910293e+01
1.62814070351758788e+00 1.79694633164868435e+02 1.05319269197683610e+02
1.64824120603015079e+00 1.64982046195574497e+02 1.50440298713577164e+02
1.66834170854271346e+00 1.35543101401840886e+02 1.61941876116514521e+02
1.68844221105527637e+00 1.19709421919278711e+02 1.42774838786181220e+02
1.70854271356783927e+00 1.07512376478531095e+02 1.50486032116562370e+02
1.72864321608040195e+00 9.84357269442811571e+01 1.32815339409437598e+02
1.74874371859296485e+00 9.53760912078414549e+01 1.54909076384232520e+02
1.76884422110552775e+00 7.69960201524290113e+01 1.67609724339312095e+02
1.78894472361809043e+00 6.47570025229543944e+01 1.81944265137077906e+02
1.80904522613065333e+00 3.25095777859096700e+01 2.07988451764795684e+02
1.82914572864321601e+00 2.13431682405335765e+00 1.73038118134347940e+02
1.84924623115577891e+00 -1.05727323808101961e+01 1.42795828900524810e+02
1.86934673366834181e+00 -2.29149900610234347e+01 1.37610685368452323e+02
1.88944723618090449e+00 -4.08226420740881011e+01 1.16566871788230316e+02
1.90954773869346739e+00 -4.57923233043554987e+01 5.13041565729673579e+01
1.92964824120603007e+00 -2.84362092389780727e+01 3.58651634046654522e+01
1.94974874371859297e+00 -2.71071868073484801e+01 2.74920253601787969e+01
1.96984924623115587e+00 -1.65133073720508854e+01 -1.01197815408921397e+01
1.98994974874371855e+00 6.21003005285847642e+00 -2.87061221687621284e+01
2.01005025125628123e+00 2.63923520710557007e+01 -2.75655741237560896e+01
2.03015075376884413e+00 4.06780311244206629e+01 -3.05884642448913588e+01
2.05025125628140703e+00 6.29376770014020437e+01 -3.80331882695370496e+01
2.07035175879396993e+00 8.47534566010245243e+01 -5.07438994366666947e+01
