# SHG chi units=pm/V component=yxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.71260877028677882e-03 4.52649207690758547e-07
2.01005025125628144e-02 -8.62539176376830516e-04 6.61167942050734994e-03
4.02010050251256287e-02 -1.28429299361431347e-03 3.31287639349245972e-03
6.03015075376884396e-02 -1.43535017356532504e-03 2.21225722025252198e-03
8.04020100502512575e-02 -1.51605905890119267e-03 1.66261430727744066e-03
1.00502512562814075e-01 -1.56905355968141834e-03 1.33350940392410800e-03
1.20603015075376879e-01 -1.60878439892603222e-03 1.11470978792673620e-03
1.40703517587939697e-01 -1.64150067738260568e-03 9.58957958441965415e-04
1.60804020100502515e-01 -1.67035300278278558e-03 8.42622095096328067e-04
1.80904522613065333e-01 -1.69711109882083981e-03 7.52573135727566426e-04
2.01005025125628151e-01 -1.72285461835967272e-03 6.80934187940067165e-04
2.21105527638190968e-01 -1.74828829667377037e-03 6.22693503803901059e-04
2.41206030150753759e-01 -1.77389999479890710e-03 5.74510840546515068e-04
2.61306532663316604e-01 -1.80004606107074614e-03 5.34074690807962533e-04
2.81407035175879394e-01 -1.82700030393380354e-03 4.99734973795236881e-04
3.01507537688442184e-01 -1.85498355077088153e-03 4.70282651713257614e-04
3.21608040201005030e-01 -1.88418229559644173e-03 4.44811996533654567e-04
3.41708542713567820e-01 -1.91476094481881579e-03 4.22631479509707466e-04
3.61809045226130666e-01 -1.94687017123283700e-03 4.03204376835285575e-04
3.81909547738693456e-01 -1.98065283355636744e-03 3.86108146886484825e-04
4.02010050251256301e-01 -2.01624834003016635e-03 3.71006011859341801e-04
4.22110552763819091e-01 -2.05379600439840534e-03 3.57626679226254770e-04
4.42211055276381937e-01 -2.09343774870796029e-03 3.45749617257545112e-04
4.62311557788944727e-01 -2.13532039075315250e-03 3.35194198743548450e-04
4.82412060301507517e-01 -2.17959768381883415e-03 3.25811591237982958e-04
5.02512562814070307e-01 -2.22643223478960787e-03 3.17478630835482808e-04
5.22613065326633208e-01 -2.27599740555477258e-03 3.10093155184933155e-04
5.42713567839195998e-01 -2.32847929751520437e-03 3.03570427665066794e-04
5.62814070351758788e-01 -2.38407893076633421e-03 2.97840393541090674e-04
5.82914572864321578e-01 -2.44301476333455211e-03 2.92845585003852617e-04
6.03015075376884369e-01 -2.50552576381307852e-03 2.88539545430072780e-04
6.23115577889447270e-01 -2.57187537835621175e-03 2.84885684514986164e-04
6.43216080402010060e-01 -2.64235696917446920e-03 2.81856508330601333e-04
6.63316582914572850e-01 -2.71730174519969284e-03 2.79433194963188002e-04
6.83417085427135640e-01 -2.79709105636272160e-03 2.77605513556148016e-04
7.03517587939698541e-01 -2.88217660193926944e-03 2.76372111860097238e-04
7.23618090452261331e-01 -2.97311552067345847e-03 2.75741232831309491e-04
7.43718592964824121e-01 -3.07063453165126602e-03 2.75731966191824064e-04
7.63819095477386911e-01 -3.17575304348031214e-03 2.76376209495978831e-04
7.83919597989949701e-01 -3.29003095546403449e-03 2.77721617100949259e-04
8.04020100502512602e-01 -3.41609135113073734e-03 2.79835985265933381e-04
8.24120603015075393e-01 -3.55877255852159267e-03 2.82813808465007482e-04
8.44221105527638183e-01 -3.72774539349871687e-03 2.86786245618570379e-04
8.64321608040200973e-01 -3.94327498015740671e-03 2.91926510558687745e-04
8.84422110552763874e-01 -4.24424192428966840e-03 2.90245274777338913e-04
9.04522613065326664e-01 -4.62486950666344578e-03 -6.20899106333769758e-04
9.24623115577889454e-01 -3.58325145348218450e-03 -1.35438794479187177e-02
9.44723618090452244e-01 1.02480179073804242e-02 -1.73876874746805403e-02
9.64824120603015034e-01 7.94464070602108816e-03 4.36315300833002642e-02
9.84924623115577935e-01 -2.05333534424515830e-02 5.47678650336578601e-02
1.00502512562814061e+00 -3.65163505304513594e-02 9.98253101394305092e-03
1.02512562814070352e+00 -3.14334259599881108e-02 -3.42865882103891018e-02
1.04522613065326642e+00 -1.36286079323091770e-02 -5.50746797737955290e-02
1.06532663316582910e+00 6.17248356533403771e-03 -5.72892328909211865e-02
1.08542713567839200e+00 2.59220156272720811e-02 -4.64957425813670999e-02
1.10552763819095468e+00 3.87306486399289635e-02 -2.06155904637578009e-03
1.12562814070351758e+00 3.22395553752085270e-02 4.46697550907906929e-02
1.14572864321608048e+00 1.22626477139124081e-02 6.94166735431647475e-02
1.16582914572864316e+00 -1.32541734346853599e-02 7.54245789091276680e-02
1.18592964824120606e+00 -3.40317420776068205e-02 6.64292634299492452e-02
1.20603015075376874e+00 -5.29392014798321375e-02 4.32772760191631259e-02
1.22613065326633164e+00 -6.30972308110478025e-02 2.04473606549136315e-02
1.24623115577889454e+00 -6.57507573395494233e-02 -1.31502896183354270e-02
