# SHG chi units=pm/V component=yxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 4.24551439217386584e-01 -3.02321187800977414e-06
2.01005025125628144e-02 3.84497855820210344e-01 -8.82755816284778658e-03
4.02010050251256287e-02 4.10759014732468453e-01 -4.43215536207270354e-03
6.03015075376884396e-02 4.19029025486803430e-01 -2.96652377284301483e-03
8.04020100502512575e-02 4.24120327213746595e-01 -2.23619417203252489e-03
1.00502512562814075e-01 4.28152806041308454e-01 -1.80030781925367370e-03
1.20603015075376879e-01 4.31760535263882139e-01 -1.51174788350077896e-03
1.40703517587939697e-01 4.35203739100963882e-01 -1.30744188476502525e-03
1.60804020100502515e-01 4.38611146394498497e-01 -1.15585418846665070e-03
1.80904522613065333e-01 4.42055335653699422e-01 -1.03947088292422464e-03
2.01005025125628151e-01 4.45581676076537814e-01 -9.47791004639932989e-04
2.21105527638190968e-01 4.49221158449873370e-01 -8.74140042278562950e-04
2.41206030150753759e-01 4.52996716251513942e-01 -8.14076537641259370e-04
2.61306532663316604e-01 4.56926607541182639e-01 -7.64534124511778257e-04
2.81407035175879394e-01 4.61026352516298754e-01 -7.23331356788818234e-04
3.01507537688442184e-01 4.65309912822866434e-01 -6.88877732747667838e-04
3.21608040201005030e-01 4.69790451729283853e-01 -6.59990112867839046e-04
3.41708542713567820e-01 4.74480853475131636e-01 -6.35774107332599380e-04
3.61809045226130666e-01 4.79394100746066754e-01 -6.15545202072581977e-04
3.81909547738693456e-01 4.84543567976824074e-01 -5.98775022312574164e-04
4.02010050251256301e-01 4.89943265826434382e-01 -5.85053981536023016e-04
4.22110552763819091e-01 4.95608059663373068e-01 -5.74064908103584515e-04
4.42211055276381937e-01 5.01553877772047740e-01 -5.65564221591555606e-04
4.62311557788944727e-01 5.07797920941605252e-01 -5.59368439051787739e-04
4.82412060301507517e-01 5.14358882895166625e-01 -5.55344551587054827e-04
5.02512562814070307e-01 5.21257189987795688e-01 -5.53403304052330243e-04
5.22613065326633208e-01 5.28515268369884383e-01 -5.53494740447342082e-04
5.42713567839195998e-01 5.36157847158841183e-01 -5.55605607950879882e-04
5.62814070351758788e-01 5.44212306942755686e-01 -5.59758382422485541e-04
5.82914572864321578e-01 5.52709084019373575e-01 -5.66011814105838785e-04
6.03015075376884369e-01 5.61682141944850666e-01 -5.74463012890116592e-04
6.23115577889447270e-01 5.71169522823085529e-01 -5.85251213056602699e-04
6.43216080402010060e-01 5.81213990438886885e-01 -5.98563493700038731e-04
6.63316582914572850e-01 5.91863773973609342e-01 -6.14642900351562282e-04
6.83417085427135640e-01 6.03173410654587294e-01 -6.33799639744183295e-04
7.03517587939698541e-01 6.15204659659086772e-01 -6.56426338062477310e-04
7.23618090452261331e-01 6.28027398973244222e-01 -6.83018816835267474e-04
7.43718592964824121e-01 6.41720279127224735e-01 -7.14204536725668109e-04
7.63819095477386911e-01 6.56370594475229052e-01 -7.50781930832540123e-04
7.83919597989949701e-01 6.72072109878504409e-01 -7.93775539345202433e-04
8.04020100502512602e-01 6.88917874929766971e-01 -8.44514595606415627e-04
8.24120603015075393e-01 7.06980949256636126e-01 -9.04747275195355344e-04
8.44221105527638183e-01 7.26266144302351035e-01 -9.76810674764627901e-04
8.64321608040200973e-01 7.46595864475160131e-01 -1.06399537196456883e-03
8.84422110552763874e-01 7.67401136372431458e-01 -1.25870030987418270e-03
9.04522613065326664e-01 7.88225783622646281e-01 -1.17016927290552689e-02
9.24623115577889454e-01 8.25820590690778844e-01 -1.76221944015218096e-01
9.44723618090452244e-01 1.03618430526644967e+00 -3.90866963105523713e-01
9.64824120603015034e-01 1.20723617996075494e+00 1.79492605637608132e-01
9.84924623115577935e-01 1.05333105677974115e+00 6.49890442219452691e-01
1.00502512562814061e+00 8.52838536208800679e-01 5.86066604495896426e-01
1.02512562814070352e+00 7.68170293348620858e-01 2.84158364434018373e-01
1.04522613065326642e+00 8.35612530412272791e-01 -2.41648028851259543e-02
1.06532663316582910e+00 1.02540360690087806e+00 -3.46215032785852986e-02
1.08542713567839200e+00 1.09101372440967226e+00 4.37314532795596511e-01
1.10552763819095468e+00 9.42756614111187607e-01 4.88926583086182753e-01
1.12562814070351758e+00 9.09729167687955420e-01 2.54572302975264286e-01
1.14572864321608048e+00 9.77467849701583291e-01 1.28870515716191403e-01
1.16582914572864316e+00 1.08664792292815493e+00 9.61364886469257690e-02
1.18592964824120606e+00 1.18481805034701293e+00 1.40488137909399291e-01
1.20603015075376874e+00 1.26020352748283382e+00 2.46069593588083502e-01
1.22613065326633164e+00 1.33434526128172326e+00 2.95042702623882991e-01
1.24623115577889454e+00 1.37978450899855276e+00 3.07514977404833578e-01
1.26633165829145722e+00 1.49424233661219441e+00 2.49776272817920891e-01
1.28643216080402012e+00 1.67749637827075038e+00 2.01398382934457915e-01
1.30653266331658302e+00 1.93738922568740057e+00 1.75190392125333716e-01
1.32663316582914570e+00 2.30907561461052779e+00 2.18556365389715179e-01
1.34673366834170860e+00 2.77841587145411095e+00 5.35865858356235347e-01
1.36683417085427128e+00 3.29780304647609013e+00 1.57475002166571643e+00
1.38693467336683418e+00 3.07426659915151701e+00 6.32732336022478226e+00
1.40703517587939708e+00 1.25560992662175991e-01 7.64054577040918481e+00
1.42713567839195976e+00 -9.96435919897347699e-01 4.05775269039153486e+00
1.44723618090452266e+00 -1.24640777589658347e+00 3.06550465421171259e+00
1.46733668341708534e+00 -1.52105389507681688e+00 2.60328612452434927e+00
1.48743718592964824e+00 -1.74010073536286969e+00 1.98254810522363223e+00
1.50753768844221114e+00 -1.78262176654169480e+00 1.02440500878323326e+00
