# SHG chi units=pm/V component=yyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.11088368386381564e+01 6.29024664241568220e-06
2.01005025125628144e-02 -1.08716552844867707e+01 2.89866481371747840e-03
4.02010050251256287e-02 -1.09999066320182308e+01 1.45583976296870970e-03
6.03015075376884396e-02 -1.10484704736003128e+01 9.74039950083748982e-04
8.04020100502512575e-02 -1.10810059124347724e+01 7.33328380119701554e-04
1.00502512562814075e-01 -1.11094546450066503e+01 5.89137594714459097e-04
1.20603015075376879e-01 -1.11376966011888037e+01 4.93227668509975728e-04
1.40703517587939697e-01 -1.11673444136789506e+01 4.24915370951972583e-04
1.60804020100502515e-01 -1.11991583397758365e+01 3.73857032488034461e-04
1.80904522613065333e-01 -1.12335112029622390e+01 3.34305760267046928e-04
2.01005025125628151e-01 -1.12705712477802731e+01 3.02813498123085723e-04
2.21105527638190968e-01 -1.13103826374025829e+01 2.77186276716963212e-04
2.41206030150753759e-01 -1.13529029591837620e+01 2.55961758428807629e-04
2.61306532663316604e-01 -1.13980203473867316e+01 2.38127893767002335e-04
2.81407035175879394e-01 -1.14455597450191409e+01 2.22962139593288532e-04
3.01507537688442184e-01 -1.14952825745552332e+01 2.09934988965450900e-04
3.21608040201005030e-01 -1.15468817506423012e+01 1.98649678143025365e-04
3.41708542713567820e-01 -1.15999728144875061e+01 1.88803174127805817e-04
3.61809045226130666e-01 -1.16540813233279064e+01 1.80160168305084777e-04
3.81909547738693456e-01 -1.17086261989261580e+01 1.72535288323484093e-04
4.02010050251256301e-01 -1.17628983875571791e+01 1.65780647976927948e-04
4.22110552763819091e-01 -1.18160338328368724e+01 1.59776958704761475e-04
4.42211055276381937e-01 -1.18669793571746194e+01 1.54427069527688081e-04
4.62311557788944727e-01 -1.19144495364606104e+01 1.49651198647632327e-04
4.82412060301507517e-01 -1.19568719759801869e+01 1.45383360975116240e-04
5.02512562814070307e-01 -1.19923174734477680e+01 1.41568659303642128e-04
5.22613065326633208e-01 -1.20184102728734370e+01 1.38161209189410674e-04
5.42713567839195998e-01 -1.20322118004713499e+01 1.35122530225821364e-04
5.62814070351758788e-01 -1.20300686717491541e+01 1.32420292753032085e-04
5.82914572864321578e-01 -1.20074119642833406e+01 1.30027332807488010e-04
6.03015075376884369e-01 -1.19584891243771363e+01 1.27920875444983225e-04
6.23115577889447270e-01 -1.18760013828165079e+01 1.26081921415969567e-04
6.43216080402010060e-01 -1.17506064811717188e+01 1.24494764204384674e-04
6.63316582914572850e-01 -1.15702259462550749e+01 1.23146612606692319e-04
6.83417085427135640e-01 -1.13190630241891483e+01 1.22027299805542333e-04
7.03517587939698541e-01 -1.09761825876569432e+01 1.21129069595151973e-04
7.23618090452261331e-01 -1.05134109561663127e+01 1.20446425927528549e-04
7.43718592964824121e-01 -9.89214909666921116e+00 1.19976048064811874e-04
7.63819095477386911e-01 -9.05839199575104104e+00 1.19716766906840432e-04
7.83919597989949701e-01 -7.93467408266243446e+00 1.19669612600047359e-04
8.04020100502512602e-01 -6.40651836027930521e+00 1.19837951862439751e-04
8.24120603015075393e-01 -4.29858050031289096e+00 1.20227757274844163e-04
8.44221105527638183e-01 -1.33049486493686575e+00 1.20849734319729000e-04
8.64321608040200973e-01 2.96875476275785255e+00 1.32033107642983680e-04
8.84422110552763874e-01 9.42695010733493532e+00 9.31069154192484989e-03
9.04522613065326664e-01 1.94401746268747289e+01 1.19947046664835111e+00
9.24623115577889454e-01 3.31961293039584717e+01 2.50746638537298949e+01
9.44723618090452244e-01 2.86174924138050066e+01 1.04581511236402221e+02
9.64824120603015034e-01 -8.74798165887347956e+00 1.45990375778817764e+02
9.84924623115577935e-01 -4.34679972938680379e+01 1.39738407142872745e+02
1.00502512562814061e+00 -7.22445815136189537e+01 1.29000732369557795e+02
1.02512562814070352e+00 -9.85167186465458116e+01 1.19171657688707967e+02
1.04522613065326642e+00 -1.25473999321815114e+02 1.08691482493870481e+02
1.06532663316582910e+00 -1.54158608961612202e+02 7.37362430561337874e+01
1.08542713567839200e+00 -1.61627311612081485e+02 -1.26655619419364847e+01
1.10552763819095468e+00 -1.39048420271422117e+02 -5.53585582154363465e+01
1.12562814070351758e+00 -1.20181998018280026e+02 -5.51907038894915303e+01
1.14572864321608048e+00 -1.08594594407346122e+02 -5.14760535551073275e+01
1.16582914572864316e+00 -1.01946229875984471e+02 -4.80292821464970814e+01
1.18592964824120606e+00 -9.83507242854174422e+01 -4.50294972288342095e+01
