# SHG chi units=pm/V component=yyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.46189253093037319e-01 -7.00617789106290216e-05
2.01005025125628144e-02 -1.42887193869889240e-01 7.52217503720639113e-02
4.02010050251256287e-02 -1.45171476913724562e-01 3.76471486405263803e-02
6.03015075376884396e-02 -1.45032540931311849e-01 2.51079890799018532e-02
8.04020100502512575e-02 -1.44720861781778010e-01 1.88438814063641227e-02
1.00502512562814075e-01 -1.44390347771116534e-01 1.50914260227202682e-02
1.20603015075376879e-01 -1.44065529033947953e-01 1.25951675629410904e-02
1.40703517587939697e-01 -1.43751515927285883e-01 1.08168797278774768e-02
1.60804020100502515e-01 -1.43449006442168236e-01 9.48741003837523002e-03
1.80904522613065333e-01 -1.43157368479659236e-01 8.45722195794408778e-03
2.01005025125628151e-01 -1.42875435367119497e-01 7.63659557447097116e-03
2.21105527638190968e-01 -1.42601733934491770e-01 6.96844155798042285e-03
2.41206030150753759e-01 -1.42334543646756129e-01 6.41470665617741454e-03
2.61306532663316604e-01 -1.42071896823798033e-01 5.94905304439482651e-03
2.81407035175879394e-01 -1.41811554024217468e-01 5.55267490354055017e-03
3.01507537688442184e-01 -1.41550965642016302e-01 5.21178830793773452e-03
3.21608040201005030e-01 -1.41287222901224835e-01 4.91606240493570358e-03
3.41708542713567820e-01 -1.41016998367491875e-01 4.65760432430571171e-03
3.61809045226130666e-01 -1.40736474641497411e-01 4.43028249542762841e-03
3.81909547738693456e-01 -1.40441258962058391e-01 4.22926370812744257e-03
4.02010050251256301e-01 -1.40126280605651521e-01 4.05068911756489673e-03
4.22110552763819091e-01 -1.39785667025806526e-01 3.89144288848850689e-03
4.42211055276381937e-01 -1.39412593499451398e-01 3.74898401299278601e-03
4.62311557788944727e-01 -1.38999099510611540e-01 3.62122208603453920e-03
4.82412060301507517e-01 -1.38535863051839875e-01 3.50642422973328595e-03
5.02512562814070307e-01 -1.38011921246871949e-01 3.40314445823871898e-03
5.22613065326633208e-01 -1.37414321885631047e-01 3.31016945646951189e-03
5.42713567839195998e-01 -1.36727685167129881e-01 3.22647653437822856e-03
5.62814070351758788e-01 -1.35933647476852548e-01 3.15120073227825089e-03
5.82914572864321578e-01 -1.35010148342839781e-01 3.08360889058716548e-03
6.03015075376884369e-01 -1.33930506172082353e-01 3.02307908446073281e-03
6.23115577889447270e-01 -1.32662205351015194e-01 2.96908424143473883e-03
6.43216080402010060e-01 -1.31165282510216780e-01 2.92117906105404581e-03
6.63316582914572850e-01 -1.29390146020212204e-01 2.87898957563684959e-03
6.83417085427135640e-01 -1.27274577714392600e-01 2.84220485431560489e-03
7.03517587939698541e-01 -1.24739527409294948e-01 2.81057047477625225e-03
7.23618090452261331e-01 -1.21683078550439444e-01 2.78388348021643261e-03
7.43718592964824121e-01 -1.17971560062727035e-01 2.76198861005164586e-03
7.63819095477386911e-01 -1.13426051871954925e-01 2.74477564653083112e-03
7.83919597989949701e-01 -1.07801161182511346e-01 2.73217775614487384e-03
8.04020100502512602e-01 -1.00750241737078333e-01 2.72417072049139760e-03
8.24120603015075393e-01 -9.17656237451706658e-02 2.72077292957585096e-03
8.44221105527638183e-01 -8.00703224757166321e-02 2.72204591584168003e-03
8.64321608040200973e-01 -6.44116709299721729e-02 2.72811688808074788e-03
8.84422110552763874e-01 -4.26653867699112316e-02 2.75884282728352040e-03
9.04522613065326664e-01 -1.13203808610619211e-02 5.38494475411140875e-03
9.24623115577889454e-01 3.06172287957187234e-02 5.93320438853748508e-02
9.44723618090452244e-01 3.32530705516564107e-02 2.47410546411488408e-01
9.64824120603015034e-01 -4.27170608566822679e-02 3.47036220429729536e-01
9.84924623115577935e-01 -1.03841616299353734e-01 3.07040474377065442e-01
1.00502512562814061e+00 -1.28645067483075554e-01 2.52626636702435292e-01
1.02512562814070352e+00 -1.25776153887373066e-01 2.21511392005333790e-01
1.04522613065326642e+00 -1.04775822291569926e-01 2.21059354022967336e-01
1.06532663316582910e+00 -7.69583417623334320e-02 3.12894054000788902e-01
1.08542713567839200e+00 -1.18362566930702393e-01 5.61372184529078333e-01
1.10552763819095468e+00 -2.52918105425182782e-01 6.75605267453684100e-01
1.12562814070351758e+00 -3.77904086479822654e-01 6.59715368906085176e-01
1.14572864321608048e+00 -4.91352240883267677e-01 6.26711317905978338e-01
1.16582914572864316e+00 -6.03815769089999677e-01 5.87072739118805087e-01
1.18592964824120606e+00 -7.12158417157721324e-01 4.90413075668913678e-01
1.20603015075376874e+00 -7.82332484440410814e-01 2.78215307916134191e-01
1.22613065326633164e+00 -7.76463887070146908e-01 5.12791863861106409e-02
1.24623115577889454e+00 -7.05268842335151303e-01 -1.27287508127584964e-01
1.26633165829145722e+00 -6.04631264854540440e-01 -2.24544640365562098e-01
1.28643216080402012e+00 -4.72142228509041417e-01 -3.71763824461887216e-01
1.30653266331658302e+00 -2.37655255514347324e-01 -5.53412641129366611e-01
1.32663316582914570e+00 1.32977300994340686e-01 -7.01360370812824430e-01
1.34673366834170860e+00 6.91183776240411052e-01 -6.15637966179408802e-01
1.36683417085427128e+00 1.31186836080343672e+00 8.76905308925466365e-01
1.38693467336683418e+00 6.08137994978964480e-01 6.56343251896228619e+00
1.40703517587939708e+00 -2.98088051268036969e+00 7.77811153723068127e+00
1.42713567839195976e+00 -4.76676743937012048e+00 3.01648304650270749e+00
1.44723618090452266e+00 -5.08864741205226956e+00 6.27636708344652572e-01
1.46733668341708534e+00 -5.05958681903410845e+00 -1.26879127915430145e+00
1.48743718592964824e+00 -4.71794335134986564e+00 -3.03305341150248120e+00
1.50753768844221114e+00 -3.87200720124726017e+00 -4.69788909434760793e+00
1.52763819095477382e+00 -2.79696616532063569e+00 -5.56114218313154751e+00
1.54773869346733672e+00 -1.57701442586859830e+00 -6.22762711649230116e+00
1.56783919597989940e+00 -2.17753354900025536e-01 -6.13981411555737289e+00
1.58793969849246230e+00 8.82348481899591586e-01 -5.10063893611087238e+00
1.60804020100502520e+00 1.39365090777423251e+00 -3.49258721204201938e+00
1.62814070351758788e+00 1.46022454342809405e+00 -2.78996211576798592e+00
1.64824120603015079e+00 1.65233975752432727e+00 -2.99252858729717941e+00
1.66834170854271346e+00 2.04693031144156468e+00 -2.17877303362293118e+00
1.68844221105527637e+00 1.87141093203734599e+00 -7.75419772906473459e-01
1.70854271356783927e+00 1.51558909259178765e+00 -1.16300530809281399e+00
1.72864321608040195e+00 1.60553188629813981e+00 -1.11520512578753594e+00
1.74874371859296485e+00 1.46766952682479923e+00 -7.15438765296929402e-01
1.76884422110552775e+00 1.32613735632423935e+00 -6.16037165882936444e-01
1.78894472361809043e+00 1.15738467851303906e+00 -1.11289517276243810e+00
1.80904522613065333e+00 1.52517255602749557e+00 -2.00445808231104161e+00
1.82914572864321601e+00 2.12627339883264854e+00 -1.59021626888777723e+00
1.84924623115577891e+00 2.37259262914411684e+00 -7.33002452610767685e-01
1.86934673366834181e+00 2.40661516694996980e+00 1.75522919504252806e-01
1.88944723618090449e+00 2.11758495058548712e+00 6.74424129430216235e-01
1.90954773869346739e+00 1.97421307671122004e+00 8.47872290806118589e-01
1.92964824120603007e+00 1.73390150791298669e+00 1.28041414287064903e+00
1.94974874371859297e+00 1.40629096471043957e+00 1.61602541164231273e+00
1.96984924623115587e+00 9.91037067555546991e-01 1.70059808254384537e+00
1.98994974874371855e+00 7.07714442808642041e-01 1.30998715229537899e+00
2.01005025125628123e+00 6.01099384184364927e-01 1.52815552727743187e+00
2.03015075376884413e+00 6.20856386362479834e-02 2.70958782792731956e+00
2.05025125628140703e+00 -1.21425133852676326e+00 3.59262926345000944e+00
2.07035175879396993e+00 -2.95376845895560125e+00 4.46673730760090426e-01
2.09045226130653283e+00 -1.65933127157196814e+00 -6.71284749825079352e+00
2.11055276381909529e+00 1.19413973088288294e+00 -5.01050355506066225e+00
2.13065326633165819e+00 1.97351477058488478e+00 -2.36795355228095161e+00
2.15075376884422109e+00 3.15210220718201306e+00 -3.73034272392259814e+00
2.17085427135678399e+00 6.14447336604155758e+00 -5.37678359673357065e+00
2.19095477386934689e+00 7.57102791745982184e+00 6.56100519538018201e+00
2.21105527638190935e+00 3.50027813512481201e+00 6.12638230709306075e+00
2.23115577889447225e+00 2.53477689794766770e+00 5.30003040985319895e+00
2.25125628140703515e+00 2.76234871781549152e-01 5.21910732494453189e+00
2.27135678391959805e+00 -1.68340338633973707e+00 8.65401362135620289e+00
2.29145728643216096e+00 -4.62748405545196739e+00 3.80409561102289961e+00
2.31155778894472341e+00 -2.30396528594496841e+00 -3.09593732764056773e+00
2.33165829145728631e+00 -8.09415471658484154e-01 4.38861044927341037e+00
2.35175879396984921e+00 -2.41759946453134100e+00 3.29030387020641468e+00
2.37185929648241212e+00 -1.72299334992152819e+00 1.90957402689451161e+00
2.39195979899497502e+00 -2.07795308899636799e+00 5.11246303226141396e-01
2.41206030150753747e+00 -1.38743998805980850e+00 1.31176322696106107e+00
2.43216080402010038e+00 -2.76595446573766512e+00 2.28531629290490867e+00
2.45226130653266328e+00 -3.15790205293724480e+00 -1.37658456907181526e+00
2.47236180904522618e+00 -2.54555314317671311e+00 -1.06447173270492246e+00
2.49246231155778908e+00 -3.46365586638035516e+00 3.40376451226306387e-01
2.51256281407035198e+00 -3.72675185284801680e+00 -1.98351222833951768e+00
2.53266331658291444e+00 -3.10320146783250861e+00 -3.80268809433957378e+00
2.55276381909547734e+00 -2.06030447528571514e+00 -3.52105052175266442e+00
2.57286432160804024e+00 -1.57303781229471973e+00 -3.11069221193338175e+00
2.59296482412060314e+00 -2.31314824208981196e-01 -5.60996798493009852e+00
2.61306532663316604e+00 1.31201370305270459e+00 -3.62090433225280961e+00
2.63316582914572850e+00 1.93025538891981840e+00 -2.42985540928572519e+00
2.65326633165829140e+00 2.47886923021603733e+00 -2.52665892930635616e+00
2.67336683417085430e+00 3.28441649962092885e+00 -2.08389655841673127e+00
2.69346733668341720e+00 3.54674536521158856e+00 -2.19250138653415000e-01
2.71356783919598010e+00 3.33623288059304413e+00 6.75235446800314665e-01
2.73366834170854256e+00 3.30532497004324366e+00 2.79397395311772379e-01
2.75376884422110546e+00 3.88262515309810086e+00 1.12632846388738339e+00
2.77386934673366836e+00 3.88386728794273051e+00 4.11923590105150250e+00
2.79396984924623126e+00 2.41631710629277618e+00 7.26634663685435367e+00
2.81407035175879416e+00 3.53193386531508446e-01 6.39847558686615603e+00
2.83417085427135662e+00 -2.77517794645665339e-01 5.00563373821554691e+00
2.85427135678391952e+00 -9.94957698639598709e-01 5.64375472521400479e+00
2.87437185929648242e+00 -2.88695009209640263e+00 7.09825843232166243e+00
2.89447236180904532e+00 -4.47235755671028468e+00 3.99579706040561566e+00
2.91457286432160823e+00 -5.18823868352047857e+00 2.02063564812850638e+00
2.93467336683417068e+00 -5.18962597219909938e+00 -8.02471132888315841e-01
2.95477386934673358e+00 -4.77245275444299200e+00 -1.13116247832155259e+00
2.97487437185929648e+00 -4.46661411125182628e+00 -1.16998759647036987e+00
2.99497487437185939e+00 -4.79552122585623941e+00 -1.01653393761499067e+00
3.01507537688442229e+00 -4.26960933474014315e+00 -5.26681462274362300e+00
3.03517587939698474e+00 -1.27495336714485652e+00 -7.81372057940273024e+00
3.05527638190954764e+00 3.25338933786011197e-01 -5.19081636914182631e+00
3.07537688442211055e+00 1.62398895458979275e+00 -3.92646653310006721e+00
3.09547738693467345e+00 1.45719196546653751e+00 -1.89565847720166225e+00
3.11557788944723635e+00 1.00301552661583515e+00 -1.44565136372016934e+00
3.13567839195979881e+00 8.63419211799228981e-01 -1.35677640084895512e+00
3.15577889447236171e+00 7.34161078692254665e-01 -9.94208001817569298e-01
3.17587939698492461e+00 6.38747270897409125e-01 -1.57730586512418536e+00
3.19597989949748751e+00 1.14762772715307637e+00 -2.57950878630407354e+00
3.21608040201005041e+00 1.91018595357053833e+00 -2.01001669524479931e+00
3.23618090452261287e+00 2.33337201504903646e+00 -1.20990253723862828e+00
3.25628140703517577e+00 2.65520385829984740e+00 2.03692346109582506e-01
3.27638190954773867e+00 2.10885087217010891e+00 2.26749079518334451e+00
3.29648241206030157e+00 1.18262695849334576e+00 2.46866031979546774e+00
3.31658291457286447e+00 6.25781879859688916e-01 2.19602057083325830e+00
3.33668341708542693e+00 1.90075827434548095e-01 2.02755875328809010e+00
3.35678391959798983e+00 -6.14777722901458379e-02 1.88766759040544185e+00
3.37688442211055273e+00 -2.19407692962415690e-01 1.25532343365854082e+00
3.39698492462311563e+00 2.83160419839760778e-02 1.87716680578786721e+00
3.41708542713567853e+00 -7.01244173027338435e-01 2.99300303367681764e+00
3.43718592964824099e+00 -1.16960549903207545e+00 1.87680745087244460e+00
3.45728643216080389e+00 -1.17688535580673581e+00 1.29424842664704132e+00
3.47738693467336679e+00 -1.25995733088767436e+00 1.75369789178057212e+00
3.49748743718592969e+00 -1.64319127587685720e+00 1.24142212263142060e+00
3.51758793969849259e+00 -1.46433699157437380e+00 5.43805607372124911e-01
3.53768844221105550e+00 -1.52260826584652342e+00 1.44808128874808251e+00
3.55778894472361795e+00 -2.26186820873776018e+00 3.09471526488510129e+00
