# SHG chi units=pm/V component=yzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.12283380918717762e+03 -7.58984974044814244e-06
2.01005025125628144e-02 -1.12306333871544985e+03 1.01163904912063164e-02
4.02010050251256287e-02 -1.12374390373857887e+03 5.07607089597391856e-03
6.03015075376884396e-02 -1.12487870896938671e+03 3.39553239892373491e-03
8.04020100502512575e-02 -1.12647087406683750e+03 2.55850155126597289e-03
1.00502512562814075e-01 -1.12852499153450003e+03 2.05925185532330936e-03
1.20603015075376879e-01 -1.13104705562713798e+03 1.72899698077485587e-03
1.40703517587939697e-01 -1.13404449903300883e+03 1.49536706531909589e-03
1.60804020100502515e-01 -1.13752625513322937e+03 1.32217336395987380e-03
1.80904522613065333e-01 -1.14150283781228836e+03 1.18931386424185864e-03
2.01005025125628151e-01 -1.14598643855924888e+03 1.08473201918539625e-03
2.21105527638190968e-01 -1.15099104233916864e+03 1.00076066577859009e-03
2.41206030150753759e-01 -1.15653256451151265e+03 9.32293684917951076e-04
2.61306532663316604e-01 -1.16262901172870215e+03 8.75801434467883924e-04
2.81407035175879394e-01 -1.16930067045732017e+03 8.28768129255304286e-04
3.01507537688442184e-01 -1.17657032760576976e+03 7.89354292421134323e-04
3.21608040201005030e-01 -1.18446352877394497e+03 7.56185826412432340e-04
3.41708542713567820e-01 -1.19300888092650803e+03 7.28217576942137915e-04
3.61809045226130666e-01 -1.20223840791207772e+03 7.04642427598036521e-04
3.81909547738693456e-01 -1.21218796931233305e+03 6.84829166501885059e-04
4.02010050251256301e-01 -1.22289775575152248e+03 6.68279053072219067e-04
4.22110552763819091e-01 -1.23441287722508650e+03 6.54594869364136548e-04
4.42211055276381937e-01 -1.24678406548922453e+03 6.43458497659190514e-04
4.62311557788944727e-01 -1.26006851747462520e+03 6.34614431015244796e-04
4.82412060301507517e-01 -1.27433091459176740e+03 6.27857513705131496e-04
5.02512562814070307e-01 -1.28964466346599920e+03 6.23023734948370284e-04
5.22613065326633208e-01 -1.30609341822223837e+03 6.19983283089708959e-04
5.42713567839195998e-01 -1.32377296462687104e+03 6.18635289612389709e-04
5.62814070351758788e-01 -1.34279357474189760e+03 6.18903876020683694e-04
5.82914572864321578e-01 -1.36328298116764313e+03 6.20735224592692723e-04
6.03015075376884369e-01 -1.38539017856118767e+03 6.24095471350339694e-04
6.23115577889447270e-01 -1.40929034667480460e+03 6.28969298315226310e-04
6.43216080402010060e-01 -1.43519131958581556e+03 6.35359133945424142e-04
6.63316582914572850e-01 -1.46334222673236263e+03 6.43284922497499006e-04
6.83417085427135640e-01 -1.49404524865695453e+03 6.52784461197964045e-04
7.03517587939698541e-01 -1.52767194523419221e+03 6.63914342183398627e-04
7.23618090452261331e-01 -1.56468647553904111e+03 6.76751592776130440e-04
7.43718592964824121e-01 -1.60567951962032203e+03 6.91396177653100935e-04
7.63819095477386911e-01 -1.65141939418920083e+03 7.07974633998587023e-04
7.83919597989949701e-01 -1.70293188715010047e+03 7.26645291197535641e-04
8.04020100502512602e-01 -1.76163023243301450e+03 7.47605843377535705e-04
