# SHG chi units=pm/V component=zxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -5.56468636406557832e-02 -1.01986367984873048e-05
2.01005025125628144e-02 -5.91103253757209457e-02 -1.98039377581010027e-02
4.02010050251256287e-02 -5.74064763429605676e-02 -9.94358713892703680e-03
6.03015075376884396e-02 -5.68698204163483323e-02 -6.65495393646209007e-03
8.04020100502512575e-02 -5.66396590997126984e-02 -5.01565716974959955e-03
1.00502512562814075e-01 -5.65431169977846856e-02 -4.03677106835230535e-03
1.20603015075376879e-01 -5.65225486979136216e-02 -3.38827055199753023e-03
1.40703517587939697e-01 -5.65532867858799110e-02 -2.92865360720750804e-03
1.60804020100502515e-01 -5.66230446903895346e-02 -2.58715910551105942e-03
1.80904522613065333e-01 -5.67250443833025308e-02 -2.32447740520504717e-03
2.01005025125628151e-01 -5.68552645026722744e-02 -2.11702824953208463e-03
2.21105527638190968e-01 -5.70111870127891912e-02 -1.94981260244126635e-03
2.41206030150753759e-01 -5.71911678573698012e-02 -1.81283801519092490e-03
2.61306532663316604e-01 -5.73940949824573166e-02 -1.69919364843565185e-03
2.81407035175879394e-01 -5.76191892483449014e-02 -1.60395024405423064e-03
3.01507537688442184e-01 -5.78658805753951636e-02 -1.52350012181901246e-03
3.21608040201005030e-01 -5.81337252206996016e-02 -1.45514471605569500e-03
3.41708542713567820e-01 -5.84223457926342504e-02 -1.39682773974433784e-03
3.61809045226130666e-01 -5.87313833615618619e-02 -1.34695735509056717e-03
3.81909547738693456e-01 -5.90604549709121129e-02 -1.30428456927964074e-03
4.02010050251256301e-01 -5.94091118478253868e-02 -1.26781818671510842e-03
4.22110552763819091e-01 -5.97767945222150432e-02 -1.23676414351709080e-03
4.42211055276381937e-01 -6.01627812924531574e-02 -1.21048147790855649e-03
4.62311557788944727e-01 -6.05661262011151502e-02 -1.18844988660135706e-03
4.82412060301507517e-01 -6.09855819447090858e-02 -1.17024550294399362e-03
5.02512562814070307e-01 -6.14195018835743678e-02 -1.15552261119074968e-03
5.22613065326633208e-01 -6.18657133941408408e-02 -1.14399971825330550e-03
5.42713567839195998e-01 -6.23213519531856039e-02 -1.13544887497813969e-03
5.62814070351758788e-01 -6.27826411374566573e-02 -1.12968746025125734e-03
5.82914572864321578e-01 -6.32445974771715796e-02 -1.12657186302493584e-03
6.03015075376884369e-01 -6.37006297171490016e-02 -1.12599265410528006e-03
6.23115577889447270e-01 -6.41419877123263343e-02 -1.12787095234356274e-03
6.43216080402010060e-01 -6.45569938998011850e-02 -1.13215577220513396e-03
6.63316582914572850e-01 -6.49299548995994902e-02 -1.13882220259296004e-03
6.83417085427135640e-01 -6.52395932531433936e-02 -1.14787031491961713e-03
7.03517587939698541e-01 -6.54567432617578354e-02 -1.15932473829077356e-03
7.23618090452261331e-01 -6.55408897931917672e-02 -1.17323487351621834e-03
7.43718592964824121e-01 -6.54348356551478355e-02 -1.18967574754030706e-03
7.63819095477386911e-01 -6.50562426181373471e-02 -1.20874953849868625e-03
7.83919597989949701e-01 -6.42837532145202062e-02 -1.23058782585398980e-03
8.04020100502512602e-01 -6.29333158567124407e-02 -1.25535463484235683e-03
8.24120603015075393e-01 -6.07159516509403335e-02 -1.28325033001064088e-03
8.44221105527638183e-01 -5.71586262267253023e-02 -1.31451631180756908e-03
8.64321608040200973e-01 -5.14491966342914553e-02 -1.34941965172012701e-03
8.84422110552763874e-01 -4.21340663999827392e-02 -1.37012916557552431e-03
9.04522613065326664e-01 -2.67473335686238475e-02 9.33508434542523703e-04
9.24623115577889454e-01 -5.36582259403687277e-03 4.74133617804148033e-02
9.44723618090452244e-01 -2.13934092425344599e-02 1.97929381694873591e-01
9.64824120603015034e-01 -9.93856075795113564e-02 2.66509104573097677e-01
9.84924623115577935e-01 -1.69605256252415321e-01 2.44393463195032523e-01
1.00502512562814061e+00 -2.28414702395955793e-01 2.16082593553494129e-01
1.02512562814070352e+00 -2.83445403835590193e-01 1.88613930539871244e-01
1.04522613065326642e+00 -3.41194920150295455e-01 1.56254814885552762e-01
1.06532663316582910e+00 -4.01546744618197393e-01 4.74757638509193183e-02
1.08542713567839200e+00 -3.92573801035308756e-01 -2.06929688386650629e-01
1.10552763819095468e+00 -2.97358762358292061e-01 -3.05214834416795144e-01
1.12562814070351758e+00 -2.23485758083216829e-01 -2.69679909132445328e-01
1.14572864321608048e+00 -1.77007844980855200e-01 -2.30143930726896623e-01
1.16582914572864316e+00 -1.50957368465913677e-01 -1.98960090901921710e-01
1.18592964824120606e+00 -1.28050539164015431e-01 -1.62094951420199807e-01
1.20603015075376874e+00 -1.17125696235225438e-01 -1.19068124557812891e-01
1.22613065326633164e+00 -1.37277120468340424e-01 -4.30187619536854804e-02
1.24623115577889454e+00 -1.70472551316988186e-01 3.13224572461056894e-02
1.26633165829145722e+00 -2.60721781328622670e-01 7.47535128741460969e-02
1.28643216080402012e+00 -3.46503332539677134e-01 7.47071187699095279e-02
1.30653266331658302e+00 -4.69444582816947065e-01 -5.32513560056772223e-03
