# SHG chi units=pm/V component=zxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 4.22256301432761383e-01 -4.68691289458816480e-06
2.01005025125628144e-02 4.85551342596382274e-01 -8.95494641760574521e-03
4.02010050251256287e-02 4.54432493734973852e-01 -4.50795471181705733e-03
6.03015075376884396e-02 4.44404260420861175e-01 -3.02999424420612434e-03
8.04020100502512575e-02 4.39772528937234564e-01 -2.29722271614312638e-03
1.00502512562814075e-01 4.37385116384140127e-01 -1.86287326159846004e-03
1.20603015075376879e-01 4.36191025012775457e-01 -1.57786066038664895e-03
1.40703517587939697e-01 4.35740675110692088e-01 -1.37827198372975903e-03
1.60804020100502515e-01 4.35810372740143559e-01 -1.23215449782309574e-03
1.80904522613065333e-01 4.36277049958840091e-01 -1.12176541966830211e-03
2.01005025125628151e-01 4.37068150539699163e-01 -1.03646902746410926e-03
2.21105527638190968e-01 4.38138855813896555e-01 -9.69507356196640528e-04
2.41206030150753759e-01 4.39460707324721145e-01 -9.16385373415498205e-04
2.61306532663316604e-01 4.41015492386275298e-01 -8.74001459551475659e-04
2.81407035175879394e-01 4.42791763337709865e-01 -8.40150606715655917e-04
3.01507537688442184e-01 4.44782763560123473e-01 -8.13226435976814556e-04
3.21608040201005030e-01 4.46985146973918446e-01 -7.92035075617127321e-04
3.41708542713567820e-01 4.49398166598866833e-01 -7.75674862996822401e-04
3.61809045226130666e-01 4.52023152259764582e-01 -7.63456295319176587e-04
3.81909547738693456e-01 4.54863173641331719e-01 -7.54847426707502345e-04
4.02010050251256301e-01 4.57922826835195584e-01 -7.49435834590185166e-04
4.22110552763819091e-01 4.61208106570458021e-01 -7.46901666222096598e-04
4.42211055276381937e-01 4.64726340625857159e-01 -7.46998279248884019e-04
4.62311557788944727e-01 4.68486171742989843e-01 -7.49538212336211228e-04
4.82412060301507517e-01 4.72497578006246644e-01 -7.54382986796345214e-04
5.02512562814070307e-01 4.76771926428114723e-01 -7.61435734377542478e-04
5.22613065326633208e-01 4.81322057134510595e-01 -7.70635972195207568e-04
5.42713567839195998e-01 4.86162397543604796e-01 -7.81956069010890853e-04
5.62814070351758788e-01 4.91309107561447356e-01 -7.95399105132567927e-04
5.82914572864321578e-01 4.96780258270743014e-01 -8.10997946342780656e-04
6.03015075376884369e-01 5.02596047998267292e-01 -8.28815447430564277e-04
6.23115577889447270e-01 5.08779061109509767e-01 -8.48945785453797744e-04
6.43216080402010060e-01 5.15354576457966673e-01 -8.71517006965673410e-04
6.63316582914572850e-01 5.22350934133059663e-01 -8.96694968166982529e-04
6.83417085427135640e-01 5.29799970934536235e-01 -9.24688964212161185e-04
7.03517587939698541e-01 5.37737536592652776e-01 -9.55759500506057750e-04
7.23618090452261331e-01 5.46204103447348044e-01 -9.90228880227366371e-04
7.43718592964824121e-01 5.55245480372763889e-01 -1.02849560645380919e-03
7.63819095477386911e-01 5.64913633062034792e-01 -1.07105408893126914e-03
7.83919597989949701e-01 5.75267587486193110e-01 -1.11852190946774605e-03
8.04020100502512602e-01 5.86374327348360702e-01 -1.17167812184923730e-03
8.24120603015075393e-01 5.98309430215969495e-01 -1.23151806777251137e-03
8.44221105527638183e-01 6.11156775638364125e-01 -1.29933358071208601e-03
8.64321608040200973e-01 6.25005699529427639e-01 -1.37683409633415502e-03
8.84422110552763874e-01 6.39942535864286066e-01 -1.46707201708678103e-03
9.04522613065326664e-01 6.56043206586717775e-01 -1.68715136072422178e-03
9.24623115577889454e-01 6.73604138223004356e-01 -4.72662606608498410e-03
9.44723618090452244e-01 6.96098895541706009e-01 -1.74189388928289515e-02
9.64824120603015034e-01 7.28395744413369961e-01 -2.13837952996714584e-02
9.84924623115577935e-01 7.60012655118837976e-01 -1.89121693102660936e-03
1.00502512562814061e+00 7.84792454437214348e-01 2.22748906300021358e-02
1.02512562814070352e+00 8.05904929900205791e-01 3.65099498443543780e-02
1.04522613065326642e+00 8.29980256737348321e-01 3.76213372970690338e-02
1.06532663316582910e+00 8.66009441638022182e-01 3.57778415388821588e-02
1.08542713567839200e+00 9.12029175928807168e-01 6.06389240717914169e-02
1.10552763819095468e+00 9.36061639503878329e-01 9.55127993086996446e-02
1.12562814070351758e+00 9.61460582523476659e-01 1.08963010455411138e-01
1.14572864321608048e+00 9.98631408016862565e-01 1.09236233227368834e-01
1.16582914572864316e+00 1.05099646933267410e+00 1.07875015610600200e-01
1.18592964824120606e+00 1.11854555669555111e+00 1.19336761084861173e-01
1.20603015075376874e+00 1.19175808734359756e+00 1.79366249442944159e-01
1.22613065326633164e+00 1.25040721812407618e+00 2.73434935624420172e-01
1.24623115577889454e+00 1.29396183143365029e+00 3.28904957565453293e-01
1.26633165829145722e+00 1.36084997042616407e+00 3.35489001790410690e-01
1.28643216080402012e+00 1.46717081856625309e+00 3.01039016883810628e-01
1.30653266331658302e+00 1.65727982200866886e+00 2.22344570835963901e-01
1.32663316582914570e+00 1.98818318761337287e+00 7.64881444225754825e-02
1.34673366834170860e+00 2.57278789644079131e+00 2.04160952717017535e-03
1.36683417085427128e+00 3.35703817721119346e+00 1.73932613851380524e+00
1.38693467336683418e+00 2.36843801559828870e+00 9.29471695197960557e+00
1.40703517587939708e+00 -2.24409288981218014e+00 7.58590630968850288e+00
1.42713567839195976e+00 -2.31561676731986887e+00 5.50116942310355864e-02
1.44723618090452266e+00 -1.16355164644475439e+00 -4.49493217098308917e-01
1.46733668341708534e+00 -5.54141560855347381e-01 -4.90495485669828479e-01
1.48743718592964824e+00 8.24019843139377206e-02 -1.45587297354614481e-01
1.50753768844221114e+00 2.66249505844489420e-01 9.06964117597862551e-01
1.52763819095477382e+00 4.58683581684291852e-02 6.60862746327872008e-01
1.54773869346733672e+00 4.55823729801356992e-01 -6.81633064744852357e-02
1.56783919597989940e+00 7.94438828256225915e-01 8.15675606453781232e-01
1.58793969849246230e+00 7.55898419729429616e-01 1.52876687003834411e+00
1.60804020100502520e+00 4.80140146776119603e-01 2.93341840079252769e+00
1.62814070351758788e+00 -6.31061598850177763e-01 3.43190695622293251e+00
1.64824120603015079e+00 -1.24885507212245672e+00 1.39762261328794613e+00
1.66834170854271346e+00 -8.72918988597033096e-01 -6.85394822522161912e-02
1.68844221105527637e+00 -3.19969871516229520e-01 -1.47222015887824784e-02
1.70854271356783927e+00 -1.83911161233022702e-02 6.20590401494695465e-01
1.72864321608040195e+00 -7.52762454253190633e-02 1.51287302383975075e+00
1.74874371859296485e+00 -4.14552314097500374e-01 1.33314702813862551e+00
1.76884422110552775e+00 -2.99297675372465322e-01 1.40061968135524717e+00
1.78894472361809043e+00 -8.26091101894889546e-01 3.07785987612414802e+00
1.80904522613065333e+00 -2.04275365044863788e+00 2.20279139864445206e+00
1.82914572864321601e+00 -1.97751578077480183e+00 -4.75985011198298447e-01
1.84924623115577891e+00 -1.34485081873521506e+00 -9.08445724416994782e-01
1.86934673366834181e+00 -1.02802766773200482e+00 -6.01443401731521443e-01
1.88944723618090449e+00 -8.12551930991777804e-01 -7.90597054669832433e-01
1.90954773869346739e+00 -4.73629912216609050e-01 -7.81290520150862089e-01
1.92964824120603007e+00 -2.88260808238847921e-01 -3.61954067268416391e-01
1.94974874371859297e+00 -2.03567857663946694e-01 -2.20026806412782744e-01
1.96984924623115587e+00 -8.43799357864304378e-02 -3.81250428862361712e-01
1.98994974874371855e+00 2.50375601462469621e-01 -2.86099244043940437e-01
2.01005025125628123e+00 3.64100475888405717e-01 4.21382050733916325e-01
2.03015075376884413e+00 1.60780257734052551e-01 1.21868885542874805e+00
2.05025125628140703e+00 -3.66827599964160367e-01 1.20699707668413403e+00
2.07035175879396993e+00 -7.89072867938703348e-01 -7.11646954591418079e-02
2.09045226130653283e+00 -6.72903462633925420e-01 -6.51250631206894526e-01
2.11055276381909529e+00 -1.13115172690841148e+00 5.07650492565710820e-01
2.13065326633165819e+00 -1.46303219438660803e+00 -2.91588422357874322e+00
2.15075376884422109e+00 1.97228664308390755e-01 -6.09166735802247317e+00
2.17085427135678399e+00 3.30422437769329180e+00 -4.29511889609516118e+00
2.19095477386934689e+00 2.06215750890233274e+00 5.91920469279345163e+00
2.21105527638190935e+00 1.27665462696977761e-01 -1.00879185549928652e+00
2.23115577889447225e+00 1.23966892356360736e+00 1.45602034857026164e+00
2.25125628140703515e+00 -1.06455192013149486e-01 2.13146707675137081e+00
2.27135678391959805e+00 1.88325820383922260e-01 2.73944204363643751e-01
2.29145728643216096e+00 4.05722672753327740e-01 3.65698715056494872e-01
2.31155778894472341e+00 9.09058919021563216e-01 1.06485380207730307e+00
2.33165829145728631e+00 7.85840480723844381e-01 1.19015286944699250e+00
2.35175879396984921e+00 6.35841402611233342e-01 2.73346222101172431e+00
2.37185929648241212e+00 -2.53031301080017312e-01 2.55496684477372016e+00
2.39195979899497502e+00 -7.35165439202668303e-01 3.09650127908490180e+00
2.41206030150753747e+00 -1.71081514421992642e+00 3.06685500320211180e+00
2.43216080402010038e+00 -2.47841792217564638e+00 2.72387034100895375e+00
2.45226130653266328e+00 -3.18731158700939954e+00 1.67742256196807937e+00
