# SHG chi units=pm/V component=zxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 3.68211964184749704e-02 4.14803960246103314e-05
2.01005025125628144e-02 3.68211937746248941e-02 -9.43547276614400791e-03
4.02010050251256287e-02 3.68374457293691379e-02 -4.56393999188226419e-03
6.03015075376884396e-02 3.68608680365181129e-02 -2.87189119014263829e-03
8.04020100502512575e-02 3.68927361269407172e-02 -1.97745542113105573e-03
1.00502512562814075e-01 3.69333497519925974e-02 -1.40198991819258530e-03
1.20603015075376879e-01 3.69828565788205971e-02 -9.85663293266711383e-04
1.40703517587939697e-01 3.70413707448893140e-02 -6.59859398436028364e-04
1.60804020100502515e-01 3.71090028113739978e-02 -3.90186940938578621e-04
1.80904522613065333e-01 3.71858700397048603e-02 -1.57468360110380471e-04
2.01005025125628151e-01 3.72721008052993227e-02 4.98681484547351426e-05
2.21105527638190968e-01 3.73678369228807802e-02 2.39248075997894078e-04
2.41206030150753759e-01 3.74732351447158926e-02 4.15681030359674945e-04
2.61306532663316604e-01 3.75884683214536761e-02 5.82693024148702582e-04
2.81407035175879394e-01 3.77137264387948090e-02 7.42859674966859975e-04
3.01507537688442184e-01 3.78492176341300932e-02 8.98126581020252703e-04
3.21608040201005030e-01 3.79951692493882692e-02 1.05001001187999903e-03
3.41708542713567820e-01 3.81518289551689496e-02 1.19972724703885382e-03
3.61809045226130666e-01 3.83194659711152824e-02 1.34828396662583735e-03
3.81909547738693456e-01 3.84983724038062899e-02 1.49653458028879281e-03
4.02010050251256301e-01 3.86888647202854735e-02 1.64522502813787912e-03
4.22110552763819091e-01 3.88912853777782092e-02 1.79502396820388661e-03
4.42211055276381937e-01 3.91060046307681597e-02 1.94654612800986200e-03
4.62311557788944727e-01 3.93334225388940750e-02 2.10037029273763822e-03
4.82412060301507517e-01 3.95739712029116106e-02 2.25705360041622777e-03
5.02512562814070307e-01 3.98281172610567974e-02 2.41714328887231286e-03
5.22613065326633208e-01 4.00963646821541203e-02 2.58118671420178589e-03
5.42713567839195998e-01 4.03792578993286480e-02 2.74974023513035060e-03
5.62814070351758788e-01 4.06773853374358674e-02 2.92337742228943346e-03
5.82914572864321578e-01 4.09913833940727251e-02 3.10269694485809178e-03
6.03015075376884369e-01 4.13219409498078449e-02 3.28833044590706594e-03
6.23115577889447270e-01 4.16698044903417303e-02 3.48095066609716659e-03
6.43216080402010060e-01 4.20357839408381853e-02 3.68128007733902916e-03
6.63316582914572850e-01 4.24207593151958162e-02 3.89010028028627950e-03
6.83417085427135640e-01 4.28256882788116411e-02 4.10826243969210792e-03
7.03517587939698541e-01 4.32516146738005439e-02 4.33669906566735378e-03
7.23618090452261331e-01 4.36996779190612430e-02 4.57643749532499460e-03
7.43718592964824121e-01 4.41711228308699216e-02 4.82861549685449729e-03
7.63819095477386911e-01 4.46673085193045466e-02 5.09449951045078814e-03
7.83919597989949701e-01 4.51897128419571775e-02 5.37550616470359836e-03
8.04020100502512602e-01 4.57399235735496332e-02 5.67322787291249173e-03
8.24120603015075393e-01 4.63195942799625934e-02 5.98946354139965904e-03
8.44221105527638183e-01 4.69303108911529529e-02 6.32625574544692492e-03
8.64321608040200973e-01 4.75732499517142818e-02 6.68593582979843011e-03
8.84422110552763874e-01 4.82485516733919956e-02 7.07086920697582236e-03
9.04522613065326664e-01 4.89573337647971757e-02 7.44815700904293953e-03
9.24623115577889454e-01 4.97628324077905235e-02 7.30873389067647310e-03
9.44723618090452244e-01 5.12265306475153531e-02 7.02638126856717799e-03
9.64824120603015034e-01 5.25949394248109367e-02 9.66482988912770180e-03
9.84924623115577935e-01 5.27821618819853261e-02 1.21190965638339476e-02
1.00502512562814061e+00 5.27558871828246040e-02 1.26668767864119274e-02
1.02512562814070352e+00 5.31540933716393091e-02 1.22641503145970564e-02
1.04522613065326642e+00 5.41683176945236197e-02 1.17819947254155025e-02
1.06532663316582910e+00 5.57013754594415933e-02 1.23322116897893550e-02
1.08542713567839200e+00 5.69289303259624818e-02 1.46118403541457380e-02
1.10552763819095468e+00 5.77006156377329951e-02 1.57135543400989536e-02
1.12562814070351758e+00 5.88638741489865142e-02 1.64353027116976198e-02
1.14572864321608048e+00 6.02396709596959984e-02 1.77626351949548844e-02
1.16582914572864316e+00 6.17404996009038032e-02 1.97396754390069193e-02
1.18592964824120606e+00 6.27921633795668760e-02 2.45761910113425110e-02
1.20603015075376874e+00 6.15610004106675046e-02 2.92863837554788835e-02
1.22613065326633164e+00 6.03516121208572398e-02 2.93218980118992029e-02
1.24623115577889454e+00 6.09723854688665190e-02 2.33796581017873227e-02
1.26633165829145722e+00 6.56739726556320458e-02 2.29128880402659219e-02
1.28643216080402012e+00 6.85421777527898402e-02 3.24676426735897444e-02
1.30653266331658302e+00 6.78095503312761694e-02 4.01078689289656454e-02
1.32663316582914570e+00 6.72712825804430703e-02 3.83898028361711954e-02
1.34673366834170860e+00 7.20702491581111104e-02 2.67759866736315376e-02
1.36683417085427128e+00 5.39410681725727356e-02 -5.42705038971148315e-02
1.38693467336683418e+00 -3.16048900932045795e-02 -1.62914472945873967e-01
1.40703517587939708e+00 5.31401367328032809e-02 4.88508444550343826e-02
1.42713567839195976e+00 1.24482265386494734e-01 1.48507805974909257e-01
1.44723618090452266e+00 1.16725036518424710e-01 1.91787795628238750e-01
1.46733668341708534e+00 2.05935289574754737e-02 2.07409241667492084e-01
1.48743718592964824e+00 -1.40331781213364030e-02 1.38217294511718131e-01
1.50753768844221114e+00 -6.13453858723642040e-02 1.15298058805351086e-01
1.52763819095477382e+00 -9.03789186000857475e-02 -2.71664370502919181e-02
1.54773869346733672e+00 -3.20620169300637192e-02 -2.43292939434574557e-01
1.56783919597989940e+00 7.52221865973023707e-02 -2.59623704507158326e-01
1.58793969849246230e+00 1.95546343370702841e-01 -4.04897982296375636e-01
1.60804020100502520e+00 3.74287189597308889e-01 -8.33347368300717678e-02
1.62814070351758788e+00 3.18048014918053568e-01 1.53078608401350985e-01
1.64824120603015079e+00 3.20561070310989238e-01 1.28182609794419700e-01
1.66834170854271346e+00 3.91573922607050207e-01 3.15482505295323956e-01
1.68844221105527637e+00 1.79329714470012336e-01 1.39313534283019802e+00
1.70854271356783927e+00 -4.79900265615160249e-01 8.30697866563442244e-01
1.72864321608040195e+00 -3.99763807734373700e-01 -4.21541286134172855e-01
1.74874371859296485e+00 -5.51732797702174649e-02 -5.12402062202227726e-01
1.76884422110552775e+00 1.36840371838224811e-01 -3.02042451333578599e-01
1.78894472361809043e+00 2.00036952505461552e-01 9.44612802344317604e-02
1.80904522613065333e+00 1.43703109536058693e-01 1.87470777027562513e-01
1.82914572864321601e+00 1.17204222722252990e-01 1.36165443438426459e-01
1.84924623115577891e+00 1.09673046177790418e-01 4.04092481269613057e-01
1.86934673366834181e+00 -9.37398300336454854e-02 3.63015283841981007e-01
1.88944723618090449e+00 -2.24198980154916641e-02 -2.38879870144650674e-01
1.90954773869346739e+00 1.83969507992751441e-01 -4.28032151894493090e-02
1.92964824120603007e+00 1.76367452451545448e-01 4.30635733031745072e-01
1.94974874371859297e+00 -1.42306197883697323e-02 4.85869805435995172e-01
1.96984924623115587e+00 -8.87830923329072097e-03 1.58694525746983395e-01
1.98994974874371855e+00 1.94070263657699707e-02 4.30988253248910103e-01
2.01005025125628123e+00 -1.57350273171206617e-01 5.66124266542543886e-01
2.03015075376884413e+00 -2.43376348087250505e-01 3.20236501723195899e-01
2.05025125628140703e+00 -2.26037285261515175e-01 2.05195707721154474e-01
2.07035175879396993e+00 -2.33638522049811698e-01 2.98838470082066820e-01
2.09045226130653283e+00 -3.05612166803013729e-01 2.91165009530077123e-01
2.11055276381909529e+00 -3.98130020900367088e-01 3.71521974184362114e-01
2.13065326633165819e+00 -5.42909557364241069e-01 2.00921092434058340e-01
2.15075376884422109e+00 -6.34131547862004652e-01 2.03152294687549306e-01
2.17085427135678399e+00 -8.83300349534789198e-01 3.54845297831553441e-01
2.19095477386934689e+00 -9.91258736954782615e-01 -7.09211908608249120e-01
2.21105527638190935e+00 -6.71934758989012337e-01 4.67191580642011606e-01
2.23115577889447225e+00 -1.38599885849926374e+00 -1.11935466980935705e+00
2.25125628140703515e+00 8.18894459107145090e-02 -1.07058453133113085e+00
2.27135678391959805e+00 -5.15298118734019095e-01 1.13160778517195237e+00
2.29145728643216096e+00 -1.56410134937982420e-01 -3.77031585189484364e+00
2.31155778894472341e+00 2.07063916515409341e+00 -7.35626046444011084e-01
2.33165829145728631e+00 1.08824343879962049e+00 1.41330534045026446e+00
2.35175879396984921e+00 5.68821535726917848e-01 1.26145588831244315e+00
2.37185929648241212e+00 -5.81735064716459749e-01 1.06251038340932569e+00
2.39195979899497502e+00 -1.19142194000633217e+00 8.92485536912864363e-01
2.41206030150753747e+00 -2.19786583927243173e+00 4.87868537179375572e+00
2.43216080402010038e+00 -5.00831896597427306e+00 4.70096265732660099e-02
2.45226130653266328e+00 8.97760361896000170e-01 -1.39851375948017207e+01
2.47236180904522618e+00 4.25266370944789340e+00 1.31059016318027344e+00
2.49246231155778908e+00 2.31961594435555085e+00 2.25491579711510637e+00
2.51256281407035198e+00 1.90386210276759660e+00 2.74582148989045915e+00
2.53266331658291444e+00 -1.29309228846309410e-01 2.24753981726058205e+00
2.55276381909547734e+00 -3.99358962291841035e-01 -2.34236958074477919e-01
2.57286432160804024e+00 -1.69268732038166114e-01 -5.85513944277124332e-01
2.59296482412060314e+00 8.31712253635201182e-02 7.55615734446293125e-02
2.61306532663316604e+00 -2.68094194528505692e-01 7.05218345052635587e-01
2.63316582914572850e+00 -4.72910118202590324e-01 -1.71365432678412727e-01
2.65326633165829140e+00 -1.88605700683330879e-01 -7.39834752163429199e-01
2.67336683417085430e+00 2.44396058595924365e-01 -1.21018466091848564e+00
2.69346733668341720e+00 8.00958130367316001e-01 4.19903628687419081e-02
2.71356783919598010e+00 6.07388574714981533e-01 7.52612367608488930e-01
2.73366834170854256e+00 7.23933789927510896e-01 -1.39180724847726212e+00
2.75376884422110546e+00 2.29087634319899180e+00 -5.46935663702842323e+00
2.77386934673366836e+00 3.11446499112937270e+00 1.57205361822698553e+00
2.79396984924623126e+00 -5.14778521051153160e+00 1.65977969580109459e+01
2.81407035175879416e+00 -1.58007873455906616e+01 1.72768297732539153e+01
2.83417085427135662e+00 -2.31059674122166854e+01 3.91850531970023894e+01
2.85427135678391952e+00 -4.64519077182836284e+01 -2.04428265988219238e+00
2.87437185929648242e+00 -7.40094241367025241e+00 -1.27979108090686239e+02
2.89447236180904532e+00 4.21131506801165330e+01 6.44793233719534786e+00
2.91457286432160823e+00 2.47865758260900932e+01 4.42405599130314968e+01
2.93467336683417068e+00 8.02832248547444038e+00 9.78856741139412279e+00
2.95477386934673358e+00 7.28494220107513701e+00 -4.53900489027957654e+00
2.97487437185929648e+00 8.26199225035007423e+00 -3.23280736004680724e+00
2.99497487437185939e+00 7.85940127221787055e+00 -2.19807168037536620e+01
3.01507537688442229e+00 1.98595658932127854e+01 1.84772699390163204e+01
3.03517587939698474e+00 -1.49731506136202022e+01 4.70638964417601642e+01
3.05527638190954764e+00 -1.39947935667221532e+01 -2.55232737863526715e+01
3.07537688442211055e+00 -4.25766289516418350e+00 -7.66376045422677343e+00
3.09547738693467345e+00 -3.73905071811629997e+00 2.87182713141061718e+00
3.11557788944723635e+00 8.20625875878920608e-02 -1.49413015625273502e+01
3.13567839195979881e+00 7.56814889660275281e+00 1.60643775465021121e-01
3.15577889447236171e+00 4.19881004784728784e+00 7.40633768550358162e+00
3.17587939698492461e+00 2.10426531642872128e+00 2.36441643225471232e+00
3.19597989949748751e+00 1.40616986660960719e+00 2.74060388604360972e+00
3.21608040201005041e+00 -9.96144136553457904e-02 2.85612194051962121e+00
3.23618090452261287e+00 -1.12195939796291588e+00 -1.21705867482742230e-01
3.25628140703517577e+00 -7.64140243377987916e-01 -7.37694115364516123e-01
3.27638190954773867e+00 7.73001777028863996e-02 4.99163157695064363e-01
3.29648241206030157e+00 -3.88931798004989893e-01 1.15109587641891675e+00
3.31658291457286447e+00 -5.29729777997251516e-01 -7.07129334380410590e-01
3.33668341708542693e+00 -1.44688483570573484e-01 -3.20855116742806645e-01
3.35678391959798983e+00 -3.38817378718198559e-01 2.92636219890241411e-01
3.37688442211055273e+00 -4.57610301998398861e-01 -2.31518554002088706e-01
3.39698492462311563e+00 -3.75682027895734960e-01 -6.92030540079635159e-01
3.41708542713567853e+00 -3.20958937488616702e-01 6.77654301835748596e-01
3.43718592964824099e+00 -1.43417840248638573e+00 9.08104299035390583e-01
3.45728643216080389e+00 -7.65925505366898518e-01 -2.71108889626413507e+00
3.47738693467336679e+00 8.03612682633058628e-02 -7.83824000512270413e-01
3.49748743718592969e+00 -2.81366060575739430e-01 6.99622828758800108e-01
3.51758793969849259e+00 -1.20363352250985955e+00 9.22245971917614926e-01
3.53768844221105550e+00 -2.25167297129924693e+00 1.99366091772619192e+00
3.55778894472361795e+00 -4.48991480721232783e+00 8.39643064052764032e+00
3.57788944723618085e+00 -9.39622970404779245e+00 3.73601884748725777e+00
3.59798994974874375e+00 -2.11159598279907801e+00 -2.87053343279432234e+01
3.61809045226130666e+00 1.01853948687627565e+01 -1.42250211184082631e+00
3.63819095477386956e+00 5.16952444130576083e+00 1.02937708097181311e+01
3.65829145728643201e+00 2.45103029659613103e+00 3.14947595129059810e+00
3.67839195979899491e+00 1.57472265794304667e+00 -4.70338485616456747e-01
3.69849246231155782e+00 1.65454870944565768e+00 -1.04730204421308049e+00
3.71859296482412072e+00 1.16463310781838092e+00 2.93928642957965502e+00
3.73869346733668362e+00 -1.04650243917237762e+00 1.50483197340361619e+00
3.75879396984924607e+00 -6.71541945318345102e-01 -1.88823695157913463e+00
3.77889447236180898e+00 9.83628323036473406e-02 -5.73970859976509429e-01
3.79899497487437188e+00 -1.44919409315816927e-01 5.23978357263644612e-01
3.81909547738693478e+00 -1.48529836656779990e-01 -6.52119811257297066e-02
3.83919597989949768e+00 -4.25251084337662164e-02 -2.34732250661449648e-01
3.85929648241206014e+00 -1.60673656951848889e-02 -7.88255711953942534e-02
3.87939698492462304e+00 1.32938731938581772e-02 -1.20332069737916075e-01
3.89949748743718594e+00 1.91960201705428241e-02 -1.50651864737610025e-01
3.91959798994974884e+00 -2.51302159445402212e-02 -2.61218527324648953e-02
3.93969849246231174e+00 -5.61427326067600457e-03 -2.92059802836387161e-01
3.95979899497487420e+00 6.53527262304995638e-02 -1.81264082508470065e-01
3.97989949748743710e+00 7.03826386753693550e-02 -1.43571292264965983e-01
4.00000000000000000e+00 1.25693528909470387e-01 -1.20524763705435439e-01
