# SHG chi units=pm/V component=zyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.48487694016379346e-01 4.96402136050520752e-05
2.01005025125628144e-02 -1.53581979186620921e-01 3.00904007493447923e-01
4.02010050251256287e-02 -1.52322628982352520e-01 1.50815000761619800e-01
6.03015075376884396e-02 -1.52500977120820502e-01 1.00660237970091146e-01
8.04020100502512575e-02 -1.53058824457237702e-01 7.55859468237251031e-02
1.00502512562814075e-01 -1.53783908883122739e-01 6.05535349943890425e-02
1.20603015075376879e-01 -1.54605662290771079e-01 5.05441634330155917e-02
1.40703517587939697e-01 -1.55494046061976865e-01 4.34058169794169363e-02
1.60804020100502515e-01 -1.56434216284831618e-01 3.80622157686947571e-02
1.80904522613065333e-01 -1.57418068726101895e-01 3.39153489655023427e-02
2.01005025125628151e-01 -1.58440850811937400e-01 3.06063910969333747e-02
2.21105527638190968e-01 -1.59499615806134143e-01 2.79070002793178583e-02
2.41206030150753759e-01 -1.60592443429684262e-01 2.56649582520326082e-02
2.61306532663316604e-01 -1.61718012730439509e-01 2.37748962534450083e-02
2.81407035175879394e-01 -1.62875349288530841e-01 2.21615656067361763e-02
3.01507537688442184e-01 -1.64063663277801253e-01 2.07697995299596545e-02
3.21608040201005030e-01 -1.65282236103879238e-01 1.95582390728629638e-02
3.41708542713567820e-01 -1.66530332574764711e-01 1.84952733970732315e-02
3.61809045226130666e-01 -1.67807124983269995e-01 1.75563333489023761e-02
3.81909547738693456e-01 -1.69111620191907452e-01 1.67220397939456915e-02
4.02010050251256301e-01 -1.70442583077844462e-01 1.59769075837847760e-02
4.22110552763819091e-01 -1.71798450568426603e-01 1.53084199750825583e-02
4.42211055276381937e-01 -1.73177230454743952e-01 1.47063556585972557e-02
4.62311557788944727e-01 -1.74576378391232578e-01 1.41622915464357374e-02
4.82412060301507517e-01 -1.75992644985140501e-01 1.36692300858620233e-02
5.02512562814070307e-01 -1.77421882510222340e-01 1.32213162671080096e-02
5.22613065326633208e-01 -1.78858797272102354e-01 1.28136202152817780e-02
5.42713567839195998e-01 -1.80296628533007930e-01 1.24419684073129450e-02
5.62814070351758788e-01 -1.81726727426931078e-01 1.21028114081439039e-02
5.82914572864321578e-01 -1.83137998269419594e-01 1.17931193697740737e-02
6.03015075376884369e-01 -1.84516148180804140e-01 1.15102988834087996e-02
6.23115577889447270e-01 -1.85842665881082114e-01 1.12521264434789596e-02
6.43216080402010060e-01 -1.87093411689025102e-01 1.10166949849762330e-02
6.63316582914572850e-01 -1.88236639304850656e-01 1.08023708353351469e-02
6.83417085427135640e-01 -1.89230170349222876e-01 1.06077590750250292e-02
7.03517587939698541e-01 -1.90017276836183829e-01 1.04316757950107166e-02
7.23618090452261331e-01 -1.90520542486291133e-01 1.02731261219426648e-02
7.43718592964824121e-01 -1.90632469913890268e-01 1.01312871895396523e-02
7.63819095477386911e-01 -1.90200673789907321e-01 1.00054954978048664e-02
7.83919597989949701e-01 -1.89003722850751288e-01 9.89523835078486187e-03
8.04020100502512602e-01 -1.86710128696415012e-01 9.80014934013214919e-03
8.24120603015075393e-01 -1.82805488609866451e-01 9.72000821800780151e-03
8.44221105527638183e-01 -1.76456439703777612e-01 9.65474613211076034e-03
8.64321608040200973e-01 -1.66244756283191131e-01 9.60449314611031349e-03
8.84422110552763874e-01 -1.49649678822843080e-01 9.60035070310210487e-03
9.04522613065326664e-01 -1.22411864686287758e-01 1.35672320405903542e-02
9.24623115577889454e-01 -8.45779518771812983e-02 9.28182735723607905e-02
9.44723618090452244e-01 -1.10131308905444064e-01 3.51208820929877652e-01
9.64824120603015034e-01 -2.42840270866868269e-01 4.71837726864992646e-01
9.84924623115577935e-01 -3.62800731971092805e-01 4.28080407450668832e-01
1.00502512562814061e+00 -4.56348801682513794e-01 3.57656352989000337e-01
1.02512562814070352e+00 -5.27669091349472374e-01 2.76087606757338622e-01
