# SHG chi units=pm/V component=zyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.12271881975676911e+03 -7.58124623136108764e-06
2.01005025125628144e-02 -1.12286836241321748e+03 -2.02752834377875057e-02
4.02010050251256287e-02 -1.12331916045273329e+03 -1.01680878780837491e-02
6.03015075376884396e-02 -1.12407263343231830e+03 -6.79233510385671146e-03
8.04020100502512575e-02 -1.12512996957999462e+03 -5.10598577812915091e-03
1.00502512562814075e-01 -1.12649294748954003e+03 -4.09606641900015118e-03
1.20603015075376879e-01 -1.12816388547050201e+03 -3.42452003548927722e-03
1.40703517587939697e-01 -1.13014564422653984e+03 -2.94639496552776643e-03
1.60804020100502515e-01 -1.13244163861902894e+03 -2.58919970106555319e-03
1.80904522613065333e-01 -1.13505585369595337e+03 -2.31265843877449893e-03
2.01005025125628151e-01 -1.13799286416217933e+03 -2.09260677688452362e-03
2.21105527638190968e-01 -1.14125785722338037e+03 -1.91366973820455803e-03
2.41206030150753759e-01 -1.14485665895405668e+03 -1.76560020167944613e-03
2.61306532663316604e-01 -1.14879576443752694e+03 -1.64130707078248323e-03
2.81407035175879394e-01 -1.15308237199276618e+03 -1.53572844626229501e-03
3.01507537688442184e-01 -1.15772442186434341e+03 -1.44515550809834080e-03
3.21608040201005030e-01 -1.16273063981623136e+03 -1.36680995314812995e-03
3.41708542713567820e-01 -1.16811058614201011e+03 -1.29857059059805590e-03
3.61809045226130666e-01 -1.17387471068571313e+03 -1.23879110137223953e-03
3.81909547738693456e-01 -1.18003441456192513e+03 -1.18617537691312965e-03
4.02010050251256301e-01 -1.18660211937342478e+03 -1.13969029394359067e-03
4.22110552763819091e-01 -1.19359134485295067e+03 -1.09850345446987105e-03
4.42211055276381937e-01 -1.20101679600645457e+03 -1.06193794635336546e-03
4.62311557788944727e-01 -1.20889446101322596e+03 -1.02943896163896912e-03
4.82412060301507517e-01 -1.21724172134938749e+03 -1.00054881336414424e-03
5.02512562814070307e-01 -1.22607747585271136e+03 -9.74888013953709208e-04
5.22613065326633208e-01 -1.23542228074759146e+03 -9.52140792731936167e-04
5.42713567839195998e-01 -1.24529850801059069e+03 -9.32043908071648278e-04
5.62814070351758788e-01 -1.25573052489368774e+03 -9.14377958342281255e-04
5.82914572864321578e-01 -1.26674489795217937e+03 -8.98960590256800006e-04
6.03015075376884369e-01 -1.27837062557051945e+03 -8.85641190479461360e-04
6.23115577889447270e-01 -1.29063940377166819e+03 -8.74296748857884875e-04
6.43216080402010060e-01 -1.30358593107247953e+03 -8.64828662206759040e-04
6.63316582914572850e-01 -1.31724825935889726e+03 -8.57160318097685060e-04
6.83417085427135640e-01 -1.33166819926577091e+03 -8.51235331906188180e-04
7.03517587939698541e-01 -1.34689179044256525e+03 -8.47016367577098231e-04
7.23618090452261331e-01 -1.36296984948147201e+03 -8.44484476105255427e-04
7.43718592964824121e-01 -1.37995861132818504e+03 -8.43638929544885036e-04
7.63819095477386911e-01 -1.39792048388507237e+03 -8.44497536021192210e-04
7.83919597989949701e-01 -1.41692494050757455e+03 -8.47097417011438507e-04
8.04020100502512602e-01 -1.43704958150593438e+03 -8.51496200493850235e-04
8.24120603015075393e-01 -1.45838140395324399e+03 -8.57773479438068173e-04
8.44221105527638183e-01 -1.48101832936193159e+03 -8.66032046745470428e-04
8.64321608040200973e-01 -1.50507105119498169e+03 -8.76394033528554131e-04
8.84422110552763874e-01 -1.53066528027577010e+03 -8.85752993699331437e-04
9.04522613065326664e-01 -1.55794452452997348e+03 -4.74017504157404543e-04
9.24623115577889454e-01 -1.58707431214124449e+03 8.22094584569216420e-03
9.44723618090452244e-01 -1.61825451733963655e+03 3.84174968731282526e-02
9.64824120603015034e-01 -1.65171545185004334e+03 5.74038894936052951e-02
9.84924623115577935e-01 -1.68770901206852091e+03 6.07524393905004498e-02
1.00502512562814061e+00 -1.72654929383345984e+03 6.50282207470721796e-02
1.02512562814070352e+00 -1.76861887465321342e+03 7.31434852544938369e-02
1.04522613065326642e+00 -1.81438645089173679e+03 7.70839598436852680e-02
1.06532663316582910e+00 -1.86442182964569224e+03 -6.71980475943833727e-02
1.08542713567839200e+00 -1.91930024669730233e+03 -5.58547509180842838e-01
1.10552763819095468e+00 -1.97987560752983063e+03 -8.34791884997731826e-01
1.12562814070351758e+00 -2.04759569838147627e+03 -8.54607204771901885e-01
1.14572864321608048e+00 -2.12423426932939947e+03 -8.56852586189805310e-01
1.16582914572864316e+00 -2.21233465087707236e+03 -1.73286981276820584e+00
1.18592964824120606e+00 -2.31427028986363939e+03 -1.34741323147899923e+01
1.20603015075376874e+00 -2.42455873486697465e+03 -5.10095438869003956e+01
1.22613065326633164e+00 -2.53627129602317837e+03 -1.10065516051262748e+02
1.24623115577889454e+00 -2.64841065554191755e+03 -1.59267879470268667e+02
1.26633165829145722e+00 -2.77976118818744953e+03 -1.92861469932971318e+02
1.28643216080402012e+00 -2.93920417106116474e+03 -2.34161720005522795e+02
1.30653266331658302e+00 -3.13296297104568566e+03 -2.88542144373662495e+02
1.32663316582914570e+00 -3.37715774739268500e+03 -3.51873707263318408e+02
1.34673366834170860e+00 -3.70324697845436913e+03 -4.36812878346323998e+02
1.36683417085427128e+00 -4.13353595873128506e+03 -8.86282851700063816e+02
1.38693467336683418e+00 -4.31387832162372251e+03 -2.69939503064309747e+03
1.40703517587939708e+00 -3.62019738910611386e+03 -4.08394735094700263e+03
1.42713567839195976e+00 -2.92323825388407613e+03 -4.32370518582114528e+03
1.44723618090452266e+00 -2.17196228039899916e+03 -4.45103872169002079e+03
1.46733668341708534e+00 -1.57282177950780942e+03 -3.84083198410355635e+03
1.48743718592964824e+00 -1.28189397340608662e+03 -3.26935557902260234e+03
1.50753768844221114e+00 -1.12492473053832600e+03 -2.94676472914731357e+03
1.52763819095477382e+00 -1.01121184866538113e+03 -2.76808901276404822e+03
1.54773869346733672e+00 -8.90712820768083589e+02 -2.64048907217956639e+03
1.56783919597989940e+00 -7.42877780347607427e+02 -2.49927590215273267e+03
1.58793969849246230e+00 -6.18216508548182560e+02 -1.89580943923174277e+03
1.60804020100502520e+00 -9.06367601464259565e+02 -9.91842127597970261e+02
1.62814070351758788e+00 -1.36543355606573232e+03 -1.06255602282837981e+03
1.64824120603015079e+00 -1.60860694886786723e+03 -1.54233833608031182e+03
1.66834170854271346e+00 -1.68750596729814015e+03 -1.87760858269808864e+03
1.68844221105527637e+00 -1.67596811270554326e+03 -2.15639510215052587e+03
1.70854271356783927e+00 -1.59719927372187749e+03 -2.37626083996919260e+03
1.72864321608040195e+00 -1.49683915959100523e+03 -2.34510579748245482e+03
1.74874371859296485e+00 -1.48573852661419755e+03 -2.24608151456886435e+03
1.76884422110552775e+00 -1.53504590465656361e+03 -2.35113911865113732e+03
1.78894472361809043e+00 -1.46189674383589863e+03 -2.82399706522494853e+03
1.80904522613065333e+00 -1.17786754415097676e+03 -2.84661680928186252e+03
1.82914572864321601e+00 -1.11241857687695892e+03 -2.39073654395364292e+03
1.84924623115577891e+00 -1.20781171289434087e+03 -2.35812615924710462e+03
1.86934673366834181e+00 -1.29722071149797262e+03 -2.70051412211291790e+03
1.88944723618090449e+00 -1.25692037094889224e+03 -3.23163122118949877e+03
1.90954773869346739e+00 -1.05949342333720847e+03 -3.68140629171232285e+03
1.92964824120603007e+00 -7.95934533066973700e+02 -3.89278633413866919e+03
1.94974874371859297e+00 -5.13987413057896333e+02 -3.93162043283449020e+03
1.96984924623115587e+00 -2.02663878108026495e+02 -3.89606008429211306e+03
