# SHG chi units=pm/V component=zzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -2.15797964506309157e+01 1.37508974930371414e-11
2.01005025125628144e-02 -2.15831504174277669e+01 -2.03772069181419287e-04
4.02010050251256287e-02 -2.15932193242461032e+01 -1.02116621032164872e-04
6.03015075376884396e-02 -2.16100242351871614e+01 -6.81483064898852955e-05
8.04020100502512575e-02 -2.16336004071271688e+01 -5.11684191898588249e-05
1.00502512562814075e-01 -2.16639975170490509e+01 -4.09916141467539882e-05
1.20603015075376879e-01 -2.17012799849111282e+01 -3.42190315955491196e-05
1.40703517587939697e-01 -2.17455273968074856e+01 -2.93935601082527180e-05
1.60804020100502515e-01 -2.17968350347521529e+01 -2.57867221242395623e-05
1.80904522613065333e-01 -2.18553145211788014e+01 -2.29940109054422025e-05
2.01005025125628151e-01 -2.19210945882399102e+01 -2.07729639525397757e-05
2.21105527638190968e-01 -2.19943219842860778e+01 -1.89695458569788572e-05
2.41206030150753759e-01 -2.20751625325859919e+01 -1.74813386142569791e-05
2.61306532663316604e-01 -2.21638023605166481e+01 -1.62377238694603180e-05
2.81407035175879394e-01 -2.22604493212386174e+01 -1.51885633375175414e-05
3.01507537688442184e-01 -2.23653346344397619e+01 -1.42974130548564950e-05
3.21608040201005030e-01 -2.24787147782943073e+01 -1.35372893612659758e-05
3.41708542713567820e-01 -2.26008736716181033e+01 -1.28879373446458819e-05
3.61809045226130666e-01 -2.27321251936748929e+01 -1.23340191005214803e-05
3.81909547738693456e-01 -2.28728160996757133e+01 -1.18638850496817543e-05
4.02010050251256301e-01 -2.30233294033720952e+01 -1.14687265159321002e-05
4.22110552763819091e-01 -2.31840883151394621e+01 -1.11419854455887225e-05
4.42211055276381937e-01 -2.33555608457907624e+01 -1.08789428752971374e-05
4.62311557788944727e-01 -2.35382652147038876e+01 -1.06764362238729833e-05
4.82412060301507517e-01 -2.37327762380319029e+01 -1.05326732285622146e-05
5.02512562814070307e-01 -2.39397329221004327e+01 -1.04471223713734562e-05
5.22613065326633208e-01 -2.41598475533648873e+01 -1.04204681028221871e-05
5.42713567839195998e-01 -2.43939166664942135e+01 -1.04546254423167611e-05
5.62814070351758788e-01 -2.46428343966819519e+01 -1.05528143078379734e-05
5.82914572864321578e-01 -2.49076088969263978e+01 -1.07196992355879509e-05
6.03015075376884369e-01 -2.51893827501379128e+01 -1.09616064472528982e-05
6.23115577889447270e-01 -2.54894586679502666e+01 -1.12868386678370395e-05
6.43216080402010060e-01 -2.58093323050906989e+01 -1.17061190573502189e-05
6.63316582914572850e-01 -2.61507348328400369e+01 -1.22332130905614345e-05
6.83417085427135640e-01 -2.65156891824233867e+01 -1.28858036207566617e-05
7.03517587939698541e-01 -2.69065858962183917e+01 -1.36867371875039804e-05
7.23618090452261331e-01 -2.73262878691799429e+01 -1.46658316881639348e-05
7.43718592964824121e-01 -2.77782789762982816e+01 -1.58625603336616974e-05
7.63819095477386911e-01 -2.82668817294695884e+01 -1.73301518950573655e-05
7.83919597989949701e-01 -2.87975879295305752e+01 -1.91420722821544108e-05
