# SHG sigma units=A/V^2 component=xxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -3.35817475178275606e-14 1.79274211208634457e-12
2.01005025125628144e-02 -3.01867087220497963e-14 3.45744690044405523e-13
4.02010050251256287e-02 -2.98843915038986541e-14 5.01758761223643116e-13
6.03015075376884396e-02 -2.95978498284877650e-14 6.61015934672715672e-13
8.04020100502512575e-02 -2.93233380362487519e-14 8.21844660139311477e-13
1.00502512562814075e-01 -2.90605980297530985e-14 9.84389555882036253e-13
1.20603015075376879e-01 -2.88097472918461354e-14 1.14899579304497943e-12
1.40703517587939697e-01 -2.85709875797629636e-14 1.31606183352671628e-12
1.60804020100502515e-01 -2.83445526097829258e-14 1.48601433702709394e-12
1.80904522613065333e-01 -2.81306894185352128e-14 1.65930433343102414e-12
2.01005025125628151e-01 -2.79296564988438922e-14 1.83640894253400193e-12
2.21105527638190968e-01 -2.77417195265388207e-14 2.01783515617764678e-12
2.41206030150753759e-01 -2.75671515873114764e-14 2.20412476239081340e-12
2.61306532663316604e-01 -2.74062294502330632e-14 2.39586018846356803e-12
2.81407035175879394e-01 -2.72592343235540466e-14 2.59367127702054589e-12
3.01507537688442184e-01 -2.71264486381235735e-14 2.79824311648110899e-12
3.21608040201005030e-01 -2.70081521775688613e-14 3.01032511170800785e-12
3.41708542713567820e-01 -2.69046222503807580e-14 3.23074154605897482e-12
3.61809045226130666e-01 -2.68161243632712137e-14 3.46040394435213592e-12
3.81909547738693456e-01 -2.67429116520282965e-14 3.70032562984450659e-12
4.02010050251256301e-01 -2.66852132434792598e-14 3.95163896706343722e-12
4.22110552763819091e-01 -2.66432277437042006e-14 4.21561590071564232e-12
4.42211055276381937e-01 -2.66171086873486537e-14 4.49369257127057894e-12
4.62311557788944727e-01 -2.66069517098028174e-14 4.78749899204158484e-12
4.82412060301507517e-01 -2.66127727128770332e-14 5.09889505712816106e-12
5.02512562814070307e-01 -2.66344835528466912e-14 5.43001451079144712e-12
5.22613065326633208e-01 -2.66718582146604859e-14 5.78331901356562136e-12
5.42713567839195998e-01 -2.67244919220755035e-14 6.16166511097700453e-12
5.62814070351758788e-01 -2.67917419535427923e-14 6.56838784070099430e-12
5.82914572864321578e-01 -2.68726570481853766e-14 7.00740601136755909e-12
6.03015075376884369e-01 -2.69658775502977066e-14 7.48335603001202209e-12
6.23115577889447270e-01 -2.70695054383483674e-14 8.00176380831189389e-12
