# SHG sigma units=A/V^2 component=xxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 9.62655260351782819e-13 -1.66324246608297408e-09
2.01005025125628144e-02 7.25375033210302380e-13 -7.56371676562744584e-09
4.02010050251256287e-02 7.25686321727856977e-13 -1.51309989233826254e-08
6.03015075376884396e-02 7.26355751607096938e-13 -2.26894860928597472e-08
8.04020100502512575e-02 7.27074839950811771e-13 -3.02311868731946791e-08
1.00502512562814075e-01 7.27802556452950611e-13 -3.77498210198357875e-08
1.20603015075376879e-01 7.28525242343066255e-13 -4.52390668120490441e-08
1.40703517587939697e-01 7.29234185689485117e-13 -5.26923378439006768e-08
1.60804020100502515e-01 7.29921253726349400e-13 -6.01026835573590419e-08
1.80904522613065333e-01 7.30577624027355300e-13 -6.74627073017504806e-08
2.01005025125628151e-01 7.31193252519275789e-13 -7.47644845286033936e-08
2.21105527638190968e-01 7.31756563326435866e-13 -8.19994763881471684e-08
2.41206030150753759e-01 7.32254192304726681e-13 -8.91584365491379746e-08
2.61306532663316604e-01 7.32670729184643571e-13 -9.62313096426884912e-08
2.81407035175879394e-01 7.32988441987065665e-13 -1.03207119801420846e-07
3.01507537688442184e-01 7.33186953644025125e-13 -1.10073847665880536e-07
3.21608040201005030e-01 7.33242872500989482e-13 -1.16818294051831007e-07
3.41708542713567820e-01 7.33129354168258785e-13 -1.23425928240788663e-07
3.61809045226130666e-01 7.32815587473262819e-13 -1.29880718577966982e-07
3.81909547738693456e-01 7.32266180226987998e-13 -1.36164942735994978e-07
4.02010050251256301e-01 7.31440431806688521e-13 -1.42258974626263116e-07
4.22110552763819091e-01 7.30291461223180331e-13 -1.48141044509259426e-07
4.42211055276381937e-01 7.28765163210131393e-13 -1.53786968368879820e-07
4.62311557788944727e-01 7.26798946934044652e-13 -1.59169842075009874e-07
4.82412060301507517e-01 7.24320207935791468e-13 -1.64259695272086327e-07
5.02512562814070307e-01 7.21244472036584584e-13 -1.69023099319380820e-07
5.22613065326633208e-01 7.17473116499372471e-13 -1.73422723013297813e-07
5.42713567839195998e-01 7.12890567433443231e-13 -1.77416829321471498e-07
5.62814070351758788e-01 7.07360824053611068e-13 -1.80958706094015381e-07
5.82914572864321578e-01 7.00723115506709081e-13 -1.83996023937496125e-07
6.03015075376884369e-01 6.92786448269218868e-13 -1.86470115575676117e-07
6.23115577889447270e-01 6.83322674145524941e-13 -1.88315173833382344e-07
6.43216080402010060e-01 6.72057640595422454e-13 -1.89457371188608928e-07
6.63316582914572850e-01 6.58659748272941695e-13 -1.89813914980302849e-07
6.83417085427135640e-01 6.42725024020222926e-13 -1.89292073022940854e-07
7.03517587939698541e-01 6.23757421573993283e-13 -1.87788242202556036e-07
7.23618090452261331e-01 6.01142499164954942e-13 -1.85187201855295876e-07
7.43718592964824121e-01 5.74111768985030442e-13 -1.81361821619193809e-07
7.63819095477386911e-01 5.41693693227866875e-13 -1.76173733790254910e-07
7.83919597989949701e-01 5.02645184571262162e-13 -1.69475942886421650e-07
8.04020100502512602e-01 4.55354079095955251e-13 -1.61119263387684945e-07
8.24120603015075393e-01 3.97697353028891547e-13 -1.50966365556984571e-07
8.44221105527638183e-01 3.26830202553351198e-13 -1.38921242204364044e-07
8.64321608040200973e-01 2.39747263858803744e-13 -1.24990723713673021e-07
8.84422110552763874e-01 1.15535279611502581e-12 -1.09412755317586242e-07
9.04522613065326664e-01 1.88844254225021953e-10 -9.28989986545361830e-08
9.24623115577889454e-01 6.25169266784613713e-09 -7.66210417906118955e-08
9.44723618090452244e-01 4.81577683564487215e-08 -5.57955100439670730e-08
9.64824120603015034e-01 1.34757921953667460e-07 -6.17965144511109654e-09
9.84924623115577935e-01 2.26468424479432655e-07 8.40640806949969289e-08
1.00502512562814061e+00 3.08664158810872536e-07 2.15520818858180923e-07
1.02512562814070352e+00 3.80992136969890568e-07 3.92990478402508323e-07
1.04522613065326642e+00 4.41112861729403218e-07 6.28421393718842964e-07
1.06532663316582910e+00 4.27642920423743678e-07 9.39261555956441371e-07
1.08542713567839200e+00 9.61150851327186160e-08 1.28273472605423509e-06
1.10552763819095468e+00 -5.32506249715830714e-07 1.48841018285599995e-06
1.12562814070351758e+00 -1.15491229933655053e-06 1.53547394356438100e-06
1.14572864321608048e+00 -1.64846392191778652e-06 1.46214331053542576e-06
1.16582914572864316e+00 -2.11719776535370367e-06 1.32028093593327135e-06
1.18592964824120606e+00 -2.38612521997407901e-06 1.15340622487521391e-06
1.20603015075376874e+00 -2.76481927968691782e-06 9.52195261153460696e-07
1.22613065326633164e+00 -2.84020340876451967e-06 7.47511765974966631e-07
1.24623115577889454e+00 -3.11896704181396340e-06 6.21081180053661436e-07
1.26633165829145722e+00 -3.21239785106796834e-06 4.18232636322877035e-07
1.28643216080402012e+00 -3.19840639214380084e-06 3.69466053913934800e-07
1.30653266331658302e+00 -3.62611567516708837e-06 3.02276435370976571e-07
1.32663316582914570e+00 -3.58961267320116654e-06 2.17156381380006186e-07
1.34673366834170860e+00 -3.36759975679561394e-06 4.94034378025066706e-07
1.36683417085427128e+00 -4.73209595560999906e-06 8.53888216307704218e-07
1.38693467336683418e+00 -7.33635123551025265e-06 4.29008198775236558e-07
1.40703517587939708e+00 -8.56688775718761403e-06 -7.21333561510229316e-07
1.42713567839195976e+00 -9.81108720786518808e-06 -2.04022094965865625e-06
1.44723618090452266e+00 -1.01997801180215191e-05 -3.82518291009222100e-06
1.46733668341708534e+00 -8.85256871906901655e-06 -5.30563735661207623e-06
1.48743718592964824e+00 -7.74974201396721881e-06 -6.22181155345165593e-06
1.50753768844221114e+00 -6.65235798561596023e-06 -6.83926500342533177e-06
1.52763819095477382e+00 -6.03056571672672129e-06 -7.17337044878993293e-06
1.54773869346733672e+00 -5.92924551671455049e-06 -7.57717930571479824e-06
1.56783919597989940e+00 -5.70577765646926887e-06 -8.08830471721928263e-06
1.58793969849246230e+00 -5.47875082383678382e-06 -8.57674678067240805e-06
1.60804020100502520e+00 -5.28564148232677109e-06 -9.17756985020472333e-06
1.62814070351758788e+00 -4.80305255803958426e-06 -9.77176537239747904e-06
1.64824120603015079e+00 -4.73603650970631646e-06 -1.02875453378087020e-05
1.66834170854271346e+00 -4.15727043610825748e-06 -1.10596605094027472e-05
1.68844221105527637e+00 -3.49000026843703825e-06 -1.15140681071764794e-05
1.70854271356783927e+00 -3.27501196004426230e-06 -1.20433207005987656e-05
1.72864321608040195e+00 -3.07283878079558258e-06 -1.26292672266135253e-05
1.74874371859296485e+00 -3.54603873316536689e-06 -1.34812187431790286e-05
1.76884422110552775e+00 -3.48256377947239485e-06 -1.48447286925416799e-05
1.78894472361809043e+00 -2.95394450036018875e-06 -1.62589678113730747e-05
1.80904522613065333e+00 -2.26370434501795161e-06 -1.79430579134221124e-05
1.82914572864321601e+00 -1.76910651145949307e-06 -1.99261923673959606e-05
1.84924623115577891e+00 -2.17520349100207995e-07 -2.27520486167132976e-05
1.86934673366834181e+00 9.05355318783205035e-06 -2.49414374754548392e-05
1.88944723618090449e+00 1.83788611827115029e-05 -2.22766729232818839e-05
1.90954773869346739e+00 1.92765081691789674e-05 -1.89373386817166898e-05
1.92964824120603007e+00 2.02524931680594044e-05 -1.68044248428587793e-05
1.94974874371859297e+00 2.17386597002490428e-05 -1.48556393134813463e-05
1.96984924623115587e+00 2.54559763255396365e-05 -1.19236038960694485e-05
1.98994974874371855e+00 2.29308041953145677e-05 -8.48412306597306206e-06
2.01005025125628123e+00 2.10232146683889897e-05 -7.56924372079651471e-06
2.03015075376884413e+00 2.25344506715054765e-05 -5.81945223254488389e-06
2.05025125628140703e+00 2.01447309815611314e-05 -4.46858681484677344e-06
2.07035175879396993e+00 2.01269754181161749e-05 -4.37075044976706952e-06
2.09045226130653283e+00 2.21465693102451302e-05 -3.22017548060830739e-06
2.11055276381909529e+00 2.15616253555456291e-05 -1.97337775833357727e-06
2.13065326633165819e+00 2.30881897785410129e-05 -1.03742549888662683e-06
2.15075376884422109e+00 2.58478248039823951e-05 1.77203169016385356e-06
2.17085427135678399e+00 2.26103748091115551e-05 5.24845322174035704e-06
2.19095477386934689e+00 1.69795330724028983e-05 6.40258992591362254e-06
2.21105527638190935e+00 1.52152689887931510e-05 6.16778829868418425e-06
2.23115577889447225e+00 1.53371058539218184e-05 6.63171342855310105e-06
2.25125628140703515e+00 1.38438463749439422e-05 7.06324636643385392e-06
2.27135678391959805e+00 1.18486385814396961e-05 6.84153329765361513e-06
2.29145728643216096e+00 1.15633100051419565e-05 6.02110899230952135e-06
2.31155778894472341e+00 1.25921210281153648e-05 5.86601554588093141e-06
2.33165829145728631e+00 1.29914819466658793e-05 6.12338612487554297e-06
2.35175879396984921e+00 1.21842400485589153e-05 6.15005836932515378e-06
2.37185929648241212e+00 1.26022621176581032e-05 5.84823063236393567e-06
2.39195979899497502e+00 1.57225412319391317e-05 6.29564532172226234e-06
2.41206030150753747e+00 1.59249743576279318e-05 8.27670759342072784e-06
2.43216080402010038e+00 1.41025783350073490e-05 8.93549200394917341e-06
2.45226130653266328e+00 1.54166595099835134e-05 9.97608624649321072e-06
2.47236180904522618e+00 1.43731364589939521e-05 1.14032362190413121e-05
2.49246231155778908e+00 1.17199306874738339e-05 1.20447696842737339e-05
2.51256281407035198e+00 1.20872858052093463e-05 1.18828578071672756e-05
2.53266331658291444e+00 1.20438651952248001e-05 1.31061454390821181e-05
2.55276381909547734e+00 9.46970074264833393e-06 1.35015844176723249e-05
2.57286432160804024e+00 9.06307809363589531e-06 1.36625535108074371e-05
2.59296482412060314e+00 8.48503651885541835e-06 1.42001366082123990e-05
2.61306532663316604e+00 7.24790344949782224e-06 1.45611082371863442e-05
2.63316582914572850e+00 5.88881442840844827e-06 1.46865416669641201e-05
2.65326633165829140e+00 4.82612482523462304e-06 1.44066491545555076e-05
2.67336683417085430e+00 4.87367394129456655e-06 1.43707975838602796e-05
2.69346733668341720e+00 4.33003810574493890e-06 1.46189113038711488e-05
2.71356783919598010e+00 2.73438746954101243e-06 1.47188888219263277e-05
2.73366834170854256e+00 1.36224323764092452e-06 1.45749104953842502e-05
2.75376884422110546e+00 -5.81462013227541865e-07 1.41445333729128789e-05
2.77386934673366836e+00 -1.91339503651515227e-06 1.33171566614288752e-05
2.79396984924623126e+00 -2.04714880268928583e-06 1.25009329451472046e-05
2.81407035175879416e+00 -1.76256856287533249e-06 1.20134708958032179e-05
2.83417085427135662e+00 -1.33145091617021182e-06 1.19549587667848917e-05
2.85427135678391952e+00 -2.36302840414689731e-06 1.21493012544012704e-05
2.87437185929648242e+00 -3.90178776499794430e-06 1.16415178040438992e-05
2.89447236180904532e+00 -4.36015450515463414e-06 1.08782015849438345e-05
2.91457286432160823e+00 -4.59587772002900832e-06 1.03437254699561415e-05
2.93467336683417068e+00 -4.62495430252733668e-06 9.65283076299971882e-06
2.95477386934673358e+00 -4.71532593272809092e-06 9.44201772893093698e-06
2.97487437185929648e+00 -5.45061515103697253e-06 8.64826662778680723e-06
2.99497487437185939e+00 -5.24626667103497651e-06 8.12328992064050225e-06
3.01507537688442229e+00 -5.93593079802674455e-06 7.14932765339688802e-06
3.03517587939698474e+00 -5.09185610873028886e-06 6.36849241747543791e-06
3.05527638190954764e+00 -4.46667544724989454e-06 5.79758260092999873e-06
3.07537688442211055e+00 -3.64948024334629287e-06 5.62045424689091948e-06
3.09547738693467345e+00 -5.44729657455214350e-06 5.29322183624702742e-06
3.11557788944723635e+00 -3.91913364093340102e-06 3.85638339774071576e-06
3.13567839195979881e+00 -1.82246225228584947e-06 4.25487963741557242e-06
3.15577889447236171e+00 -1.75051074870483690e-06 3.99552471609804702e-06
3.17587939698492461e+00 3.12535795912004144e-07 4.60020829507432602e-06
3.19597989949748751e+00 -5.36133002888621108e-07 5.45930740388403922e-06
3.21608040201005041e+00 -1.81749848604980382e-06 5.43996233529443529e-06
3.23618090452261287e+00 -1.95071768210337804e-06 5.42174001430615646e-06
3.25628140703517577e+00 -2.05454342609046456e-06 5.43978486223639623e-06
3.27638190954773867e+00 -2.70157482174290140e-06 5.51654626102711567e-06
3.29648241206030157e+00 -3.16207640429824637e-06 4.70842625193411316e-06
