# SHG sigma units=A/V^2 component=xxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -3.59292494204864319e-12 -6.38840459409479310e-12
2.01005025125628144e-02 -2.68679391002113998e-12 2.78420698667085300e-11
4.02010050251256287e-02 -2.68259616320049728e-12 5.55039419467959205e-11
6.03015075376884396e-02 -2.67501228526942431e-12 8.32301242293348170e-11
8.04020100502512575e-02 -2.66283818048120625e-12 1.11065191504753953e-10
1.00502512562814075e-01 -2.64587917419780238e-12 1.39046653837476194e-10
1.20603015075376879e-01 -2.62403370417022883e-12 1.67211768059763382e-10
1.40703517587939697e-01 -2.59720755287679583e-12 1.95598299873386310e-10
1.60804020100502515e-01 -2.56529697243978296e-12 2.24244787840360647e-10
1.80904522613065333e-01 -2.52818356492911631e-12 2.53190726628026178e-10
2.01005025125628151e-01 -2.48573197622191064e-12 2.82476735719733133e-10
2.21105527638190968e-01 -2.43778836859870423e-12 3.12144729515605099e-10
2.41206030150753759e-01 -2.38417908100833979e-12 3.42238094289597739e-10
2.61306532663316604e-01 -2.32470926693499719e-12 3.72801874767795847e-10
2.81407035175879394e-01 -2.25916141947259361e-12 4.03882972294154462e-10
3.01507537688442184e-01 -2.18729373289179963e-12 4.35530356343726754e-10
3.21608040201005030e-01 -2.10883826474708090e-12 4.67795291121519791e-10
3.41708542713567820e-01 -2.02349886774656081e-12 5.00731579040375357e-10
3.61809045226130666e-01 -1.93094885714399232e-12 5.34395822956122369e-10
3.81909547738693456e-01 -1.83082837876783400e-12 5.68847709117794598e-10
4.02010050251256301e-01 -1.72274143964787019e-12 6.04150312860921673e-10
4.22110552763819091e-01 -1.60625255161823892e-12 6.40370429090302936e-10
4.42211055276381937e-01 -1.48088293911940510e-12 6.77578929562999284e-10
4.62311557788944727e-01 -1.34610624580971028e-12 7.15851148816146365e-10
4.82412060301507517e-01 -1.20134367181434501e-12 7.55267300258622967e-10
5.02512562814070307e-01 -1.04595845587711202e-12 7.95912923335884141e-10
5.22613065326633208e-01 -8.79249605749168483e-13 8.37879361663587234e-10
5.42713567839195998e-01 -7.00444761430025434e-13 8.81264270383681431e-10
5.62814070351758788e-01 -5.08692058911254401e-13 9.26172148390947883e-10
5.82914572864321578e-01 -3.03050834565764069e-13 9.72714887026230393e-10
6.03015075376884369e-01 -8.24809881652582229e-14 1.02101232052177309e-09
6.23115577889447270e-01 1.54169215705413618e-13 1.07119275367836336e-09
6.43216080402010060e-01 4.08177158566680216e-13 1.12339342693864587e-09
6.63316582914572850e-01 6.80961989781652001e-13 1.17776085489904639e-09
6.83417085427135640e-01 9.74103203075052701e-13 1.23445093582507372e-09
7.03517587939698541e-01 1.28936206151864335e-12 1.29362866736995678e-09
7.23618090452261331e-01 1.62870631673106773e-12 1.35546720057135723e-09
7.43718592964824121e-01 1.99433870849289420e-12 1.42014578939085816e-09
7.63819095477386911e-01 2.38872974409454709e-12 1.48784588788040684e-09
7.83919597989949701e-01 2.81465521583954958e-12 1.55874409524418752e-09
8.04020100502512602e-01 3.27523873256407088e-12 1.63299960970257684e-09
8.24120603015075393e-01 3.77399911072628381e-12 1.71073180313335840e-09
8.44221105527638183e-01 4.31490148615841500e-12 1.79197930391568156e-09
8.64321608040200973e-01 4.90241104329025308e-12 1.87662308108305668e-09
8.84422110552763874e-01 5.54381619100242238e-12 1.96423956260544019e-09
9.04522613065326664e-01 6.62309441872496984e-12 2.05386051123533652e-09
9.24623115577889454e-01 1.79096657994478088e-11 2.14439208964192786e-09
9.44723618090452244e-01 7.05916971789193629e-11 2.24510168825212757e-09
9.64824120603015034e-01 1.15624527561623990e-10 2.37502095113261605e-09
9.84924623115577935e-01 1.18271098158847160e-10 2.50379579516501381e-09
1.00502512562814061e+00 1.64476045939099360e-10 2.62556361994768597e-09
1.02512562814070352e+00 3.07514939024366409e-10 2.77382205288424652e-09
1.04522613065326642e+00 5.45448079090468947e-10 2.99324002286824627e-09
1.06532663316582910e+00 8.15896416490657736e-10 3.32360462293298877e-09
1.08542713567839200e+00 9.31928430589321459e-10 3.75871103837188586e-09
1.10552763819095468e+00 8.73791617881337249e-10 4.20830540493960260e-09
1.12562814070351758e+00 8.12737511944803570e-10 4.65958210397842442e-09
1.14572864321608048e+00 7.66291555041557499e-10 5.14813618210228109e-09
1.16582914572864316e+00 6.72854702622806974e-10 5.69749849572471510e-09
1.18592964824120606e+00 4.67047748143210889e-10 6.31558543941168150e-09
1.20603015075376874e+00 -1.35829524276211007e-10 6.89984866927798380e-09
1.22613065326633164e+00 -8.96077042848555277e-10 7.26598997849936198e-09
1.24623115577889454e+00 -1.15532089656189758e-09 7.53569756927548292e-09
1.26633165829145722e+00 -5.69375308753878098e-10 8.04849913242653776e-09
1.28643216080402012e+00 -4.34611860224555341e-11 9.12575205933976876e-09
1.30653266331658302e+00 -1.92464089933373674e-10 1.05313637902028433e-08
1.32663316582914570e+00 -2.85537005782744548e-10 1.22203787863325737e-08
1.34673366834170860e+00 -4.87419038098748339e-10 1.46884974375614580e-08
1.36683417085427128e+00 -4.18435975439824933e-09 1.76581669691186796e-08
1.38693467336683418e+00 -1.34077195077254367e-08 1.92549613397936032e-08
1.40703517587939708e+00 -1.84895509384304998e-08 1.73204546635091257e-08
1.42713567839195976e+00 -1.93905956886674832e-08 1.64816509195049498e-08
1.44723618090452266e+00 -3.53062984041043721e-08 1.61354818420385561e-08
1.46733668341708534e+00 -5.15064275035614232e-08 4.55663247679533407e-09
1.48743718592964824e+00 -4.52440268011064301e-08 -7.96646269539469866e-09
1.50753768844221114e+00 -3.20473054998410081e-08 -1.43915767038996733e-08
1.52763819095477382e+00 -2.20154533328011816e-08 -1.64057284779386490e-08
1.54773869346733672e+00 -1.91683625564073929e-08 -1.80468968033754292e-08
1.56783919597989940e+00 -1.38922949483245739e-08 -1.88992532124002057e-08
1.58793969849246230e+00 -7.48119933222490025e-09 -1.95871309424485026e-08
1.60804020100502520e+00 -1.02902818335717318e-09 -1.73053430362672131e-08
1.62814070351758788e+00 2.15918832439167457e-09 -1.41529033060185579e-08
1.64824120603015079e+00 2.98072435247361017e-09 -1.18716307905087197e-08
1.66834170854271346e+00 6.20117889377510890e-09 -8.71493616552620585e-09
1.68844221105527637e+00 6.84200306105488372e-09 -3.72677198967352455e-09
1.70854271356783927e+00 -9.15416715768203789e-09 -1.63222515834565015e-09
1.72864321608040195e+00 -1.37860000950823684e-08 -7.99566873598366644e-09
1.74874371859296485e+00 -4.35272427637123421e-09 -1.05946865213671680e-08
1.76884422110552775e+00 7.51988503295239347e-10 -9.87374909551961496e-09
1.78894472361809043e+00 -3.48808505543980924e-10 -9.12642663752165254e-09
1.80904522613065333e+00 3.88679139577198708e-09 -1.02220024166179737e-08
1.82914572864321601e+00 1.85996014852844650e-08 -7.44849584303696896e-09
1.84924623115577891e+00 2.61177692732948282e-08 3.14109276113170782e-09
1.86934673366834181e+00 1.61364414348905955e-08 1.11449856584920606e-08
1.88944723618090449e+00 1.22552144579055745e-08 1.70430745430221217e-08
1.90954773869346739e+00 5.19546419643938974e-09 2.32809051686874300e-08
1.92964824120603007e+00 -7.47368166147775458e-09 2.78878464237936438e-08
1.94974874371859297e+00 -3.09310203370453555e-08 2.87982146601784514e-08
1.96984924623115587e+00 -5.43051539863195295e-08 1.92188645605534653e-08
1.98994974874371855e+00 -6.09151373204884885e-08 4.84733513641538365e-09
2.01005025125628123e+00 -5.98681514971915803e-08 -6.14366743708025046e-09
2.03015075376884413e+00 -5.83929920468577134e-08 -1.86022580088994340e-08
2.05025125628140703e+00 -4.99436225621505669e-08 -2.82943032472868013e-08
2.07035175879396993e+00 -3.55258924108231376e-08 -3.52561983659223874e-08
2.09045226130653283e+00 -2.55999429830100503e-08 -3.61778940677653033e-08
2.11055276381909529e+00 -3.11266800501899731e-08 -3.67373266705525124e-08
2.13065326633165819e+00 -3.76741883183942891e-08 -4.90087672123870339e-08
2.15075376884422109e+00 -1.38466221479282113e-08 -5.71042916850539002e-08
2.17085427135678399e+00 2.21219407379561722e-08 -5.46550159832625501e-08
2.19095477386934689e+00 2.32547354585091884e-08 -4.15925349018704072e-08
2.21105527638190935e+00 2.68012073339216954e-08 -3.42666411068438887e-08
2.23115577889447225e+00 1.95031873137156318e-08 -2.85372513141692615e-08
2.25125628140703515e+00 1.81698108931678331e-08 -2.53665451654939345e-08
2.27135678391959805e+00 2.07138447727718475e-08 -2.16543705215193126e-08
2.29145728643216096e+00 1.40345780493199301e-08 -1.93992567322532259e-08
2.31155778894472341e+00 1.51501211158123620e-08 -1.78831098043401842e-08
2.33165829145728631e+00 1.29682386876686618e-08 -1.76831753679270808e-08
2.35175879396984921e+00 1.45971636972898296e-08 -1.84413240438685976e-08
2.37185929648241212e+00 1.99245782266023627e-08 -1.56499895027547128e-08
2.39195979899497502e+00 1.75045709097982298e-08 -1.18054679559547838e-08
2.41206030150753747e+00 5.74888791110380261e-09 -1.14372667980353376e-08
2.43216080402010038e+00 -4.48287826768997745e-09 -1.44717459706145086e-08
2.45226130653266328e+00 -1.66551624310110555e-08 -2.44013126238632127e-08
2.47236180904522618e+00 -4.81420102667900138e-09 -3.67388851859644180e-08
2.49246231155778908e+00 8.70342552757284337e-09 -4.25701815719166971e-08
2.51256281407035198e+00 4.35000773222815976e-08 -4.88541665942578565e-08
2.53266331658291444e+00 9.88674308398714087e-08 -2.89626081820303153e-08
2.55276381909547734e+00 9.35405394914964385e-08 3.80244605420631580e-09
2.57286432160804024e+00 6.33814390252322326e-08 2.39439314537570193e-08
2.59296482412060314e+00 2.88156471158410346e-08 3.83756633559896182e-08
2.61306532663316604e+00 -2.33522419805890793e-08 3.13522062592701491e-08
2.63316582914572850e+00 -4.55358211231201803e-08 1.18465846776443654e-08
2.65326633165829140e+00 -4.56311417584345934e-08 -9.90221732067176600e-09
2.67336683417085430e+00 -3.07885114183605426e-08 -2.84764316478241601e-08
2.69346733668341720e+00 -2.68951054903739627e-08 -3.74556064055114068e-08
2.71356783919598010e+00 -3.35821716618446525e-08 -5.82540984957666220e-08
2.73366834170854256e+00 1.23460310910109110e-08 -7.95231170241339582e-08
2.75376884422110546e+00 1.14225929737894870e-07 -7.91883698751258629e-08
2.77386934673366836e+00 2.07099802639647218e-07 -3.35588010852675931e-08
2.79396984924623126e+00 1.80970962259025303e-07 1.71486662231471834e-08
2.81407035175879416e+00 1.43912015824717891e-07 4.03202057978830885e-08
2.83417085427135662e+00 1.25707828209186103e-07 5.88566943062440910e-08
2.85427135678391952e+00 8.83545448851892930e-08 8.28645998081365416e-08
2.87437185929648242e+00 -7.99878839185982121e-09 7.62673092031314973e-08
2.89447236180904532e+00 2.80478560182451471e-08 5.37197630854474077e-08
