# SHG sigma units=A/V^2 component=xyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.41960688744269091e-11 3.59435737977200389e-12
2.01005025125628144e-02 1.41935581893878791e-11 -6.98721511637318213e-13
4.02010050251256287e-02 1.42006751234564435e-11 -1.20053328493622742e-13
6.03015075376884396e-02 1.42114580277015099e-11 4.60571479307951348e-13
8.04020100502512575e-02 1.42259091624097378e-11 1.03812721956513192e-12
1.00502512562814075e-01 1.42440417172555427e-11 1.61305535994416109e-12
1.20603015075376879e-01 1.42658737475321444e-11 2.18634375399094077e-12
1.40703517587939697e-01 1.42914275688713567e-11 2.75907492955901917e-12
1.60804020100502515e-01 1.43207296024325813e-11 3.33234540127864897e-12
1.80904522613065333e-01 1.43538102710367248e-11 3.90724870605737738e-12
2.01005025125628151e-01 1.43907038988803277e-11 4.48487419688950893e-12
2.21105527638190968e-01 1.44314485886130978e-11 5.06631080563509008e-12
2.41206030150753759e-01 1.44760860613486746e-11 5.65265277689261927e-12
2.61306532663316604e-01 1.45246614580254998e-11 6.24500644560692357e-12
2.81407035175879394e-01 1.45772230783830137e-11 6.84449780660808026e-12
3.01507537688442184e-01 1.46338220530307574e-11 7.45228088063691592e-12
3.21608040201005030e-01 1.46945119233741467e-11 8.06954701190987365e-12
3.41708542713567820e-01 1.47593481074967195e-11 8.69753532076609163e-12
3.61809045226130666e-01 1.48283872288850323e-11 9.33754461416654846e-12
3.81909547738693456e-01 1.49016862587840191e-11 9.99094715696554407e-12
4.02010050251256301e-01 1.49793014403526654e-11 1.06592048230642819e-11
4.22110552763819091e-01 1.50612869276255938e-11 1.13438883123734622e-11
4.42211055276381937e-01 1.51476930649018027e-11 1.20467003343117763e-11
4.62311557788944727e-01 1.52385642129633892e-11 1.27695039670440011e-11
4.82412060301507517e-01 1.53339359980116623e-11 1.35143578230298122e-11
5.02512562814070307e-01 1.54338318239199603e-11 1.42835602572460148e-11
5.22613065326633208e-01 1.55382584319770172e-11 1.50797057202744902e-11
5.42713567839195998e-01 1.56472002459540786e-11 1.59057576221916920e-11
5.62814070351758788e-01 1.57606121212717963e-11 1.67651439454411787e-11
5.82914572864321578e-01 1.58784100286869928e-11 1.76618846617674142e-11
6.03015075376884369e-01 1.60004590052333194e-11 1.86007643271129425e-11
6.23115577889447270e-01 1.61265574864861953e-11 1.95875699817627580e-11
6.43216080402010060e-01 1.62564167951522823e-11 2.06294252663958508e-11
6.63316582914572850e-01 1.63896340900497150e-11 2.17352693068600513e-11
6.83417085427135640e-01 1.65256563804121272e-11 2.29165585231232207e-11
7.03517587939698541e-01 1.66637322027620140e-11 2.41883206210239835e-11
7.23618090452261331e-01 1.68028460386593241e-11 2.55707810848459547e-11
7.43718592964824121e-01 1.69416282338102237e-11 2.70919504182082794e-11
7.63819095477386911e-01 1.70782296078904692e-11 2.87918821440268132e-11
7.83919597989949701e-01 1.72101442492881356e-11 3.07299543733743482e-11
8.04020100502512602e-01 1.73339547892196346e-11 3.29978704532472066e-11
8.24120603015075393e-01 1.74449590758200663e-11 3.57440069178115124e-11
8.44221105527638183e-01 1.75366108315948840e-11 3.92213687098995875e-11
8.64321608040200973e-01 1.75996540316050299e-11 4.38861977722870444e-11
8.84422110552763874e-01 1.76136136981096659e-11 5.05985011098999584e-11
9.04522613065326664e-01 1.63466674516892975e-11 6.08790281243551621e-11
9.24623115577889454e-01 -1.79670805257018637e-11 7.45471077639053097e-11
9.44723618090452244e-01 -1.82743731806387071e-10 5.39048767036228347e-11
