# SHG sigma units=A/V^2 component=xyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.55197933934503548e-12 -4.37094689355359414e-11
2.01005025125628144e-02 2.35729975730804693e-12 -2.66345194818055280e-10
4.02010050251256287e-02 2.37521558902388836e-12 -4.94041839740723555e-10
6.03015075376884396e-02 2.40429331156128162e-12 -7.20047888804746576e-10
8.04020100502512575e-02 2.44566444206512341e-12 -9.44484602247561236e-10
1.00502512562814075e-01 2.49959950050021818e-12 -1.16748113564259068e-09
1.20603015075376879e-01 2.56631714935251093e-12 -1.38916796945720132e-09
1.40703517587939697e-01 2.64606106118760116e-12 -1.60967666805015644e-09
1.60804020100502515e-01 2.73911633889175405e-12 -1.82914018241565766e-09
1.80904522613065333e-01 2.84581591466180800e-12 -2.04769326697860274e-09
2.01005025125628151e-01 2.96654485602519365e-12 -2.26547294760013371e-09
2.21105527638190968e-01 3.10174441518764531e-12 -2.48261903109049937e-09
2.41206030150753759e-01 3.25191640295714250e-12 -2.69927465823890642e-09
2.61306532663316604e-01 3.41762814148191255e-12 -2.91558690618618736e-09
2.81407035175879394e-01 3.59951815857428901e-12 -3.13170744796989503e-09
3.01507537688442184e-01 3.79830277322757739e-12 -3.34779327871818542e-09
3.21608040201005030e-01 4.01478372697920139e-12 -3.56400751969469270e-09
3.41708542713567820e-01 4.24985704495538223e-12 -3.78052031338159378e-09
3.61809045226130666e-01 4.50452334038426064e-12 -3.99750982517187007e-09
3.81909547738693456e-01 4.77989982793993859e-12 -4.21516337011834439e-09
4.02010050251256301e-01 5.07723436613084736e-12 -4.43367868670107353e-09
4.22110552763819091e-01 5.39792192293596181e-12 -4.65326538389151761e-09
4.42211055276381937e-01 5.74352396019111759e-12 -4.87414659311076497e-09
4.62311557788944727e-01 6.11579134542651123e-12 -5.09656086326193518e-09
4.82412060301507517e-01 6.51669156533796931e-12 -5.32076434522424242e-09
5.02512562814070307e-01 6.94844121522540878e-12 -5.54703332245297053e-09
5.22613065326633208e-01 7.41354500998075117e-12 -5.77566715722215166e-09
5.42713567839195998e-01 7.91484291827802328e-12 -6.00699173835419146e-09
5.62814070351758788e-01 8.45556749806542110e-12 -6.24136353697952983e-09
5.82914572864321578e-01 9.03941415568251889e-12 -6.47917440328708819e-09
6.03015075376884369e-01 9.67062792954074696e-12 -6.72085727110653267e-09
6.23115577889447270e-01 1.03541116136987106e-11 -6.96689298073923948e-09
6.43216080402010060e-01 1.10955617367138616e-11 -7.21781848660843861e-09
6.63316582914572850e-01 1.19016413187638843e-11 -7.47423678865401253e-09
6.83417085427135640e-01 1.27802017924985771e-11 -7.73682901902152953e-09
7.03517587939698541e-01 1.37405715331241935e-11 -8.00636923246980292e-09
7.23618090452261331e-01 1.47939359566186376e-11 -8.28374259153804716e-09
7.43718592964824121e-01 1.59538455044927739e-11 -8.56996779869758722e-09
7.63819095477386911e-01 1.72369053742441747e-11 -8.86622477534358259e-09
7.83919597989949701e-01 1.86637284901125684e-11 -9.17388862190328024e-09
8.04020100502512602e-01 2.02602778534001390e-11 -9.49457053629682629e-09
8.24120603015075393e-01 2.20597984044471904e-11 -9.83016487552816495e-09
8.44221105527638183e-01 2.41056648024381307e-11 -1.01828970221868017e-08
8.64321608040200973e-01 2.64556808652207512e-11 -1.05553552165211294e-08
