# SHG sigma units=A/V^2 component=xzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 7.17315203191931427e-13 1.08888217222917956e-12
2.01005025125628144e-02 2.21631599942226493e-12 -2.01520048624429049e-11
4.02010050251256287e-02 1.93413226834935565e-12 -4.14167528765692501e-11
6.03015075376884396e-02 1.44349170222597303e-12 -6.27311925561413423e-11
8.04020100502512575e-02 7.45003350849475989e-13 -8.41213063901024551e-11
1.00502512562814075e-01 -1.63093073000698626e-13 -1.05613304035565372e-10
1.20603015075376879e-01 -1.28334751916858586e-12 -1.27233699193801108e-10
1.40703517587939697e-01 -2.61896759036932750e-12 -1.49009388379650691e-10
1.60804020100502515e-01 -4.17381042930382578e-12 -1.70967732105976016e-10
1.80904522613065333e-01 -5.95239949142341505e-12 -1.93136639004015597e-10
2.01005025125628151e-01 -7.95995095627743971e-12 -2.15544653468550465e-10
2.21105527638190968e-01 -1.02024065555886172e-11 -2.38221047431382001e-10
2.41206030150753759e-01 -1.26864722868353538e-11 -2.61195916941391645e-10
2.61306532663316604e-01 -1.54196631102821260e-11 -2.84500284302588389e-10
2.81407035175879394e-01 -1.84103540753705439e-11 -3.08166206584457930e-10
3.01507537688442184e-01 -2.16678384930236434e-11 -3.32226891433011158e-10
3.21608040201005030e-01 -2.52023938742520193e-11 -3.56716821210337325e-10
3.41708542713567820e-01 -2.90253565560435967e-11 -3.81671886645895556e-10
3.61809045226130666e-01 -3.31492059963964624e-11 -4.07129531350997589e-10
3.81909547738693456e-01 -3.75876600069312333e-11 -4.33128908735807345e-10
4.02010050251256301e-01 -4.23557822836359841e-11 -4.59711053138562177e-10
4.22110552763819091e-01 -4.74701038854222444e-11 -4.86919067292004652e-10
4.42211055276381937e-01 -5.29487606391393858e-11 -5.14798328592928685e-10
4.62311557788944727e-01 -5.88116486178628653e-11 -5.43396717188016231e-10
4.82412060301507517e-01 -6.50806004505802404e-11 -5.72764869463942891e-10
5.02512562814070307e-01 -7.17795854861759570e-11 -6.02956461299262621e-10
5.22613065326633208e-01 -7.89349375333213969e-11 -6.34028526490736191e-10
5.42713567839195998e-01 -8.65756145265493940e-11 -6.66041817085733564e-10
5.62814070351758788e-01 -9.47334952659184045e-11 -6.99061214124111992e-10
5.82914572864321578e-01 -1.03443719439115163e-10 -7.33156199704657032e-10
6.03015075376884369e-01 -1.12745078300606625e-10 -7.68401404540084381e-10
6.23115577889447270e-01 -1.22680464918792022e-10 -8.04877249845072967e-10
6.43216080402010060e-01 -1.33297394716715323e-10 -8.42670708674663828e-10
6.63316582914572850e-01 -1.44648609387523342e-10 -8.81876221339708103e-10
6.83417085427135640e-01 -1.56792780094694949e-10 -9.22596812973616545e-10
7.03517587939698541e-01 -1.69795329474387548e-10 -9.64945481717690368e-10
7.23618090452261331e-01 -1.83729396552233747e-10 -1.00904695692230894e-09
7.43718592964824121e-01 -1.98676974510038277e-10 -1.05503997488583284e-09
7.63819095477386911e-01 -2.14730258645006695e-10 -1.10308029630805881e-09
7.83919597989949701e-01 -2.31993251662170605e-10 -1.15334481473990848e-09
8.04020100502512602e-01 -2.50583685924642551e-10 -1.20603731491624676e-09
8.24120603015075393e-01 -2.70635339147803255e-10 -1.26139680196020962e-09
8.44221105527638183e-01 -2.92300841990342533e-10 -1.31970997374476994e-09
8.64321608040200973e-01 -3.15755109800898801e-10 -1.38133068884468573e-09
8.84422110552763874e-01 -3.41201320176232440e-10 -1.44671263994946447e-09
9.04522613065326664e-01 -3.69058193537368631e-10 -1.51647736109531384e-09
9.24623115577889454e-01 -4.01643773394093241e-10 -1.59176197947866737e-09
9.44723618090452244e-01 -4.32352532641841542e-10 -1.67591080973705742e-09
9.64824120603015034e-01 -4.47072456715141076e-10 -1.76238128432711308e-09
9.84924623115577935e-01 -4.76795415603609507e-10 -1.84890676311909876e-09
1.00502512562814061e+00 -5.35861202106665051e-10 -1.95102562430462884e-09
1.02512562814070352e+00 -6.19214658001173524e-10 -2.08764433546832031e-09
1.04522613065326642e+00 -6.73841075518367571e-10 -2.27984576479710686e-09
1.06532663316582910e+00 -1.06743769216330202e-10 -2.48199431558197193e-09
1.08542713567839200e+00 1.12746498679711143e-09 -2.09289854547324297e-09
1.10552763819095468e+00 4.35032497934687761e-10 -1.39003948192275554e-09
