# SHG sigma units=A/V^2 component=yxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 2.83527199374813969e-12 2.41183093637515475e-10
2.01005025125628144e-02 2.83138777566440258e-12 -7.62713953187955325e-09
4.02010050251256287e-02 2.83330693752481625e-12 -1.52128284021211196e-08
6.03015075376884396e-02 2.83610607116284553e-12 -2.27868104638840123e-08
8.04020100502512575e-02 2.83978702347331283e-12 -3.03436696761614282e-08
1.00502512562814075e-01 2.84436043045619687e-12 -3.78774667904109242e-08
1.20603015075376879e-01 2.84984085808622402e-12 -4.53819467305516944e-08
1.40703517587939697e-01 2.85624650028069016e-12 -5.28504886962981703e-08
1.60804020100502515e-01 2.86359929454654931e-12 -6.02760306990568137e-08
1.80904522613065333e-01 2.87192515209404598e-12 -6.76509849492265951e-08
2.01005025125628151e-01 2.88125425386818664e-12 -7.49671457080766980e-08
2.21105527638190968e-01 2.89162141230146106e-12 -8.22155890092019586e-08
2.41206030150753759e-01 2.90306650576385112e-12 -8.93865631023872992e-08
2.61306532663316604e-01 2.91563498439150758e-12 -9.64693682316953939e-08
2.81407035175879394e-01 2.92937847864828505e-12 -1.03452224188730241e-07
3.01507537688442184e-01 2.94435550649337792e-12 -1.10322123929556928e-07
3.21608040201005030e-01 2.96063231061223308e-12 -1.17064671402384306e-07
3.41708542713567820e-01 2.97828384629621672e-12 -1.23663901611625974e-07
3.61809045226130666e-01 2.99739494908592427e-12 -1.30102080862999394e-07
3.81909547738693456e-01 3.01806171264839122e-12 -1.36359485128785241e-07
4.02010050251256301e-01 3.04039313429922293e-12 -1.42414154598044724e-07
4.22110552763819091e-01 3.06451307088513591e-12 -1.48241622821028179e-07
4.42211055276381937e-01 3.09056258460264197e-12 -1.53814619557543713e-07
4.62311557788944727e-01 3.11870275821561641e-12 -1.59102747710425777e-07
4.82412060301507517e-01 3.14911810802403759e-12 -1.64072136905182320e-07
5.02512562814070307e-01 3.18202071708693805e-12 -1.68685079898651744e-07
5.22613065326633208e-01 3.21765529651201963e-12 -1.72899663912045176e-07
5.42713567839195998e-01 3.25630540108758868e-12 -1.76669418550455888e-07
5.62814070351758788e-01 3.29830112557492812e-12 -1.79943017406070183e-07
5.82914572864321578e-01 3.34402869489183528e-12 -1.82664095387810251e-07
6.03015075376884369e-01 3.39394251182148916e-12 -1.84771284354376620e-07
6.23115577889447270e-01 3.44858041021904509e-12 -1.86198636065411631e-07
6.43216080402010060e-01 3.50858314695502476e-12 -1.86876711641376336e-07
6.63316582914572850e-01 3.57471954759913582e-12 -1.86734802130483236e-07
6.83417085427135640e-01 3.64791928257119632e-12 -1.85705062367266148e-07
7.03517587939698541e-01 3.72931607982747115e-12 -1.83729895812243379e-07
7.23618090452261331e-01 3.82030540284647033e-12 -1.80774923752352492e-07
7.43718592964824121e-01 3.92262248860494197e-12 -1.76851708077896883e-07
7.63819095477386911e-01 4.03844950139311244e-12 -1.72057893296685545e-07
7.83919597989949701e-01 4.17056511000333917e-12 -1.66649341995164390e-07
8.04020100502512602e-01 4.32255708501220508e-12 -1.61173054425870452e-07
8.24120603015075393e-01 4.49913064724362135e-12 -1.56720169462562278e-07
8.44221105527638183e-01 4.70659002760199926e-12 -1.55426024318138282e-07
8.64321608040200973e-01 5.10549468386896284e-12 -1.61492023024144018e-07
8.84422110552763874e-01 1.40192652291285877e-10 -1.83233868171585220e-07
9.04522613065326664e-01 1.75241282680466728e-08 -2.35530238600554759e-07
9.24623115577889454e-01 3.62522177017226693e-07 -3.12995044179766681e-07
9.44723618090452244e-01 1.48044406256744538e-06 -8.65465302404650335e-08
9.64824120603015034e-01 1.98800649483633949e-06 6.37812897556711920e-07
9.84924623115577935e-01 1.81749790118999105e-06 1.35619596385366680e-06
1.00502512562814061e+00 1.60980895763653511e-06 2.07072358820923995e-06
1.02512562814070352e+00 1.42458837645449338e-06 2.89602175345299779e-06
1.04522613065326642e+00 1.11633021715024060e-06 3.97328321247174761e-06
1.06532663316582910e+00 -1.45580674867166708e-06 5.27491647686643862e-06
1.08542713567839200e+00 -8.44365958743505326e-06 4.63974081396699012e-06
1.10552763819095468e+00 -1.09016487554820370e-05 1.48496229442008682e-06
1.12562814070351758e+00 -9.36984750076274766e-06 -9.78058022589903162e-07
1.14572864321608048e+00 -7.69763795382315819e-06 -2.57004733235164543e-06
1.16582914572864316e+00 -6.20979808798017104e-06 -3.57581748246203087e-06
1.18592964824120606e+00 -5.01241485431019231e-06 -4.19291069003411567e-06
1.20603015075376874e+00 -3.75908434727631168e-06 -4.64740472149773460e-06
1.22613065326633164e+00 -3.11612752087302627e-06 -4.66995783173235506e-06
1.24623115577889454e+00 -1.91003737706779724e-06 -4.92060126989700556e-06
1.26633165829145722e+00 -1.53921637264217327e-06 -4.56105525202010701e-06
1.28643216080402012e+00 -7.42933002811836273e-07 -4.61473835260678501e-06
1.30653266331658302e+00 -2.16636653399998996e-07 -4.06302808481889760e-06
1.32663316582914570e+00 4.26465733834957182e-07 -3.70506401520097373e-06
1.34673366834170860e+00 -9.85418019733187596e-08 -2.94785725803349797e-06
1.36683417085427128e+00 -6.02239201084127562e-07 -2.58191206592456848e-06
1.38693467336683418e+00 -3.79501498219385494e-06 -2.58487807765768552e-06
1.40703517587939708e+00 -4.77875825937457934e-06 -4.44344768302438603e-06
1.42713567839195976e+00 -3.02377760978250656e-06 -5.14161523558896523e-06
1.44723618090452266e+00 -2.49036148649403468e-06 -5.83774840882930061e-06
1.46733668341708534e+00 -2.11699243379769941e-06 -6.10538670793926063e-06
1.48743718592964824e+00 -1.88786990375070364e-06 -6.77262028129384880e-06
1.50753768844221114e+00 -1.40627214656448389e-06 -7.13448212013001827e-06
1.52763819095477382e+00 -1.10855563902139307e-06 -8.01058261580495505e-06
1.54773869346733672e+00 1.20885844317716065e-06 -8.23997372345477068e-06
1.56783919597989940e+00 1.62035352312156918e-06 -8.19315898886722500e-06
1.58793969849246230e+00 3.07431204604464606e-06 -8.25215549780189052e-06
1.60804020100502520e+00 3.71055492919203166e-06 -7.86299386472309817e-06
1.62814070351758788e+00 4.62363657278067149e-06 -7.81847037925821884e-06
1.64824120603015079e+00 6.68189259693340592e-06 -7.24942631344466143e-06
1.66834170854271346e+00 7.26387711003498352e-06 -6.01136520289365145e-06
1.68844221105527637e+00 6.48484627123724966e-06 -5.36749882598325293e-06
1.70854271356783927e+00 6.91628890493553407e-06 -4.86848474410978033e-06
1.72864321608040195e+00 6.17506857609073153e-06 -4.50752153175259545e-06
1.74874371859296485e+00 7.29707902053182203e-06 -4.41038610144556350e-06
1.76884422110552775e+00 7.97516815453881522e-06 -3.58261225914175341e-06
1.78894472361809043e+00 8.76715953712989310e-06 -3.03096813679533927e-06
1.80904522613065333e+00 1.01209882769945450e-05 -1.49158039150407180e-06
1.82914572864321601e+00 8.50338489407312883e-06 -2.39999906854641058e-08
1.84924623115577891e+00 7.10066177498558984e-06 5.96908003837260700e-07
1.86934673366834181e+00 6.91966094278846399e-06 1.21673999278625489e-06
1.88944723618090449e+00 5.91324303417377095e-06 2.12868594440111615e-06
1.90954773869346739e+00 2.62002749385941488e-06 2.38605650759873562e-06
1.92964824120603007e+00 1.86524529072282818e-06 1.50058901199033391e-06
1.94974874371859297e+00 1.43379610298808361e-06 1.43823853291467918e-06
1.96984924623115587e+00 -5.45606938586170712e-07 8.79508811971739061e-07
1.98994974874371855e+00 -1.53788236985873346e-06 -3.35442396022273950e-07
2.01005025125628123e+00 -1.48906762677705865e-06 -1.43299251984113797e-06
2.03015075376884413e+00 -1.67448043244216155e-06 -2.22904973545516910e-06
2.05025125628140703e+00 -2.09814257631106496e-06 -3.48073441314070549e-06
2.07035175879396993e+00 -2.83056945360153452e-06 -4.73148862520743505e-06
2.09045226130653283e+00 -2.47665471501146426e-06 -6.74652809922097235e-06
2.11055276381909529e+00 -1.24695082673004987e-06 -8.55062279633871411e-06
2.13065326633165819e+00 3.67534736302628233e-06 -1.00651506356990956e-05
2.15075376884422109e+00 9.65101763296883037e-06 -8.90880908464351429e-06
2.17085427135678399e+00 1.12939234327255158e-05 -6.45558665171649886e-06
2.19095477386934689e+00 1.01770382449635596e-05 -4.58252060094529548e-06
2.21105527638190935e+00 8.87507358131009764e-06 -3.53805735650470030e-06
2.23115577889447225e+00 7.97448819320161364e-06 -2.97951983061113274e-06
2.25125628140703515e+00 7.54234002989443039e-06 -2.74571637030344078e-06
2.27135678391959805e+00 7.05168183922710441e-06 -2.45427706914607897e-06
2.29145728643216096e+00 6.40072288873951354e-06 -2.50248204430959039e-06
2.31155778894472341e+00 6.19699464522815942e-06 -2.69976276583270401e-06
2.33165829145728631e+00 5.89335976726041312e-06 -2.85207871823921636e-06
2.35175879396984921e+00 4.99980783258222123e-06 -3.39596098132777252e-06
2.37185929648241212e+00 5.08398589572858314e-06 -4.32445884008186366e-06
2.39195979899497502e+00 5.54178839348169384e-06 -5.13476537133852880e-06
2.41206030150753747e+00 6.10012306249146150e-06 -5.97020861411770808e-06
2.43216080402010038e+00 6.10579106540908318e-06 -7.01596283681605156e-06
2.45226130653266328e+00 7.75243217119992901e-06 -8.45437657456833099e-06
2.47236180904522618e+00 1.05396931205789255e-05 -9.59238579911720363e-06
2.49246231155778908e+00 1.66807398830504935e-05 -9.73811022162907073e-06
2.51256281407035198e+00 2.34893224855039430e-05 -7.76060705165459567e-06
2.53266331658291444e+00 2.74744844878120194e-05 -3.38461068771890574e-06
2.55276381909547734e+00 2.65701140951182254e-05 6.46228319624401958e-07
2.57286432160804024e+00 2.46475923103099264e-05 3.75737183279925829e-06
2.59296482412060314e+00 2.24777731858595603e-05 5.96705438828678517e-06
2.61306532663316604e+00 2.10485039493547831e-05 7.57703291849533452e-06
2.63316582914572850e+00 1.95708925313097043e-05 9.00784612016342228e-06
2.65326633165829140e+00 1.80728249686375981e-05 9.79988594859361872e-06
2.67336683417085430e+00 1.74518644999784660e-05 1.07292407202254370e-05
2.69346733668341720e+00 1.60796023126421612e-05 1.14768236609831459e-05
2.71356783919598010e+00 1.47202023512308231e-05 1.18574001983002701e-05
2.73366834170854256e+00 1.25185798092370106e-05 1.19711512728046103e-05
2.75376884422110546e+00 2.07210454205258884e-05 1.22484992160838616e-05
2.77386934673366836e+00 2.66804597252787112e-05 1.83782327708263219e-05
2.79396984924623126e+00 2.36504809250754581e-05 2.41262567280561442e-05
2.81407035175879416e+00 1.39634216761966593e-05 2.86915298795121180e-05
2.83417085427135662e+00 -1.79160417303786145e-06 2.73475155492111686e-05
2.85427135678391952e+00 -4.23529314156851361e-06 2.35996901482530255e-05
2.87437185929648242e+00 -6.60584023428683794e-06 2.30883093152552937e-05
2.89447236180904532e+00 -1.61258182580726125e-05 1.92120653243820816e-05
2.91457286432160823e+00 -1.30293969378999483e-05 1.55790997688353859e-05
2.93467336683417068e+00 -1.18101076129663408e-05 1.24159823317201353e-05
2.95477386934673358e+00 -1.49557510774963769e-05 9.92612024336459981e-06
2.97487437185929648e+00 -9.69139317737206960e-06 5.13166242556839288e-06
2.99497487437185939e+00 -2.65176583956302029e-06 5.53357177398033798e-06
3.01507537688442229e+00 -3.53013144899356925e-06 7.27768425620485266e-06
3.03517587939698474e+00 -6.50675219798365622e-06 6.09711392682813093e-06
3.05527638190954764e+00 -2.46152022080546071e-06 6.20986038406759229e-06
3.07537688442211055e+00 -3.22753885834007118e-06 6.89005117508250601e-06
3.09547738693467345e+00 -5.62105568036683601e-06 6.17177600485545894e-06
3.11557788944723635e+00 -3.21417785415028270e-06 4.64192044905257823e-06
3.13567839195979881e+00 1.60600055945022969e-07 5.30743004722520196e-06
3.15577889447236171e+00 -5.59666200280045094e-07 5.88385909925779413e-06
3.17587939698492461e+00 -2.55976837806731360e-06 5.83767274961227286e-06
3.19597989949748751e+00 -1.31688676063646530e-06 4.69504319815507918e-06
3.21608040201005041e+00 2.18737215830786643e-06 5.73222090830502331e-06
3.23618090452261287e+00 2.00728435402257303e-06 7.33494088870207930e-06
3.25628140703517577e+00 -2.80193000835230369e-06 8.08644935542118436e-06
3.27638190954773867e+00 -4.94208978262978262e-06 5.48110981159305439e-06
3.29648241206030157e+00 2.95953773115802250e-08 5.63650508186424239e-06
3.31658291457286447e+00 -2.75248800279397671e-06 6.07894697639939857e-06
3.33668341708542693e+00 -2.76672317875407291e-06 5.24401410258616608e-06
3.35678391959798983e+00 -3.20605973408603731e-06 5.39141065209360800e-06
3.37688442211055273e+00 -5.08701000753533090e-06 3.98497803590177585e-06
3.39698492462311563e+00 -2.03799020783049924e-06 2.58844241080978125e-06
3.41708542713567853e+00 2.46006016016710887e-06 4.12702050695607329e-06
3.43718592964824099e+00 8.66119235565943218e-07 5.59561167431920103e-06
3.45728643216080389e+00 -8.33691275721498180e-07 6.22043358856639405e-06
3.47738693467336679e+00 -7.47864071489584380e-07 6.16258388108995358e-06
3.49748743718592969e+00 -3.66477781555427437e-07 6.15920056156030474e-06
3.51758793969849259e+00 -2.91699831994044218e-07 6.65538353669980448e-06
3.53768844221105550e+00 -1.04409070495803073e-06 7.00184481350355967e-06
3.55778894472361795e+00 -3.47660089380282339e-06 7.11558846180179765e-06
3.57788944723618085e+00 -4.57039311361072537e-06 6.24203005287512212e-06
3.59798994974874375e+00 -4.34469937001430737e-06 5.43739657315659435e-06
3.61809045226130666e+00 -3.48761525764192058e-06 4.90843958519660165e-06
3.63819095477386956e+00 -2.19768388129285573e-06 4.86847839967770105e-06
3.65829145728643201e+00 -1.77227534280523915e-06 5.32006399534228606e-06
3.67839195979899491e+00 -2.29809204643699469e-06 5.44710933610112207e-06
3.69849246231155782e+00 -1.86485465136813456e-06 5.62954438469199216e-06
3.71859296482412072e+00 -2.51775860092164852e-06 5.93938939989857620e-06
3.73869346733668362e+00 -3.20797725167747367e-06 5.82826221425642578e-06
3.75879396984924607e+00 -3.43917373747971241e-06 5.68196835167654814e-06
3.77889447236180898e+00 -3.56019530693737276e-06 5.52169906841052342e-06
3.79899497487437188e+00 -3.55092419919039180e-06 5.43569778608751430e-06
3.81909547738693478e+00 -3.55173699638357566e-06 5.33761043202533992e-06
3.83919597989949768e+00 -3.20347709933579091e-06 5.37817327948735880e-06
3.85929648241206014e+00 -3.29014210451667306e-06 5.61272029739444450e-06
3.87939698492462304e+00 -4.00715959504425536e-06 5.82748957357763484e-06
3.89949748743718594e+00 -5.18945476612957027e-06 5.87128140196383687e-06
3.91959798994974884e+00 -6.32014168044926231e-06 5.55129357842945915e-06
3.93969849246231174e+00 -6.74699016120833807e-06 5.07377081550751348e-06
3.95979899497487420e+00 -6.54657508825703848e-06 4.70501525887682810e-06
3.97989949748743710e+00 -6.26168414916059883e-06 4.50549262820520669e-06
4.00000000000000000e+00 -6.13116030911406545e-06 4.38349513783532280e-06
