# SHG sigma units=A/V^2 component=yxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 4.76142783052182257e-12 5.21577817592520714e-12
2.01005025125628144e-02 3.57949531213638744e-12 4.86031000153348574e-13
4.02010050251256287e-02 3.58046738866545315e-12 1.41842597875827183e-12
6.03015075376884396e-02 3.58518786255768088e-12 2.36712977951929371e-12
8.04020100502512575e-02 3.59214783545154230e-12 3.32694204632243369e-12
1.00502512562814075e-01 3.60117805768242933e-12 4.29908709318110951e-12
1.20603015075376879e-01 3.61225599034865161e-12 5.28551016059639271e-12
1.40703517587939697e-01 3.62539483955734654e-12 6.28835604595672927e-12
1.60804020100502515e-01 3.64062250337972076e-12 7.30987853347712979e-12
1.80904522613065333e-01 3.65797602844801984e-12 8.35242431438157794e-12
2.01005025125628151e-01 3.67749994019795094e-12 9.41843576670392209e-12
2.21105527638190968e-01 3.69924581712088901e-12 1.05104600834611732e-11
2.41206030150753759e-01 3.72327235695605731e-12 1.16311612558231603e-11
2.61306532663316604e-01 3.74964569091077688e-12 1.27833338194975602e-11
2.81407035175879394e-01 3.77843985205102312e-12 1.39699180419443037e-11
3.01507537688442184e-01 3.80973737404308085e-12 1.51940165138848792e-11
3.21608040201005030e-01 3.84363001149349432e-12 1.64589122301871675e-11
3.41708542713567820e-01 3.88021958656521155e-12 1.77680883155973357e-11
3.61809045226130666e-01 3.91961898657082700e-12 1.91252495955339457e-11
3.81909547738693456e-01 3.96195332232594157e-12 2.05343462545515669e-11
4.02010050251256301e-01 4.00736128862733725e-12 2.19995998681833443e-11
4.22110552763819091e-01 4.05599675871088335e-12 2.35255321439406720e-11
4.42211055276381937e-01 4.10803065475231396e-12 2.51169967736139735e-11
4.62311557788944727e-01 4.16365316372213203e-12 2.67792148802784690e-11
4.82412060301507517e-01 4.22307636451361705e-12 2.85178146599048892e-11
5.02512562814070307e-01 4.28653736769753013e-12 3.03388759802449424e-11
5.22613065326633208e-01 4.35430208192949325e-12 3.22489809455120087e-11
5.42713567839195998e-01 4.42666977424419969e-12 3.42552718072381833e-11
5.62814070351758788e-01 4.50397862033499939e-12 3.63655182075378874e-11
5.82914572864321578e-01 4.58661251910206796e-12 3.85881967357056797e-11
6.03015075376884369e-01 4.67500952774915336e-12 4.09325874887075487e-11
6.23115577889447270e-01 4.76967239843182306e-12 4.34088953365538357e-11
6.43216080402010060e-01 4.87118187064872354e-12 4.60284090652490221e-11
6.63316582914572850e-01 4.98021361704446516e-12 4.88037217937622684e-11
6.83417085427135640e-01 5.09756009107270574e-12 5.17490557463201788e-11
7.03517587939698541e-01 5.22415905190445420e-12 5.48807735272204390e-11
7.23618090452261331e-01 5.36113131530725607e-12 5.82182381561093745e-11
7.43718592964824121e-01 5.50983143993375820e-12 6.17853542192488683e-11
7.63819095477386911e-01 5.67191692546281621e-12 6.56134972896944083e-11
7.83919597989949701e-01 5.84944439491762812e-12 6.97473969221464665e-11
8.04020100502512602e-01 6.04500606340694867e-12 7.42575758369766281e-11
8.24120603015075393e-01 6.26192798133639837e-12 7.92678983649619377e-11
8.44221105527638183e-01 6.50456588516814844e-12 8.50184654348018862e-11
8.64321608040200973e-01 6.77850376005427249e-12 9.20042748758956093e-11
8.84422110552763874e-01 6.88287589492665887e-12 1.01162400725742891e-10
9.04522613065326664e-01 -1.60460022525804672e-11 1.12235347082494452e-10
9.24623115577889454e-01 -3.43060899713783338e-10 8.69619833736128905e-11
9.44723618090452244e-01 -4.32328534628127445e-10 -2.62464983226393884e-10
9.64824120603015034e-01 1.14702197991476934e-09 -1.94117535580653754e-10
9.84924623115577935e-01 1.44372659138133087e-09 5.57992816031560896e-10
1.00502512562814061e+00 2.56153283928058239e-10 9.89807277123806775e-10
1.02512562814070352e+00 -9.54751963543656096e-10 8.56662974140454637e-10
1.04522613065326642e+00 -1.55115166326846348e-09 3.65957591404448572e-10
1.06532663316582910e+00 -1.64165484324421835e-09 -1.94619152191120983e-10
1.08542713567839200e+00 -1.35075189485466269e-09 -7.70100580309203170e-10
1.10552763819095468e+00 -4.76924328835163109e-11 -1.15121934266591981e-09
1.12562814070351758e+00 1.36258335135751060e-09 -9.60629055343254569e-10
1.14572864321608048e+00 2.14419515279285064e-09 -3.53791430983470378e-10
1.16582914572864316e+00 2.36376519895677689e-09 4.42939227404948153e-10
1.18592964824120606e+00 2.11622157389560929e-09 1.11014937258114640e-09
1.20603015075376874e+00 1.39702163471055125e-09 1.73383344328043951e-09
1.22613065326633164e+00 6.67186870309682839e-10 2.08863951717164436e-09
1.24623115577889454e+00 -4.48304986713051985e-10 2.19898388312813166e-09
1.26633165829145722e+00 -1.20509351804441205e-09 2.08103607257595391e-09
1.28643216080402012e+00 -2.22811076013139903e-09 1.73889743233695562e-09
1.30653266331658302e+00 -2.66335248379976601e-09 1.19301579046486841e-09
1.32663316582914570e+00 -2.86755453383509243e-09 5.65690010979716213e-10
1.34673366834170860e+00 -2.39051927714936048e-09 6.90965420784442709e-11
1.36683417085427128e+00 -1.78816819481066432e-09 -1.46954279787868223e-10
1.38693467336683418e+00 -3.31235901748099567e-09 -2.86664398136003887e-10
1.40703517587939708e+00 -3.36320457013898042e-09 -1.77589395514466323e-09
1.42713567839195976e+00 7.02363057659032984e-10 -2.14689626284978030e-09
