# SHG sigma units=A/V^2 component=yxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -4.80704873100243518e-12 2.07326988005137546e-09
2.01005025125628144e-02 -4.78270289271016779e-12 -2.09389551175822454e-10
4.02010050251256287e-02 -4.79372668765252205e-12 -4.45727224535173728e-10
6.03015075376884396e-02 -4.81114117943503499e-12 -6.81241668250104596e-10
8.04020100502512575e-02 -4.83499272228039184e-12 -9.18819214412980375e-10
1.00502512562814075e-01 -4.86539475800525772e-12 -1.15903794879171198e-09
1.20603015075376879e-01 -4.90249980882178192e-12 -1.40223804017459204e-09
1.40703517587939697e-01 -4.94649854216917439e-12 -1.64871553387941443e-09
1.60804020100502515e-01 -4.99762152405333938e-12 -1.89876033201580998e-09
1.80904522613065333e-01 -5.05614187677978468e-12 -2.15266743982555458e-09
2.01005025125628151e-01 -5.12237861716805993e-12 -2.41074167699161559e-09
2.21105527638190968e-01 -5.19670068649540475e-12 -2.67330044196149107e-09
2.41206030150753759e-01 -5.27953174807801881e-12 -2.94067585698851951e-09
2.61306532663316604e-01 -5.37135586168983665e-12 -3.21321675698818021e-09
2.81407035175879394e-01 -5.47272417406836655e-12 -3.49129071498778319e-09
3.01507537688442184e-01 -5.58426279493924386e-12 -3.77528620262428108e-09
3.21608040201005030e-01 -5.70668207289141045e-12 -4.06561494971218117e-09
3.41708542713567820e-01 -5.84078752610549779e-12 -4.36271455556781384e-09
3.61809045226130666e-01 -5.98749274994030601e-12 -4.66705140360212792e-09
3.81909547738693456e-01 -6.14783469196026403e-12 -4.97912393489789398e-09
4.02010050251256301e-01 -6.32299178739763410e-12 -5.29946634425362155e-09
4.22110552763819091e-01 -6.51430556181286797e-12 -5.62865277301239092e-09
4.42211055276381937e-01 -6.72330646703733116e-12 -5.96730208695650419e-09
4.62311557788944727e-01 -6.95174491648791329e-12 -6.31608334508389295e-09
4.82412060301507517e-01 -7.20162874414602419e-12 -6.67572208686835767e-09
5.02512562814070307e-01 -7.47526865533492271e-12 -7.04700759251644748e-09
5.22613065326633208e-01 -7.77533368564432315e-12 -7.43080130385492390e-09
5.42713567839195998e-01 -8.10491928829433225e-12 -7.82804663389746014e-09
5.62814070351758788e-01 -8.46763147510311766e-12 -8.23978044185480875e-09
5.82914572864321578e-01 -8.86769153963038088e-12 -8.66714650759909272e-09
6.03015075376884369e-01 -9.31006739241718024e-12 -9.11141140376438162e-09
6.23115577889447270e-01 -9.80063963929355610e-12 -9.57398322860290453e-09
6.43216080402010060e-01 -1.03464134689458394e-11 -1.00564337121870126e-08
6.63316582914572850e-01 -1.09557916087737568e-11 -1.05605242039989484e-08
6.83417085427135640e-01 -1.16389296512296966e-11 -1.10882359038368712e-08
7.03517587939698541e-01 -1.24082039187997597e-11 -1.16418042139814184e-08
7.23618090452261331e-01 -1.32788352410037465e-11 -1.22237558265157302e-08
7.43718592964824121e-01 -1.42697320673209520e-11 -1.28369441043355694e-08
7.63819095477386911e-01 -1.54046473695969288e-11 -1.34845711007835421e-08
7.83919597989949701e-01 -1.67137929012556263e-11 -1.41701674981306522e-08
8.04020100502512602e-01 -1.82361340242774578e-11 -1.48974607793316506e-08
8.24120603015075393e-01 -2.00227210422927005e-11 -1.56699621034023959e-08
