# SHG sigma units=A/V^2 component=yyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.73917034442315836e-12 -2.08827484232885124e-09
2.01005025125628144e-02 1.57071794546166592e-12 5.87583986278130387e-09
4.02010050251256287e-02 1.57485382020881165e-12 1.18910811109160856e-08
6.03015075376884396e-02 1.57995993062296360e-12 1.79155634976422586e-08
8.04020100502512575e-02 1.58582274111513710e-12 2.39578834261821369e-08
1.00502512562814075e-01 1.59242479494780754e-12 3.00243513534548919e-08
1.20603015075376879e-01 1.59977110539010091e-12 3.61209366361811175e-08
1.40703517587939697e-01 1.60787305823844671e-12 4.22534162790973841e-08
1.60804020100502515e-01 1.61674538624341967e-12 4.84273681953293767e-08
1.80904522613065333e-01 1.62640542416628022e-12 5.46481302465316946e-08
2.01005025125628151e-01 1.63687291374578826e-12 6.09207420437971460e-08
2.21105527638190968e-01 1.64817002893876574e-12 6.72498711101583605e-08
2.41206030150753759e-01 1.66032144775729300e-12 7.36397212744065903e-08
2.61306532663316604e-01 1.67335449354905560e-12 8.00939195449234659e-08
2.81407035175879394e-01 1.68729930090489307e-12 8.66153764311483322e-08
3.01507537688442184e-01 1.70218900853001438e-12 9.32061132716602023e-08
3.21608040201005030e-01 1.71805997400946297e-12 9.98670483889516983e-08
3.41708542713567820e-01 1.73495204452442519e-12 1.06597731662005141e-07
3.61809045226130666e-01 1.75290882920719304e-12 1.13396014206238589e-07
3.81909547738693456e-01 1.77197803142772889e-12 1.20257636037408727e-07
4.02010050251256301e-01 1.79221181098145647e-12 1.27175709544631124e-07
4.22110552763819091e-01 1.81366721184516688e-12 1.34140069851457550e-07
4.42211055276381937e-01 1.83640661085703746e-12 1.41136454057544328e-07
4.62311557788944727e-01 1.86049826887132616e-12 1.48145459003621600e-07
4.82412060301507517e-01 1.88601692763818262e-12 1.55141210252396171e-07
5.02512562814070307e-01 1.91304449350684410e-12 1.62089651467798584e-07
5.22613065326633208e-01 1.94167083008126813e-12 1.68946330391835233e-07
5.42713567839195998e-01 1.97199464944965693e-12 1.75653510770190874e-07
5.62814070351758788e-01 2.00412453721083004e-12 1.82136372137070137e-07
5.82914572864321578e-01 2.03818014391491226e-12 1.88297960854208478e-07
6.03015075376884369e-01 2.07429354767055647e-12 1.94012409570486171e-07
6.23115577889447270e-01 2.11261083122504453e-12 1.99115721378886402e-07
6.43216080402010060e-01 2.15329393243098536e-12 2.03393074772729448e-07
6.63316582914572850e-01 2.19652280565508732e-12 2.06561070333383150e-07
6.83417085427135640e-01 2.24249795209157042e-12 2.08242477985231775e-07
7.03517587939698541e-01 2.29144345185828159e-12 2.07929617840344242e-07
7.23618090452261331e-01 2.34361055630326799e-12 2.04930079042974287e-07
7.43718592964824121e-01 2.39928207257259107e-12 1.98284205545761969e-07
7.63819095477386911e-01 2.45877775129712791e-12 1.86635967302198741e-07
7.83919597989949701e-01 2.52246106654566277e-12 1.68023966249569502e-07
