# SHG sigma units=A/V^2 component=yyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 5.43612541177093072e-11 -7.09538201961241466e-10
2.01005025125628144e-02 4.07698943823175884e-11 8.07569506457748356e-11
4.02010050251256287e-02 4.07335878045779675e-11 1.60459777363615364e-10
6.03015075376884396e-02 4.07356097028970920e-11 2.38700278207220252e-10
8.04020100502512575e-02 4.07585621573669565e-11 3.16418650895473588e-10
1.00502512562814075e-01 4.08003868229330277e-11 3.93750933931330665e-10
1.20603015075376879e-01 4.08606894988635723e-11 4.70746192532476247e-10
1.40703517587939697e-01 4.09394670564490463e-11 5.47433038285867053e-10
1.60804020100502515e-01 4.10368648631274848e-11 6.23832056217090143e-10
1.80904522613065333e-01 4.11531117295306365e-11 6.99958878372868945e-10
2.01005025125628151e-01 4.12884989903437002e-11 7.75824891173956317e-10
2.21105527638190968e-01 4.14433735171485787e-11 8.51437148585477136e-10
2.41206030150753759e-01 4.16181360232838328e-11 9.26797929295416267e-10
2.61306532663316604e-01 4.18132417612493989e-11 1.00190407201693326e-09
2.81407035175879394e-01 4.20292025198634347e-11 1.07674612399155913e-09
3.01507537688442184e-01 4.22665894882694598e-11 1.15130729843321797e-09
3.21608040201005030e-01 4.25260368117624701e-11 1.22556221642147979e-09
3.41708542713567820e-01 4.28082457877750596e-11 1.29947539440996690e-09
3.61809045226130666e-01 4.31139897056087106e-11 1.37299942491496287e-09
3.81909547738693456e-01 4.34441193713050017e-11 1.44607278261663835e-09
4.02010050251256301e-01 4.37995693833150984e-11 1.51861716928832656e-09
4.22110552763819091e-01 4.41813652412287845e-11 1.59053428690940112e-09
4.42211055276381937e-01 4.45906313961295320e-11 1.66170189694552221e-09
4.62311557788944727e-01 4.50286003646404506e-11 1.73196898229096167e-09
4.82412060301507517e-01 4.54966230580889203e-11 1.80114977280323624e-09
5.02512562814070307e-01 4.59961805027423605e-11 1.86901632014126132e-09
5.22613065326633208e-01 4.65288971586584595e-11 1.93528920456675745e-09
5.42713567839195998e-01 4.70965560844369296e-11 1.99962581335540170e-09
5.62814070351758788e-01 4.77011162405670428e-11 2.06160542932512731e-09
5.82914572864321578e-01 4.83447322761850237e-11 2.12071008078718328e-09
6.03015075376884369e-01 4.90297772142346780e-11 2.17629968743811875e-09
6.23115577889447270e-01 4.97588685263606894e-11 2.22757942086307961e-09
6.43216080402010060e-01 5.05348981854920817e-11 2.27355627015713483e-09
6.63316582914572850e-01 5.13610673999727611e-11 2.31298037311847443e-09
6.83417085427135640e-01 5.22409268717362343e-11 2.34426441577092721e-09
7.03517587939698541e-01 5.31784235797900765e-11 2.36537073972494638e-09
7.23618090452261331e-01 5.41779552810329550e-11 2.37364966894994337e-09
7.43718592964824121e-01 5.52444341164025055e-11 2.36560195863807134e-09
7.63819095477386911e-01 5.63833609016706672e-11 2.33651918252244817e-09
7.83919597989949701e-01 5.76009117806255073e-11 2.27992003143621307e-09
8.04020100502512602e-01 5.89040387519955199e-11 2.18662994244052368e-09
8.24120603015075393e-01 6.03005846891197503e-11 2.04320565972432192e-09
8.44221105527638183e-01 6.17994109318936433e-11 1.82909217649776995e-09
8.64321608040200973e-01 6.34110848334416423e-11 1.51122446992686104e-09
8.84422110552763874e-01 6.56466259785029248e-11 1.03369210938882237e-09
9.04522613065326664e-01 1.33797969936067931e-10 3.04147622341708998e-10
9.24623115577889454e-01 1.50940378013195998e-09 -7.07707598993753696e-10
9.44723618090452244e-01 6.34040293251425990e-09 -7.36403411066572009e-10
9.64824120603015034e-01 9.00898401843165332e-09 1.25043760509042289e-09
9.84924623115577935e-01 8.12010402805191074e-09 2.89295220350749509e-09
1.00502512562814061e+00 6.81870594445254163e-09 3.61166315915256663e-09
1.02512562814070352e+00 6.10454746549397588e-09 3.59962260547678975e-09
1.04522613065326642e+00 6.22244699767389825e-09 3.08747303782801953e-09
1.06532663316582910e+00 9.01893637384934417e-09 2.38208971737143258e-09
1.08542713567839200e+00 1.64546975066211063e-08 3.70364452000655759e-09
1.10552763819095468e+00 2.00976547274788074e-08 7.80773518741346210e-09
1.12562814070351758e+00 1.99709914260660869e-08 1.17326228771640468e-08
1.14572864321608048e+00 1.93095872710099017e-08 1.54210061459711117e-08
1.16582914572864316e+00 1.83977961494850411e-08 1.91908308206668547e-08
