# SHG sigma units=A/V^2 component=yzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 5.21778375734509742e-12 -8.30089791417416419e-11
2.01005025125628144e-02 5.69712260254733112e-12 6.06991351314992113e-07
4.02010050251256287e-02 5.70634273758158843e-12 1.21480141483415005e-06
6.03015075376884396e-02 5.72317182390456122e-12 1.82408304573093591e-06
8.04020100502512575e-02 5.74827527737430231e-12 2.43557920556962275e-06
1.00502512562814075e-01 5.78180559714650342e-12 3.05004356859165430e-06
1.20603015075376879e-01 5.82388627106985893e-12 3.66824426650287472e-06
1.40703517587939697e-01 5.87465760744259650e-12 4.29096781043171998e-06
1.60804020100502515e-01 5.93428625369299551e-12 4.91902324197921473e-06
1.80904522613065333e-01 6.00296880096301749e-12 5.55324657093137519e-06
2.01005025125628151e-01 6.08093400600532267e-12 6.19450556446905213e-06
2.21105527638190968e-01 6.16844480433940672e-12 6.84370496190077624e-06
2.41206030150753759e-01 6.26580044290851485e-12 7.50179220047479287e-06
2.61306532663316604e-01 6.37333884193667623e-12 8.16976375223232496e-06
2.81407035175879394e-01 6.49143928108167545e-12 8.84867218985009783e-06
3.01507537688442184e-01 6.62052544901570199e-12 9.53963412190744218e-06
3.21608040201005030e-01 6.76106892403022784e-12 1.02438391662140275e-05
3.41708542713567820e-01 6.91359312688337637e-12 1.09625601653582984e-05
3.61809045226130666e-01 7.07867784615390323e-12 1.16971648936261429e-05
3.81909547738693456e-01 7.25696438304861106e-12 1.24491295617808872e-05
4.02010050251256301e-01 7.44916141666577138e-12 1.32200544998031474e-05
4.22110552763819091e-01 7.65605171964779294e-12 1.40116824929259913e-05
4.42211055276381937e-01 7.87849983841973428e-12 1.48259203705939054e-05
4.62311557788944727e-01 8.11746088090653701e-12 1.56648646117206092e-05
4.82412060301507517e-01 8.37399066259970952e-12 1.65308319475554691e-05
5.02512562814070307e-01 8.64925737853751942e-12 1.74263962367452128e-05
5.22613065326633208e-01 8.94455513001028348e-12 1.83544332865905707e-05
5.42713567839195998e-01 9.26131964156392397e-12 1.93181758455576419e-05
5.62814070351758788e-01 9.60114662928955167e-12 2.03212817631693564e-05
5.82914572864321578e-01 9.96581332366167814e-12 2.13679194089820230e-05
6.03015075376884369e-01 1.03573039371074303e-11 2.24628760252985828e-05
6.23115577889447270e-01 1.07778398892687831e-11 2.36116970177145842e-05
6.43216080402010060e-01 1.12299160193311782e-11 2.48208676853614673e-05
6.63316582914572850e-01 1.17163443158728631e-11 2.60980542628585225e-05
6.83417085427135640e-01 1.22403073030149288e-11 2.74524295963804154e-05
7.03517587939698541e-01 1.28054238816484638e-11 2.88951224428589223e-05
7.23618090452261331e-01 1.34158317448381102e-11 3.04398521699358581e-05
7.43718592964824121e-01 1.40762922410981489e-11 3.21038499555899128e-05
7.63819095477386911e-01 1.47923263633638736e-11 3.39092380833935187e-05
7.83919597989949701e-01 1.55703956843586188e-11 3.58851708328612436e-05
8.04020100502512602e-01 1.64181503590588944e-11 3.80712990885621462e-05
8.24120603015075393e-01 1.73447827452450442e-11 4.05236531879808813e-05
8.44221105527638183e-01 1.83612336119491116e-11 4.33251813439225066e-05
8.64321608040200973e-01 1.74361761115583105e-11 4.66056316540320429e-05
8.84422110552763874e-01 -1.80642873120888545e-09 5.05794704672795256e-05
9.04522613065326664e-01 -2.39715966197837895e-07 5.55964462294746841e-05
9.24623115577889454e-01 -5.06379887284106120e-06 6.17979096242490160e-05
9.44723618090452244e-01 -2.16158169672506743e-05 6.48470486765996817e-05
9.64824120603015034e-01 -3.16928801690814522e-05 6.15093703575283199e-05
9.84924623115577935e-01 -3.25399755616016567e-05 5.86885789644162289e-05
1.00502512562814061e+00 -3.23247337402744148e-05 5.73369833993124837e-05
