# SHG sigma units=A/V^2 component=zxx
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.07236060401586658e-11 1.84791293168925615e-12
2.01005025125628144e-02 -1.07355872307681626e-11 3.19503785476865864e-11
4.02010050251256287e-02 -1.07606686360758362e-11 6.20771457226047885e-11
6.03015075376884396e-02 -1.07989043422379908e-11 9.22575177354465100e-11
8.04020100502512575e-02 -1.08503846578154019e-11 1.22520879104355456e-10
1.00502512562814075e-01 -1.09152366844753930e-11 1.52896735788237407e-10
1.20603015075376879e-01 -1.09936251246115098e-11 1.83414752564788550e-10
1.40703517587939697e-01 -1.10857533370346435e-11 2.14104786293459098e-10
1.60804020100502515e-01 -1.11918646508634386e-11 2.44996913529688881e-10
1.80904522613065333e-01 -1.13122439560221937e-11 2.76121450606922496e-10
2.01005025125628151e-01 -1.14472195882891621e-11 3.07508963841966630e-10
2.21105527638190968e-01 -1.15971655317722894e-11 3.39190266901392703e-10
2.41206030150753759e-01 -1.17625039694195749e-11 3.71196401595651213e-10
2.61306532663316604e-01 -1.19437082114703354e-11 4.03558597300757996e-10
2.81407035175879394e-01 -1.21413060424523831e-11 4.36308202872445900e-10
3.01507537688442184e-01 -1.23558835315858255e-11 4.69476583134259183e-10
3.21608040201005030e-01 -1.25880893597959760e-11 5.03094969690971195e-10
3.41708542713567820e-01 -1.28386397248933924e-11 5.37194252740567236e-10
3.61809045226130666e-01 -1.31083238975431369e-11 5.71804696470273584e-10
3.81909547738693456e-01 -1.33980105122685187e-11 6.06955555166153072e-10
4.02010050251256301e-01 -1.37086546933691062e-11 6.42674559823617962e-10
4.22110552763819091e-01 -1.40413061309126962e-11 6.78987235111700027e-10
4.42211055276381937e-01 -1.43971182425835557e-11 7.15915992965516083e-10
4.62311557788944727e-01 -1.47773585843248627e-11 7.53478930384877272e-10
4.82412060301507517e-01 -1.51834206972972971e-11 7.91688233017855614e-10
5.02512562814070307e-01 -1.56168376183153040e-11 8.30548049592394335e-10
5.22613065326633208e-01 -1.60792973213044915e-11 8.70051650360856630e-10
5.42713567839195998e-01 -1.65726604101905307e-11 9.10177608144734551e-10
5.62814070351758788e-01 -1.70989804483280278e-11 9.50884631893447933e-10
5.82914572864321578e-01 -1.76605273866074460e-11 9.92104522064606196e-10
6.03015075376884369e-01 -1.82598146555992128e-11 1.03373247604099426e-09
6.23115577889447270e-01 -1.88996305985128850e-11 1.07561360350945838e-09
6.43216080402010060e-01 -1.95830750890199171e-11 1.11752393836682086e-09
6.63316582914572850e-01 -2.03136023550856316e-11 1.15914332213128554e-09
6.83417085427135640e-01 -2.10950712836304657e-11 1.20001605006496939e-09
7.03517587939698541e-01 -2.19318047843525962e-11 1.23949269257481350e-09
7.23618090452261331e-01 -2.28286601762666784e-11 1.27664224119031486e-09
7.43718592964824121e-01 -2.37911130465039540e-11 1.31011615229808521e-09
7.63819095477386911e-01 -2.48253576159262013e-11 1.33793189624681059e-09
7.83919597989949701e-01 -2.59384272968934681e-11 1.35711680318186994e-09
8.04020100502512602e-01 -2.71383396980234720e-11 1.36309915497295123e-09
8.24120603015075393e-01 -2.84342703668943081e-11 1.34862028164713482e-09
8.44221105527638183e-01 -2.98367576757609485e-11 1.30169430097862622e-09
8.64321608040200973e-01 -3.13574149423456884e-11 1.20160789535541612e-09
8.84422110552763874e-01 -3.25495805128808309e-11 1.01111228381548851e-09
9.04522613065326664e-01 2.52283657390901483e-11 6.66741908192858251e-10
