# SHG sigma units=A/V^2 component=zxy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -4.84192008770725568e-12 -3.42743000647618207e-11
2.01005025125628144e-02 -4.85159214278306681e-12 -2.62634582248044192e-10
4.02010050251256287e-02 -4.87557321243647212e-12 -4.91383354073631609e-10
6.03015075376884396e-02 -4.91393532033909745e-12 -7.20742902703977145e-10
8.04020100502512575e-02 -4.96679814143869999e-12 -9.50937035367917479e-10
1.00502512562814075e-01 -5.03432995115226056e-12 -1.18219191102981800e-09
1.20603015075376879e-01 -5.11674897083819322e-12 -1.41473689304247123e-09
1.40703517587939697e-01 -5.21432513352103515e-12 -1.64880543024985479e-09
1.60804020100502515e-01 -5.32738229838032985e-12 -1.88463597446199364e-09
1.80904522613065333e-01 -5.45630094886492021e-12 -2.12247294282177516e-09
2.01005025125628151e-01 -5.60152142157492030e-12 -2.36256773430641731e-09
2.21105527638190968e-01 -5.76354772003837915e-12 -2.60517981051942235e-09
2.41206030150753759e-01 -5.94295198518963706e-12 -2.85057785201647115e-09
2.61306532663316604e-01 -6.14037969668191801e-12 -3.09904100272523958e-09
2.81407035175879394e-01 -6.35655571207695334e-12 -3.35086021659140696e-09
3.01507537688442184e-01 -6.59229125823391040e-12 -3.60633972246231834e-09
3.21608040201005030e-01 -6.84849201818175740e-12 -3.86579862545794001e-09
3.41708542713567820e-01 -7.12616748632916975e-12 -4.12957266574727375e-09
3.61809045226130666e-01 -7.42644180331511032e-12 -4.39801615883894524e-09
3.81909547738693456e-01 -7.75056632041742633e-12 -4.67150414530721861e-09
4.02010050251256301e-01 -8.09993420726749638e-12 -4.95043478244338775e-09
4.22110552763819091e-01 -8.47609747878274335e-12 -5.23523201582512373e-09
4.42211055276381937e-01 -8.88078691107738102e-12 -5.52634857542401031e-09
4.62311557788944727e-01 -9.31593542632449082e-12 -5.82426934889084633e-09
4.82412060301507517e-01 -9.78370566605234859e-12 -6.12951519441803578e-09
5.02512562814070307e-01 -1.02865226652578084e-11 -6.44264726745308351e-09
5.22613065326633208e-01 -1.08271127728989106e-11 -6.76427195008507723e-09
5.42713567839195998e-01 -1.14085502835397109e-11 -7.09504648978042087e-09
5.62814070351758788e-01 -1.20343136674987828e-11 -7.43568547613916067e-09
5.82914572864321578e-01 -1.27083538463381735e-11 -7.78696831146571127e-09
6.03015075376884369e-01 -1.34351777195585604e-11 -8.14974786443679155e-09
6.23115577889447270e-01 -1.42199512018994729e-11 -8.52496053737482013e-09
6.43216080402010060e-01 -1.50686274716412520e-11 -8.91363802798726893e-09
6.63316582914572850e-01 -1.59881081712987726e-11 -9.31692112698053184e-09
6.83417085427135640e-01 -1.69864482166818313e-11 -9.73607596318563998e-09
7.03517587939698541e-01 -1.80731190800896685e-11 -1.01725131834624773e-08
7.23618090452261331e-01 -1.92593516358772664e-11 -1.06278106213207988e-08
