# SHG sigma units=A/V^2 component=zxz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -3.18280008363914881e-12 7.56030602535130538e-14
2.01005025125628144e-02 -3.10856400888984587e-12 -1.94937396015321476e-11
4.02010050251256287e-02 -2.93140631663336075e-12 -3.90777361077370767e-11
6.03015075376884396e-02 -2.65088589332969297e-12 -5.86904837092244188e-11
8.04020100502512575e-02 -2.26627096025554875e-12 -7.83461605074951059e-11
1.00502512562814075e-01 -1.77653463548642222e-12 -9.80590611668482775e-11
1.20603015075376879e-01 -1.18034866107656348e-12 -1.17843633459415027e-10
1.40703517587939697e-01 -4.76075228708302483e-13 -1.37714515694857135e-10
1.60804020100502515e-01 3.38243224867440545e-13 -1.57686575302617740e-10
1.80904522613065333e-01 1.26489630622037062e-12 -1.77774948774386001e-10
2.01005025125628151e-01 2.30652022918688764e-12 -1.97995083291830328e-10
2.21105527638190968e-01 3.46611483064311865e-12 -2.18362780150649634e-10
2.41206030150753759e-01 4.74706321139242496e-12 -2.38894240444941234e-10
2.61306532663316604e-01 6.15315423540629996e-12 -2.59606113129623100e-10
2.81407035175879394e-01 7.68860826368758952e-12 -2.80515545940631624e-10
3.01507537688442184e-01 9.35810630009513009e-12 -3.01640239516108170e-10
3.21608040201005030e-01 1.11668230846418022e-11 -3.22998505071770978e-10
3.41708542713567820e-01 1.31204644705799763e-11 -3.44609326142631785e-10
3.61809045226130666e-01 1.52253096794224853e-11 -3.66492424861094497e-10
3.81909547738693456e-01 1.74882589860517177e-11 -3.88668333410102345e-10
4.02010050251256301e-01 1.99168875688547312e-11 -4.11158471227521567e-10
4.22110552763819091e-01 2.25195063683142872e-11 -4.33985228746276950e-10
4.42211055276381937e-01 2.53052308092724661e-11 -4.57172058427694843e-10
4.62311557788944727e-01 2.82840586778653563e-11 -4.80743574256710534e-10
4.82412060301507517e-01 3.14669583281277154e-11 -5.04725660476726289e-10
5.02512562814070307e-01 3.48659688201528961e-11 -5.29145591214732181e-10
5.22613065326633208e-01 3.84943138586819019e-11 -5.54032162187285368e-10
5.42713567839195998e-01 4.23665316506740013e-11 -5.79415836465056399e-10
5.62814070351758788e-01 4.64986232960831878e-11 -6.05328906242442857e-10
5.82914572864321578e-01 5.09082227448570935e-11 -6.31805673084792104e-10
6.03015075376884369e-01 5.56147920899976605e-11 -6.58882649566108738e-10
6.23115577889447270e-01 6.06398465206364587e-11 -6.86598785758069210e-10
6.43216080402010060e-01 6.60072143659451369e-11 -7.14995724449983306e-10
6.63316582914572850e-01 7.17433386868272594e-11 -7.44118089782429974e-10
6.83417085427135640e-01 7.78776283405714362e-11 -7.74013814121306750e-10
7.03517587939698541e-01 8.44428681967524528e-11 -8.04734507651194286e-10
7.23618090452261331e-01 9.14757005451499993e-11 -8.36335872707756954e-10
7.43718592964824121e-01 9.90171924167372039e-11 -8.68878157669965778e-10
7.63819095477386911e-01 1.07113507480637955e-10 -9.02426625149836028e-10
7.83919597989949701e-01 1.15816705814278816e-10 -9.37051959709357508e-10
8.04020100502512602e-01 1.25185701243390893e-10 -9.72830414246880929e-10
8.24120603015075393e-01 1.35287414455196766e-10 -1.00984317804540075e-09
8.44221105527638183e-01 1.46198171759314767e-10 -1.04817367293391381e-09
8.64321608040200973e-01 1.58005406678478719e-10 -1.08789990971262520e-09
8.84422110552763874e-01 1.70801895198447798e-10 -1.12908026780498810e-09
9.04522613065326664e-01 1.83791725369603995e-10 -1.17180755514309695e-09
9.24623115577889454e-01 1.84101526193545611e-10 -1.21776491253342146e-09
9.44723618090452244e-01 1.81355823027418356e-10 -1.28130123620773036e-09
9.64824120603015034e-01 2.54253273690918940e-10 -1.34326206184920367e-09
9.84924623115577935e-01 3.24001699048699119e-10 -1.37545550943023653e-09
1.00502512562814061e+00 3.44967870839093381e-10 -1.40251445784793740e-09
1.02512562814070352e+00 3.40579224720490643e-10 -1.44152615269679915e-09
1.04522613065326642e+00 3.33726119200067573e-10 -1.49831623588683184e-09
1.06532663316582910e+00 3.56346962872282952e-10 -1.57082565312517717e-09
1.08542713567839200e+00 4.29670865248021114e-10 -1.63566341160300510e-09
1.10552763819095468e+00 4.69879092360126731e-10 -1.68852825543422944e-09
1.12562814070351758e+00 5.00296358316479456e-10 -1.75413514066217686e-09
1.14572864321608048e+00 5.50121653147738904e-10 -1.82741001141847790e-09
1.16582914572864316e+00 6.22001190584690289e-10 -1.90592900669223603e-09
1.18592964824120606e+00 7.87703121277071555e-10 -1.97126268629813832e-09
1.20603015075376874e+00 9.52409080667545775e-10 -1.96391142253192852e-09
1.22613065326633164e+00 9.67753543032279252e-10 -1.95729690005842304e-09
1.24623115577889454e+00 7.82895241571692637e-10 -2.01236262146454101e-09
1.26633165829145722e+00 7.82101460298702889e-10 -2.20611592267692092e-09
1.28643216080402012e+00 1.12511200812166609e-09 -2.33993425707537324e-09
1.30653266331658302e+00 1.40709246611004419e-09 -2.35168788358430454e-09
1.32663316582914570e+00 1.36074777171787326e-09 -2.37339719771383949e-09
1.34673366834170860e+00 9.47816665634435611e-10 -2.59166841474212156e-09
1.36683417085427128e+00 -2.07141454837573221e-09 -1.95313911463422448e-09
1.38693467336683418e+00 -6.11737382046184306e-09 1.21856745280839965e-09
1.40703517587939708e+00 1.86622519659371883e-09 -1.99102852224834010e-09
1.42713567839195976e+00 5.65247541365870580e-09 -4.68307624700659463e-09
1.44723618090452266e+00 7.47430405806966777e-09 -4.41237850776278808e-09
1.46733668341708534e+00 8.13639536327760904e-09 -6.75516937702356622e-10
1.48743718592964824e+00 5.50935292852540521e-09 6.81669536744912564e-10
1.50753768844221114e+00 4.64049310878885742e-09 2.59253207029445547e-09
1.52763819095477382e+00 -1.19388909811583231e-09 3.77389197397137557e-09
1.54773869346733672e+00 -1.01748559528606500e-08 1.33606538103999600e-09
1.56783919597989940e+00 -1.09817044927723014e-08 -3.17697124016530562e-09
1.58793969849246230e+00 -1.73178310438345298e-08 -8.38090186056192188e-09
1.60804020100502520e+00 -3.48152911790529815e-09 -1.61227569458824398e-08
1.62814070351758788e+00 6.69727209860955925e-09 -1.37894407717679702e-08
1.64824120603015079e+00 5.67228711616473455e-09 -1.40240088395021722e-08
1.66834170854271346e+00 1.43515406745009508e-08 -1.73198574510863270e-08
1.68844221105527637e+00 6.34880794358046200e-08 -7.64516170094722956e-09
1.70854271356783927e+00 3.77943172910462110e-08 2.24082605194563764e-08
1.72864321608040195e+00 -1.97786072309100340e-08 1.86428376023537108e-08
1.74874371859296485e+00 -2.40345447077470215e-08 2.60079827760560675e-09
1.76884422110552775e+00 -1.42813326242515219e-08 -6.48389662986560631e-09
1.78894472361809043e+00 4.63548827760158927e-09 -9.48828462420671773e-09
1.80904522613065333e+00 9.12516411307051083e-09 -6.81638673124923958e-09
1.82914572864321601e+00 6.71698674999206877e-09 -5.57179455541581457e-09
1.84924623115577891e+00 2.02123827676209005e-08 -5.19821258400377905e-09
1.86934673366834181e+00 1.81214695648831867e-08 4.96939543618188337e-09
1.88944723618090449e+00 -1.22052865584879785e-08 1.26863425737234141e-09
1.90954773869346739e+00 -2.06195454865721466e-09 -9.26101622033527538e-09
1.92964824120603007e+00 2.24713344458743653e-08 -8.85333110804848515e-09
1.94974874371859297e+00 2.54011840530402496e-08 1.09179353588796985e-09
1.96984924623115587e+00 8.40172544728807585e-09 7.67769117825201482e-10
1.98994974874371855e+00 2.31850140308821032e-08 -6.70750649376051031e-10
2.01005025125628123e+00 3.05721499364412207e-08 8.91563883841354062e-09
2.03015075376884413e+00 1.74311274139542590e-08 1.36643564078366366e-08
2.05025125628140703e+00 1.13211278752987908e-08 1.28231218745808796e-08
2.07035175879396993e+00 1.66477171525641371e-08 1.34081444454026035e-08
2.09045226130653283e+00 1.63421557220066208e-08 1.76085649264071796e-08
2.11055276381909529e+00 2.10608623710157187e-08 2.30851332862078245e-08
2.13065326633165819e+00 1.14660583381863135e-08 3.16119186755545408e-08
2.15075376884422109e+00 1.20172479888541968e-08 3.72420365127182364e-08
2.17085427135678399e+00 2.10776863161534339e-08 5.22608537596115602e-08
2.19095477386934689e+00 -4.12590961959939444e-08 5.90592307352882317e-08
2.21105527638190935e+00 2.90866550702569660e-08 4.09519276490166569e-08
2.23115577889447225e+00 -6.75348248412185945e-08 8.41289952825996589e-08
2.25125628140703515e+00 -6.32467215554451019e-08 -3.93356615008038428e-09
2.27135678391959805e+00 6.90718464919791112e-08 3.28977481623826815e-08
2.29145728643216096e+00 -2.33672230316753096e-07 1.03521189086668879e-08
2.31155778894472341e+00 -4.57520724530342035e-08 -1.27475310272880169e-07
2.33165829145728631e+00 8.65411025553777122e-08 -6.68203580712845066e-08
2.35175879396984921e+00 7.91705523628810419e-08 -3.45520113570420534e-08
2.37185929648241212e+00 6.79225909479880916e-08 3.86506898583150125e-08
2.39195979899497502e+00 6.00452434428982955e-08 7.85044252978108079e-08
2.41206030150753747e+00 3.22059771777355570e-07 1.45253949044648839e-07
2.43216080402010038e+00 2.18070978183566791e-09 3.30280328996659983e-07
2.45226130653266328e+00 -9.22235160465539469e-07 -5.92751997047155504e-08
2.47236180904522618e+00 8.59060390018333210e-08 -2.80493390581211411e-07
2.49246231155778908e+00 1.46905830490427839e-07 -1.53547891365410934e-07
2.51256281407035198e+00 1.85359532274037191e-07 -1.26456247719731175e-07
2.53266331658291444e+00 1.52405093838910206e-07 1.07348194653476755e-08
2.55276381909547734e+00 -1.62512543801577133e-08 2.86476786623905672e-08
2.57286432160804024e+00 -4.04239753008003921e-08 1.27108510135980098e-08
2.59296482412060314e+00 5.73770163304003699e-09 -4.76210704080022802e-09
2.61306532663316604e+00 4.97183758289472116e-08 2.00120956166217525e-08
2.63316582914572850e+00 -1.21971188419179679e-08 3.45063588061638124e-08
2.65326633165829140e+00 -5.28223556523693561e-08 1.43494843338064122e-08
2.67336683417085430e+00 -8.70773099785902156e-08 -1.67519399135329916e-08
2.69346733668341720e+00 3.41561587905853579e-09 -5.68810833720039614e-08
2.71356783919598010e+00 5.42933727441273658e-08 -4.29815337568766007e-08
2.73366834170854256e+00 -1.06221244587480725e-07 -5.19432928852846221e-08
2.75376884422110546e+00 -4.11770203700409250e-07 -1.68623852539866250e-07
2.77386934673366836e+00 1.15214887966237062e-07 -2.29387709566071211e-07
2.79396984924623126e+00 1.25234367206621731e-06 3.94776482867298994e-07
2.81407035175879416e+00 1.33298156663440209e-06 1.20628282228277638e-06
2.83417085427135662e+00 3.04388005492487025e-06 1.77612046646512733e-06
2.85427135678391952e+00 -1.49025360232293368e-07 3.58588178883524844e-06
2.87437185929648242e+00 -9.88912548799667542e-06 5.70136431667048153e-07
2.89447236180904532e+00 4.98601596900795449e-07 -3.25694805125334928e-06
2.91457286432160823e+00 3.43048727124136512e-06 -1.91681530059130611e-06
2.93467336683417068e+00 7.51417286615154650e-07 -6.17714664209789277e-07
2.95477386934673358e+00 -3.66501199909394439e-07 -5.70144607139622560e-07
2.97487437185929648e+00 -2.68822537356441720e-07 -6.56592141389047595e-07
2.99497487437185939e+00 -1.79079219811289693e-06 -6.34248846667956260e-07
3.01507537688442229e+00 1.51589810259835261e-06 -1.60787491724622873e-06
3.03517587939698474e+00 3.83723004784896473e-06 1.23139496844838847e-06
3.05527638190954764e+00 -2.08436863117697920e-06 1.14780158754380360e-06
3.07537688442211055e+00 -6.14750177929786825e-07 3.54109437980476326e-07
3.09547738693467345e+00 2.41133121360876463e-07 3.15527828672057463e-07
3.11557788944723635e+00 -1.25668124493947612e-06 -5.49435381393888143e-09
3.13567839195979881e+00 1.23104901163447446e-08 -6.34262978652444776e-07
3.15577889447236171e+00 6.21383524215098347e-07 -3.52087720493712065e-07
3.17587939698492461e+00 1.98092654914590774e-07 -1.76711161273783867e-07
3.19597989949748751e+00 2.35677901880022934e-07 -1.18476840918897616e-07
3.21608040201005041e+00 2.47407061872892965e-07 1.04753778031379568e-08
3.23618090452261287e+00 -1.01634096930422824e-08 9.90547673604627697e-08
3.25628140703517577e+00 -6.40912359916928274e-08 6.78312984614203008e-08
3.27638190954773867e+00 4.40513158128527654e-08 -5.81986176700744710e-09
3.29648241206030157e+00 1.01586857168921722e-07 3.55472866229961133e-08
