# SHG sigma units=A/V^2 component=zyy
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 1.63045788252669214e-10 4.05658071997011713e-12
2.01005025125628144e-02 1.63093908826488815e-10 8.46997309043280533e-11
4.02010050251256287e-02 1.63184674092971452e-10 1.66275855250555397e-10
6.03015075376884396e-02 1.63318245758423395e-10 2.48824449604362146e-10
8.04020100502512575e-02 1.63494873184430759e-10 3.32385947486764198e-10
1.00502512562814075e-01 1.63714894751676462e-10 4.17001692564030189e-10
1.20603015075376879e-01 1.63978739734204880e-10 5.02713905056406623e-10
1.40703517587939697e-01 1.64286930713032409e-10 5.89565638357498144e-10
1.60804020100502515e-01 1.64640086550068177e-10 6.77600721620020945e-10
1.80904522613065333e-01 1.65038925956098261e-10 7.66863683337292681e-10
2.01005025125628151e-01 1.65484271697618405e-10 8.57399649995344678e-10
2.21105527638190968e-01 1.65977055489227796e-10 9.49254212599191263e-10
2.41206030150753759e-01 1.66518323625915348e-10 1.04247325225914670e-09
2.61306532663316604e-01 1.67109243433463619e-10 1.13710271390094159e-09
2.81407035175879394e-01 1.67751110605609090e-10 1.23318831442495562e-09
3.01507537688442184e-01 1.68445357528748917e-10 1.33077516811880354e-09
3.21608040201005030e-01 1.69193562703446659e-10 1.42990730749409055e-09
3.41708542713567820e-01 1.69997461381797396e-10 1.53062707172630515e-09
3.61809045226130666e-01 1.70858957578653090e-10 1.63297432695522494e-09
3.81909547738693456e-01 1.71780137619991303e-10 1.73698547224257608e-09
4.02010050251256301e-01 1.72763285433494711e-10 1.84269217106819118e-09
4.22110552763819091e-01 1.73810899813780442e-10 1.95011972953002422e-09
4.42211055276381937e-01 1.74925713937173414e-10 2.05928501711146294e-09
4.62311557788944727e-01 1.76110717448482743e-10 2.17019379129532685e-09
4.82412060301507517e-01 1.77369181496607409e-10 2.28283723956664799e-09
5.02512562814070307e-01 1.78704687175560902e-10 2.39718748583002563e-09
5.22613065326633208e-01 1.80121157888192301e-10 2.51319171435585334e-09
5.42713567839195998e-01 1.81622896285539290e-10 2.63076443028166555e-09
5.62814070351758788e-01 1.83214626521084470e-10 2.74977718147584390e-09
5.82914572864321578e-01 1.84901542745636683e-10 2.87004478124588697e-09
6.03015075376884369e-01 1.86689364938105712e-10 2.99130664513643634e-09
6.23115577889447270e-01 1.88584403414576769e-10 3.11320120731224966e-09
6.43216080402010060e-01 1.90593633663704812e-10 3.23523037803111559e-09
6.63316582914572850e-01 1.92724783531182311e-10 3.35670941402731135e-09
6.83417085427135640e-01 1.94986435296335910e-10 3.47669499607793663e-09
7.03517587939698541e-01 1.97388145840373767e-10 3.59388001669458057e-09
7.23618090452261331e-01 1.99940589010025669e-10 3.70643622250666826e-09
7.43718592964824121e-01 2.02655725548820981e-10 3.81177281444436354e-09
7.63819095477386911e-01 2.05547007802216135e-10 3.90615512406831399e-09
7.83919597989949701e-01 2.08629629206214854e-10 3.98408151803738527e-09
8.04020100502512602e-01 2.11920833160593070e-10 4.03722453282877236e-09
8.24120603015075393e-01 2.15440303921619883e-10 4.05254874160455193e-09
8.44221105527638183e-01 2.19210677561867092e-10 4.00879573929626627e-09
8.64321608040200973e-01 2.23259122241594522e-10 3.86961443797026066e-09
8.84422110552763874e-01 2.28397871580666288e-10 3.57017929821388540e-09
9.04522613065326664e-01 3.34294439210298392e-10 3.00057051495435455e-09
9.24623115577889454e-01 2.35715355298186593e-09 2.15868803656060749e-09
9.44723618090452244e-01 8.99407757219242376e-09 2.92593217857383458e-09
9.64824120603015034e-01 1.22475803633525158e-08 6.46691938997223425e-09
9.84924623115577935e-01 1.13261017034951054e-08 9.77136167228413213e-09
1.00502512562814061e+00 9.65005406832063468e-09 1.24742378769767308e-08
1.02512562814070352e+00 7.59129890797966671e-09 1.46559757464938944e-08
1.04522613065326642e+00 5.23574087826146172e-09 1.63488393558110503e-08
1.06532663316582910e+00 2.45898343512749109e-09 1.75512307904680242e-08
1.08542713567839200e+00 -6.78175706628378370e-10 1.79662816110391395e-08
1.10552763819095468e+00 -2.61822993945307077e-09 1.77737616875062535e-08
1.12562814070351758e+00 -3.61683455228375387e-09 1.77244095438342299e-08
1.14572864321608048e+00 -4.40411118410940546e-09 1.78699561932406405e-08
1.16582914572864316e+00 -5.24968003321335674e-09 1.84500039164633784e-08
1.18592964824120606e+00 -5.66973713276921431e-09 1.90807112084696060e-08
1.20603015075376874e+00 -7.30251774117274068e-09 2.04716294174217312e-08
1.22613065326633164e+00 -1.04206233259326484e-08 2.23565002774974886e-08
1.24623115577889454e+00 -1.90268878427511785e-08 2.29227133417007546e-08
1.26633165829145722e+00 -3.06844793108326126e-08 2.13558214400720389e-08
1.28643216080402012e+00 -4.72879629924733623e-08 1.44333757213090708e-08
1.30653266331658302e+00 -6.43258378456357208e-08 1.86170550103321930e-09
1.32663316582914570e+00 -8.27681995173541164e-08 -2.03063041024038358e-08
1.34673366834170860e+00 -9.88227333827125492e-08 -5.31270420330662836e-08
1.36683417085427128e+00 -6.97663289270733814e-08 -1.01181244745712305e-07
1.38693467336683418e+00 1.57155488921365915e-07 -1.11218627520625289e-07
1.40703517587939708e+00 2.42037723219785317e-07 7.64245010266286918e-09
1.42713567839195976e+00 3.91992063688597523e-08 4.55822733975727099e-08
1.44723618090452266e+00 3.65798410903392729e-08 1.06471293025462662e-08
1.46733668341708534e+00 1.33741656385540073e-07 3.54293629963916122e-08
1.48743718592964824e+00 9.91713068473042824e-08 7.95924202335809063e-08
1.50753768844221114e+00 5.82784203861163582e-08 9.22685985076243586e-08
1.52763819095477382e+00 2.18867288850445652e-08 1.08318600260622360e-07
1.54773869346733672e+00 -5.49076378566136223e-08 9.63191356405620659e-08
1.56783919597989940e+00 -6.12422377430316475e-08 6.38318959167515029e-08
1.58793969849246230e+00 -1.58396806889435074e-10 5.04550141156867561e-08
1.60804020100502520e+00 2.78726098778976122e-08 7.43299418488292284e-08
1.62814070351758788e+00 -2.90148598102154196e-08 8.42859066952797364e-08
1.64824120603015079e+00 -5.72958728963360927e-08 6.49894905880599867e-08
1.66834170854271346e+00 5.09952552619143279e-09 5.39796498861093051e-08
1.68844221105527637e+00 1.18734605917259000e-07 9.48920848933035520e-08
1.70854271356783927e+00 6.76428182926224280e-08 1.70578423112108284e-07
1.72864321608040195e+00 -3.21604638589867230e-08 2.03202491070262127e-07
1.74874371859296485e+00 -2.30842127177426040e-07 2.05777911223262664e-07
1.76884422110552775e+00 -3.56445167162008111e-07 1.00165527622360214e-07
1.78894472361809043e+00 -2.61370792776599542e-07 2.14949335526563874e-08
1.80904522613065333e+00 -1.69908971191680529e-07 -9.82819329362841052e-09
1.82914572864321601e+00 -9.77766131547057520e-08 6.57261695200376713e-10
1.84924623115577891e+00 -1.04197134200367298e-07 1.89122673112321383e-08
1.86934673366834181e+00 -1.21957350922979493e-07 3.10117257947486690e-08
1.88944723618090449e+00 -1.81383312718544081e-07 3.03349547541573382e-08
