# SHG sigma units=A/V^2 component=zyz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -1.09352039101573178e-11 -2.58672831441947534e-11
2.01005025125628144e-02 -1.09421280404797800e-11 6.06955392050469125e-07
4.02010050251256287e-02 -1.09547073368679423e-11 1.21442401266163611e-06
6.03015075376884396e-02 -1.09729748446492629e-11 1.82287044687294717e-06
8.04020100502512575e-02 -1.09969797327755492e-11 2.43278790659323709e-06
1.00502512562814075e-01 -1.10267875169757607e-11 3.04467376548653177e-06
1.20603015075376879e-01 -1.10624805362634468e-11 3.65903098897797259e-06
1.40703517587939697e-01 -1.11041584668486744e-11 4.27636960190560146e-06
1.60804020100502515e-01 -1.11519389757105615e-11 4.89720820410512865e-06
1.80904522613065333e-01 -1.12059585276984037e-11 5.52207554483019250e-06
2.01005025125628151e-01 -1.12663732603696497e-11 6.15151216767734607e-06
2.21105527638190968e-01 -1.13333601301810181e-11 6.78607213861797456e-06
2.41206030150753759e-01 -1.14071181217298874e-11 7.42632487086014518e-06
2.61306532663316604e-01 -1.14878696605389614e-11 8.07285706159690774e-06
2.81407035175879394e-01 -1.15758622812605040e-11 8.72627475727311689e-06
3.01507537688442184e-01 -1.16713704245179076e-11 9.38720556585971415e-06
3.21608040201005030e-01 -1.17746976241768084e-11 1.00563010368052570e-05
3.41708542713567820e-01 -1.18861788180080708e-11 1.07342392318952776e-05
3.61809045226130666e-01 -1.20061831129361478e-11 1.14217275132565210e-05
3.81909547738693456e-01 -1.21351168629742599e-11 1.21195055782748040e-05
4.02010050251256301e-01 -1.22734271353366542e-11 1.28283487753514950e-05
4.22110552763819091e-01 -1.24216057262041952e-11 1.35490717393220856e-05
4.42211055276381937e-01 -1.25801936511284913e-11 1.42825323911491086e-05
4.62311557788944727e-01 -1.27497863411656002e-11 1.50296363533595851e-05
4.82412060301507517e-01 -1.29310395387358421e-11 1.57913418408477005e-05
5.02512562814070307e-01 -1.31246760357030962e-11 1.65686650963826360e-05
5.22613065326633208e-01 -1.33314935011301438e-11 1.73626864517928837e-05
5.42713567839195998e-01 -1.35523733991689188e-11 1.81745571097748155e-05
5.62814070351758788e-01 -1.37882913813800360e-11 1.90055067581365101e-05
5.82914572864321578e-01 -1.40403292828459400e-11 1.98568521487272439e-05
6.03015075376884369e-01 -1.43096892159987475e-11 2.07300067981949582e-05
6.23115577889447270e-01 -1.45977099226218513e-11 2.16264919981813476e-05
6.43216080402010060e-01 -1.49058860567958495e-11 2.25479493600576212e-05
6.63316582914572850e-01 -1.52358910588995023e-11 2.34961551657031182e-05
6.83417085427135640e-01 -1.55896040462924445e-11 2.44730368535927019e-05
7.03517587939698541e-01 -1.59691421551605617e-11 2.54806920418185109e-05
7.23618090452261331e-01 -1.63768990496502230e-11 2.65214105808991362e-05
7.43718592964824121e-01 -1.68155911783348902e-11 2.75977002449971226e-05
7.63819095477386911e-01 -1.72883133988163415e-11 2.87123168180048469e-05
7.83919597989949701e-01 -1.77986053164498423e-11 2.98682995208143899e-05
8.04020100502512602e-01 -1.83505293114994182e-11 3.10690129708023397e-05
8.24120603015075393e-01 -1.89487584409433502e-11 3.23181971798369025e-05
8.44221105527638183e-01 -1.95986649339630121e-11 3.36200274997746471e-05
8.64321608040200973e-01 -2.03062890550617675e-11 3.49791869295256627e-05
8.84422110552763874e-01 -2.09960693477630284e-11 3.64009538638961644e-05
9.04522613065326664e-01 -1.10044023435860100e-11 3.78913102016596135e-05
9.24623115577889454e-01 2.09968782365117788e-10 3.94570948905194585e-05
9.44723618090452244e-01 9.85012489424036849e-10 4.11063757242123719e-05
9.64824120603015034e-01 1.49201976191992130e-09 4.28484289909619964e-05
9.84924623115577935e-01 1.61064582605638939e-09 4.46936024845289689e-05
1.00502512562814061e+00 1.76003383551665245e-09 4.66544674906530589e-05
1.02512562814070352e+00 2.02004353529174879e-09 4.87461504647716953e-05
1.04522613065326642e+00 2.16276068718092841e-09 5.09870076291987304e-05
1.06532663316582910e+00 -2.01711744223880727e-09 5.33992663945064854e-05
1.08542713567839200e+00 -1.64416198235116234e-08 5.60065072614477635e-05
1.10552763819095468e+00 -2.48516407370040763e-08 5.88419605906727344e-05
1.12562814070351758e+00 -2.58821205111730893e-08 6.19584695024001251e-05
1.14572864321608048e+00 -2.64164767179730146e-08 6.54217853735552076e-05
1.16582914572864316e+00 -5.51889031398688012e-08 6.93250887943399138e-05
1.18592964824120606e+00 -4.36325527418872579e-07 7.37598049965493150e-05
1.20603015075376874e+00 -1.66851141786231661e-06 7.85666773179940830e-05
1.22613065326633164e+00 -3.64719228294863048e-06 8.35319042240509243e-05
1.24623115577889454e+00 -5.34985307569374830e-06 8.86309583086299975e-05
1.26633165829145722e+00 -6.57992478912458025e-06 9.45047081612256117e-05
