# SHG sigma units=A/V^2 component=zzz
# full-BZ normalized susceptibility/conductivity
# energy_eV total_re total_im
0.00000000000000000e+00 -9.69038913742267616e-14 2.65076098087981711e-21
2.01005025125628144e-02 -9.69134116463224599e-14 1.16696700910495405e-08
4.02010050251256287e-02 -9.69424386118050425e-14 2.33502224312525896e-08
6.03015075376884396e-02 -9.69923365463236456e-14 3.50525771813310171e-08
8.04020100502512575e-02 -9.70654011806394771e-14 4.67877306651309957e-08
1.00502512562814075e-01 -9.71648991432142968e-14 5.85667943074935912e-08
1.20603015075376879e-01 -9.72951190032990678e-14 7.04010346175212444e-08
1.40703517587939697e-01 -9.74614412592992182e-14 8.23019145960507426e-08
1.60804020100502515e-01 -9.76704277080211730e-14 9.42811369734848144e-08
1.80904522613065333e-01 -9.79299290843309465e-14 1.06350689719946341e-07
2.01005025125628151e-01 -9.82492219372628379e-14 1.18522894315365303e-07
2.21105527638190968e-01 -9.86391664219919228e-14 1.30810457324217062e-07
2.41206030150753759e-01 -9.91124031176079746e-14 1.43226525890340114e-07
2.61306532663316604e-01 -9.96835770759111800e-14 1.55784747854386858e-07
2.81407035175879394e-01 -1.00369617212444980e-13 1.68499337303622385e-07
3.01507537688442184e-01 -1.01190061803019713e-13 1.81385146495589693e-07
3.21608040201005030e-01 -1.02167442765973098e-13 1.94457745259681754e-07
3.41708542713567820e-01 -1.03327753804197277e-13 2.07733509181811696e-07
3.61809045226130666e-01 -1.04701003934071392e-13 2.21229718127407347e-07
3.81909547738693456e-01 -1.06321882445340302e-13 2.34964666970785062e-07
4.02010050251256301e-01 -1.08230565304024950e-13 2.48957790792738034e-07
4.22110552763819091e-01 -1.10473684663370176e-13 2.63229807307822728e-07
4.42211055276381937e-01 -1.13105513727606932e-13 2.77802879921962197e-07
4.62311557788944727e-01 -1.16189415788724608e-13 2.92700805646330796e-07
4.82412060301507517e-01 -1.19799628777730894e-13 3.07949233169852365e-07
5.02512562814070307e-01 -1.24023476869985332e-13 3.23575917812079923e-07
5.22613065326633208e-01 -1.28964136902877787e-13 3.39611021972664404e-07
5.42713567839195998e-01 -1.34744119349432172e-13 3.56087472254975389e-07
5.62814070351758788e-01 -1.41509697335525129e-13 3.73041387954603709e-07
5.82914572864321578e-01 -1.49436595951875066e-13 3.90512600497286349e-07
6.03015075376884369e-01 -1.58737375045551088e-13 4.08545290345210028e-07
6.23115577889447270e-01 -1.69671140754585537e-13 4.27188777901976705e-07
6.43216080402010060e-01 -1.82556490780483273e-13 4.46498519700550149e-07
6.63316582914572850e-01 -1.97789037997401901e-13 4.66537383402243695e-07
6.83417085427135640e-01 -2.15865551656429226e-13 4.87377309526327579e-07
7.03517587939698541e-01 -2.37417880353058992e-13 5.09101522514956051e-07
7.23618090452261331e-01 -2.63261696610264845e-13 5.31807543456172959e-07
7.43718592964824121e-01 -2.94468399322269822e-13 5.55611409226883081e-07
7.63819095477386911e-01 -3.32474378496990502e-13 5.80653772182658128e-07
7.83919597989949701e-01 -3.79252973178184709e-13 6.07109051768211860e-07
8.04020100502512602e-01 -4.37596305412502916e-13 6.35199772454381074e-07
8.24120603015075393e-01 -5.11599444757930727e-13 6.65220183435956263e-07
8.44221105527638183e-01 -6.07537847918501695e-13 6.97577427758262161e-07
8.64321608040200973e-01 -7.42550361957071653e-13 7.32867430649269196e-07
8.84422110552763874e-01 -7.18806068813182741e-12 7.72017404598717940e-07
9.04522613065326664e-01 -8.25873347906095466e-10 8.16480101265297560e-07
9.24623115577889454e-01 -1.74854783181931222e-08 8.67082221665257575e-07
9.44723618090452244e-01 -7.53809465368848136e-08 9.09283400177682259e-07
9.64824120603015034e-01 -1.13389247374600526e-07 9.31735424846208441e-07
9.84924623115577935e-01 -1.21584580462093979e-07 9.57733230459257245e-07
1.00502512562814061e+00 -1.26909413965716164e-07 9.90860378372019797e-07
1.02512562814070352e+00 -1.32367406825023723e-07 1.03115910106154494e-06
1.04522613065326642e+00 -1.39152612240509656e-07 1.08003896168922819e-06
