# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.20254474624904e+07 0.00000000000000e+00 2.07309127771715e+03 0.00000000000000e+00 -1.11818537096233e+03 0.00000000000000e+00 2.07309127771715e+03 0.00000000000000e+00 1.20407916254524e+07 0.00000000000000e+00 9.59952663156511e+03 0.00000000000000e+00 -1.11818537096233e+03 0.00000000000000e+00 9.59952663156511e+03 0.00000000000000e+00 1.19664824088299e+07 0.00000000000000e+00
2.00000000000000e-02 1.03667650538710e+07 4.14670602154840e+06 1.78714765320574e+03 7.14859061281894e+02 -9.63952906001751e+02 -3.85581162401060e+02 1.78714765320574e+03 7.14859061281894e+02 1.03799927805624e+07 4.15199711222495e+06 8.27545399272765e+03 3.31018159709158e+03 -9.63952906001751e+02 -3.85581162401060e+02 8.27545399272765e+03 3.31018159709158e+03 1.03159331110602e+07 4.12637324442410e+06
4.00000000000000e-02 7.33258991615266e+06 5.86607193292213e+06 1.26408004738928e+03 1.01126403791117e+03 -6.81820348148433e+02 -5.45456278518145e+02 1.26408004738928e+03 1.01126403791117e+03 7.34194611308071e+06 5.87355689046457e+06 5.85336989729518e+03 4.68269591783650e+03 -6.81820348148433e+02 -5.45456278518145e+02 5.85336989729518e+03 4.68269591783650e+03 7.29663561514017e+06 5.83730849211214e+06
6.00000000000000e-02 4.92846207479113e+06 5.91415448974936e+06 8.49627572835264e+02 1.01955308740211e+03 -4.58272693017482e+02 -5.49927231621310e+02 8.49627572835264e+02 1.01955308740211e+03 4.93475066616900e+06 5.92170079940280e+06 3.93423222605129e+03 4.72107867126145e+03 -4.58272693017482e+02 -5.49927231621310e+02 3.93423222605129e+03 4.72107867126145e+03 4.90429606919257e+06 5.88515528303109e+06
8.00000000000000e-02 3.37793468047482e+06 5.40469548875972e+06 5.82329010595052e+02 9.31726416952026e+02 -3.14097014315521e+02 -5.02555222904414e+02 5.82329010595052e+02 9.31726416952026e+02 3.38224483861022e+06 5.41159174177635e+06 2.69649624482179e+03 4.31439399171473e+03 -3.14097014315521e+02 -5.02555222904414e+02 2.69649624482179e+03 4.31439399171473e+03 3.36137146315446e+06 5.37819434104714e+06
1.00000000000000e-01 2.40508949249807e+06 4.81017898499615e+06 4.14618255543350e+02 8.29236511086700e+02 -2.23637074192656e+02 -4.47274148385312e+02 4.14618255543350e+02 8.29236511086700e+02 2.40815832509047e+06 4.81631665018095e+06 1.91990532631297e+03 3.83981065262594e+03 -2.23637074192656e+02 -4.47274148385312e+02 1.91990532631297e+03 3.83981065262594e+03 2.39329648176598e+06 4.78659296353195e+06
1.20000000000000e-01 1.77891234652224e+06 4.26938963165339e+06 3.06670307354833e+02 7.36008737650802e+02 -1.65412037124648e+02 -3.96988889099085e+02 3.06670307354833e+02 7.36008737650802e+02 1.78118219311426e+06 4.27483726347421e+06 1.42004831827874e+03 3.40811596386924e+03 -1.65412037124648e+02 -3.96988889099085e+02 1.42004831827874e+03 3.40811596386924e+03 1.77018970544821e+06 4.24845529307570e+06
1.40000000000000e-01 1.36034473557583e+06 3.80896525961233e+06 2.34512587977082e+02 6.56635246336029e+02 -1.26491557801219e+02 -3.54176361843567e+02 2.34512587977082e+02 6.56635246336029e+02 1.36208050061678e+06 3.81382540172699e+06 1.08591930221323e+03 3.04057404619704e+03 -1.26491557801219e+02 -3.54176361843567e+02 1.08591930221323e+03 3.04057404619704e+03 1.35367448063686e+06 3.79028854578322e+06
1.60000000000000e-01 1.06987966748135e+06 3.42361493594032e+06 1.84438725775626e+02 5.90203922482068e+02 -9.94826842492350e+01 -3.18344589597934e+02 1.84438725775626e+02 5.90203922482068e+02 1.07124480653491e+06 3.42798338091171e+06 8.54050412061027e+02 2.73296131859489e+03 -9.94826842492350e+01 -3.18344589597934e+02 8.54050412061027e+02 2.73296131859489e+03 1.06463366626600e+06 3.40682773205121e+06
1.80000000000000e-01 8.61421738000743e+05 3.10111825680267e+06 1.48502240524201e+02 5.34608065886860e+02 -8.00992386077116e+01 -2.88357258987289e+02 1.48502240524201e+02 5.34608065886860e+02 8.62520890075384e+05 3.10507520427138e+06 6.87645174180882e+02 2.47552262705106e+03 -8.00992386077116e+01 -2.88357258987289e+02 6.87645174180882e+02 2.47552262705106e+03 8.57197880288673e+05 3.08591236903922e+06
2.00000000000000e-01 7.07379262499433e+05 2.82951704999773e+06 1.21946545748064e+02 4.87786182992254e+02 -6.57756100565981e+01 -2.63102440226393e+02 1.21946545748064e+02 4.87786182992254e+02 7.08281860320728e+05 2.83312744128291e+06 5.64678037150836e+02 2.25871214860335e+03 -6.57756100565981e+01 -2.63102440226393e+02 5.64678037150836e+02 2.25871214860335e+03 7.03910729931170e+05 2.81564291972468e+06
2.20000000000000e-01 5.90640838039802e+05 2.59881968737513e+06 1.01821771990051e+02 4.48015796756207e+02 -5.49206960197630e+01 -2.41651062486804e+02 1.01821771990051e+02 4.48015796756207e+02 5.91394480621432e+05 2.60213571473430e+06 4.71489520214332e+02 2.07455388894329e+03 -5.49206960197630e+01 -2.41651062486804e+02 4.71489520214332e+02 2.07455388894329e+03 5.87744715561389e+05 2.58607674847011e+06
2.40000000000000e-01 5.00226599937204e+05 2.40108767969858e+06 8.62350781080759e+01 4.13928374918659e+02 -4.65135345658685e+01 -2.23264965916215e+02 8.62350781080759e+01 4.13928374918659e+02 5.00864876266738e+05 2.40415140608034e+06 3.99314751728968e+02 1.91671080829911e+03 -4.65135345658685e+01 -2.23264965916215e+02 3.99314751728968e+02 1.91671080829911e+03 4.97773810683440e+05 2.38931429128051e+06
2.60000000000000e-01 4.28867598519628e+05 2.23011151230206e+06 7.39333551254755e+01 3.84453446652422e+02 -3.98782229301995e+01 -2.07366759236841e+02 7.39333551254755e+01 3.84453446652422e+02 4.29414822591026e+05 2.23295707747333e+06 3.42351163750519e+02 1.78022605150281e+03 -3.98782229301995e+01 -2.07366759236841e+02 3.42351163750519e+02 1.78022605150281e+03 4.26764707875531e+05 2.21917648095276e+06
2.80000000000000e-01 3.71614569298219e+05 2.08104158807003e+06 6.40633892990424e+01 3.58754980074655e+02 -3.45545541088487e+01 -1.93505503009766e+02 6.40633892990424e+01 3.58754980074655e+02 3.72088739970716e+05 2.08369694383601e+06 2.96647918157146e+02 1.66122834167999e+03 -3.45545541088487e+01 -1.93505503009766e+02 2.96647918157146e+02 1.66122834167999e+03 3.69792410656053e+05 2.07083749967390e+06
