# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.59304298743044e+05 0.00000000000000e+00 -8.30221155923211e+02 0.00000000000000e+00 -2.28035413190482e+03 0.00000000000000e+00 -8.30221155923282e+02 0.00000000000000e+00 1.59369117506924e+05 0.00000000000000e+00 -1.96195129650161e+03 0.00000000000000e+00 -2.28035413190485e+03 0.00000000000000e+00 -1.96195129650156e+03 0.00000000000000e+00 1.91439033736215e+05 0.00000000000000e+00
2.00000000000000e-02 1.68020053510889e+05 -3.85439911299376e+04 -9.07146688886412e+02 6.98664155434805e+01 -2.46582081419814e+03 4.36941856766468e+02 -9.07146688886487e+02 6.98664155434978e+01 1.68089871726802e+05 -3.85534966658909e+04 -2.14087227742238e+03 2.42462165711465e+02 -2.46582081419815e+03 4.36941856766473e+02 -2.14087227742232e+03 2.42462165711460e+02 2.02357064895552e+05 -4.16080310591256e+04
4.00000000000000e-02 1.93789157791420e+05 -6.83623137808669e+04 -1.12223309319391e+03 2.63887255922510e+01 -3.05526015955625e+03 7.13056219356554e+02 -1.12223309319400e+03 2.63887255922848e+01 1.93872228465085e+05 -6.83769408056213e+04 -2.67098735467504e+03 2.57431031481489e+02 -3.05526015955626e+03 7.13056219356561e+02 -2.67098735467497e+03 2.57431031481477e+02 2.34074158446853e+05 -7.14691476873781e+04
6.00000000000000e-02 2.29580921410701e+05 -7.75785548036517e+04 -1.35891035146877e+03 -2.61821769187720e+02 -4.01100544336843e+03 4.67984053108479e+02 -1.35891035146887e+03 -2.61821769187682e+02 2.29681470233787e+05 -7.75954816476894e+04 -3.36737731874932e+03 -3.09554451978729e+02 -4.01100544336842e+03 4.67984053108493e+02 -3.36737731874926e+03 -3.09554451978741e+02 2.76482746145450e+05 -7.49684754459981e+04
8.00000000000000e-02 2.56954256913273e+05 -6.32793374781808e+04 -1.36472296638927e+03 -7.85274619458981e+02 -4.74775479269552e+03 -6.85575295969135e+02 -1.36472296638941e+03 -7.85274619458945e+02 2.57089347820971e+05 -6.32981669551219e+04 -3.54022249661027e+03 -1.60123538697737e+03 -4.74775479269553e+03 -6.85575295969103e+02 -3.54022249661020e+03 -1.60123538697740e+03 3.06023833159394e+05 -5.00962166362535e+04
1.00000000000000e-01 2.61860092285309e+05 -3.89916491011421e+04 -9.50613939051936e+02 -1.26455678647521e+03 -4.39792571275711e+03 -2.18776677619979e+03 -9.50613939052087e+02 -1.26455678647521e+03 2.62044423643300e+05 -3.89810832122847e+04 -2.58070145038031e+03 -2.76716522437254e+03 -4.39792571275712e+03 -2.18776677619974e+03 -2.58070145038023e+03 -2.76716522437256e+03 3.06198963014612e+05 -1.51790883660823e+04
1.20000000000000e-01 2.45335385596649e+05 -2.46067774777062e+04 -3.25080823631211e+02 -1.31824348642850e+03 -3.24714534690357e+03 -2.94410960627551e+03 -3.25080823631367e+02 -1.31824348642854e+03 2.45555129741273e+05 -2.45516327549340e+04 -1.21316365677240e+03 -2.88825463507043e+03 -3.24714534690360e+03 -2.94410960627546e+03 -1.21316365677231e+03 -2.88825463507045e+03 2.80360754528794e+05 4.39962193865473e+03
1.40000000000000e-01 2.23924604233409e+05 -2.98334470113706e+04 7.46927330700742e+01 -1.01032916837490e+03 -2.23709575890843e+03 -2.86488423601811e+03 7.46927330699580e+01 -1.01032916837494e+03 2.24204071855823e+05 -2.97164131558752e+04 -3.45668011508369e+02 -2.25483427118554e+03 -2.23709575890846e+03 -2.86488423601805e+03 -3.45668011508262e+02 -2.25483427118557e+03 2.51277303129555e+05 -1.36668580701863e+03
1.60000000000000e-01 2.11574238045829e+05 -4.86184886855206e+04 1.55091014964819e+02 -6.90109855270712e+02 -1.72951205242325e+03 -2.49878643642767e+03 1.55091014964719e+02 -6.90109855270778e+02 2.11926079413686e+05 -4.83378286126078e+04 -1.82647870747621e+02 -1.54078169489033e+03 -1.72951205242331e+03 -2.49878643642761e+03 -1.82647870747519e+02 -1.54078169489035e+03 2.34911784609214e+05 -2.22505157787764e+04
1.80000000000000e-01 2.12820717201794e+05 -6.88066892486871e+04 1.13997254886712e+02 -5.26772139683552e+02 -1.56177854143457e+03 -2.25858276737046e+03 1.13997254886640e+02 -5.26772139683605e+02 2.13068310208313e+05 -6.81989898488743e+04 -3.77055414883997e+02 -1.19506494009869e+03 -1.56177854143465e+03 -2.25858276737040e+03 -3.77055414883858e+02 -1.19506494009872e+03 2.34684677385208e+05 -4.33400088857129e+04
