# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.21847517612334e+07 0.00000000000000e+00 -5.75220240505751e+04 0.00000000000000e+00 -4.13787294520626e+03 0.00000000000000e+00 6.00077642941657e+04 0.00000000000000e+00 1.22001607429593e+07 0.00000000000000e+00 8.56528159029157e+03 0.00000000000000e+00 -2.65920606052820e+03 0.00000000000000e+00 6.70986907983674e+03 0.00000000000000e+00 1.21579214425661e+07 0.00000000000000e+00
2.00000000000000e-02 1.05347851073819e+07 4.10816203041846e+06 -5.82858723534567e+04 1.51701981765315e+03 -4.17521749705049e+03 -1.13868373758297e+02 6.00458742820951e+04 5.24311359978693e+01 1.05480826522892e+07 4.11344361555906e+06 7.06559526174333e+03 3.76722124308607e+03 -2.68432994335028e+03 2.16589762489468e+02 5.20356816886925e+03 3.33806628251952e+03 1.05182901759558e+07 4.08476521336497e+06
4.00000000000000e-02 7.52637907394408e+06 5.79770961914126e+06 -6.05377709810876e+04 2.43163183448538e+03 -4.47011159674290e+03 -2.16442184291829e+02 6.08214648894777e+04 -3.56326307477805e+02 7.53581834154580e+06 5.80517994965895e+06 4.08746452376447e+03 5.42998080540200e+03 -3.00404941866599e+03 5.51642065967822e+02 2.27730056147701e+03 4.45027309323355e+03 7.53070977358703e+06 5.76583934442476e+06
6.00000000000000e-02 5.15804299620183e+06 5.83657593494571e+06 -6.41925517830604e+04 1.74241256972969e+03 -5.08786024561926e+03 -7.51317467416566e+02 6.31739862257935e+04 -2.26949933300224e+02 5.16443213640279e+06 5.84410531775511e+06 1.31711147306169e+03 5.24728579372478e+03 -3.85069602715282e+03 5.87431110390512e+02 -1.83401658457829e+02 3.57576264484100e+03 5.18077881533803e+06 5.81018680758509e+06
8.00000000000000e-02 3.63488893738810e+06 5.34141615128153e+06 -6.76852992081304e+04 -1.71787304479594e+03 -5.35397550690009e+03 -2.10750435503652e+03 6.61205112965421e+04 2.01077663978257e+03 3.63933418643119e+06 5.34829357482122e+06 -4.94741002995721e+02 3.83680987597257e+03 -4.76972810712142e+03 -2.68756682710466e+02 -1.19271150058066e+03 1.58950733350217e+03 3.66739529631386e+06 5.32809812441088e+06
1.00000000000000e-01 2.66694958478338e+06 4.77118733589500e+06 -6.88492615715839e+04 -6.78099256551634e+03 -4.45093450178446e+03 -3.53329909924631e+03 6.77772702045671e+04 5.91035201474034e+03 2.67020274873377e+06 4.77733556696866e+06 -8.56545801447500e+02 2.16626876027519e+03 -4.79219107211494e+03 -1.73678274992384e+03 -4.65046446687039e+02 -2.09779037684735e+01 2.69949544478059e+06 4.77141387516587e+06
1.20000000000000e-01 2.02424773211889e+06 4.24478285417568e+06 -6.78145323016047e+04 -1.11369806229912e+04 -2.94349370988135e+03 -3.95667217448215e+03 6.77777112690515e+04 9.97251112543650e+03 2.02673732285553e+06 4.25028563071928e+06 -3.43028842731788e+02 1.29371744336526e+03 -3.88162105817499e+03 -2.72552481626757e+03 7.56798165745023e+02 -2.53994785767862e+02 2.05055045997700e+06 4.25285491501435e+06
1.40000000000000e-01 1.58426933980924e+06 3.77913181260096e+06 -6.64954427864174e+04 -1.40309374972676e+04 -1.82678906930884e+03 -3.53490940090565e+03 6.71138534285115e+04 1.33235496531895e+04 1.58628457247261e+06 3.78410898857112e+06 7.81958355876993e+01 1.21557690057180e+03 -2.90038556411029e+03 -2.90321179481646e+03 1.40230674582241e+03 3.55902649451323e+02 1.60495178376642e+06 3.78892185997620e+06
1.60000000000000e-01 1.28145390552718e+06 3.37499644725480e+06 -6.59870673194367e+04 -1.70517694693427e+04 -1.32991534684925e+03 -2.92355711233529e+03 6.66661268009173e+04 1.68519576037651e+04 1.28317088594860e+06 3.37964555229910e+06 2.07889593407197e+01 1.33711395130212e+03 -2.32807412649580e+03 -2.71070493971613e+03 1.32201612328640e+03 1.04724529610724e+03 1.29954545087522e+06 3.38457721627244e+06
1.80000000000000e-01 1.07424245520254e+06 3.03231156755399e+06 -6.47714268379347e+04 -2.16209840037422e+04 -1.20014528987766e+03 -2.49772184916383e+03 6.52964258287565e+04 2.16366558561489e+04 1.07558920028370e+06 3.03687621442251e+06 -2.44446110376044e+02 1.18550043355788e+03 -2.08361027020656e+03 -2.59615820355201e+03 8.65625628970089e+02 1.37541494034656e+03 1.09188255767388e+06 3.04257236015351e+06
2.00000000000000e-01 9.27611046655357e+05 2.74975226276609e+06 -6.04683966895803e+04 -2.63022248333971e+04 -1.14729551553315e+03 -2.26309071709889e+03 6.09287519405140e+04 2.63651625098616e+04 9.28257721928371e+05 2.75407093416943e+06 -3.16965573740253e+02 8.43505830987636e+02 -1.84455606020107e+03 -2.65498371669111e+03 4.17994444347295e+02 1.35085868871012e+03 9.44145403049008e+05 2.76283338111274e+06
2.20000000000000e-01 8.12326247965868e+05 2.51383526332330e+06 -5.40869505301984e+04 -2.73947153903956e+04 -1.14104109121925e+03 -2.11025232923198e+03 5.45476089204228e+04 2.75758383457910e+04 8.12601287607574e+05 2.51742768526730e+06 -2.19579495202479e+02 6.17541074842463e+02 -1.49481792618945e+03 -2.68123268650166e+03 1.22768301517296e+02 1.14596521153448e+03 8.25090828511211e+05 2.52875489487392e+06
2.40000000000000e-01 7.18738068923632e+05 2.30582642818223e+06 -4.99292646377670e+04 -2.50685300092899e+04 -1.13184589009632e+03 -2.09970277836065e+03 5.02521403589410e+04 2.53939359994178e+04 7.19093357906673e+05 2.30901076558396e+06 -1.47309141987544e+02 4.73301459404503e+02 -1.15578244233948e+03 -2.59306993334090e+03 -5.37153388526839e-01 9.02984513874949e+02 7.28497779818310e+05 2.31997142129734e+06
