# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 9.98872586114058e-10 0.00000000000000e+00 -6.20472296874334e+04 0.00000000000000e+00 1.10024390238133e+02 0.00000000000000e+00 6.20472296874341e+04 0.00000000000000e+00 1.13434699504821e-09 0.00000000000000e+00 -4.04421644180681e+01 0.00000000000000e+00 -1.10024390237616e+02 0.00000000000000e+00 4.04421644187420e+01 0.00000000000000e+00 8.78954136713549e-10 0.00000000000000e+00
2.00000000000000e-02 9.53167900671030e-10 1.89631529350268e-10 -6.16767975388047e+04 -1.21751791243577e+03 9.06664462035121e+01 5.38637863981103e+01 6.16767975388054e+04 1.21751791243595e+03 1.07909597512981e-09 2.05739502092512e-10 -3.10034177686065e+01 -2.22941191225255e+01 -9.06664462030265e+01 -5.38637863980057e+01 3.10034177692596e+01 2.22941191226245e+01 8.79785938955083e-10 1.16710544741758e-10
4.00000000000000e-02 8.30570133597593e-10 3.26585291335837e-10 -6.14685853027334e+04 -1.36705893168160e+03 5.04567813827717e+01 8.24237069796211e+01 6.14685853027340e+04 1.36705893168195e+03 9.38037511082479e-10 3.42788625743679e-10 -7.42081415826683e+00 -3.20945256520854e+01 -5.04567813823732e+01 -8.24237069794504e+01 7.42081415886049e+00 3.20945256522668e+01 8.55249016054388e-10 2.66785578363894e-10
6.00000000000000e-02 6.86882088511808e-10 3.81518559676487e-10 -6.29522982701234e+04 -1.41645894704645e+03 5.88384871056856e+00 9.23966776153566e+01 6.29522982701239e+04 1.41645894704690e+03 7.83606899005925e-10 3.85638979643266e-10 2.10309583516909e+01 -2.02860949594624e+01 -5.88384871026132e+00 -9.23966776151790e+01 -2.10309583511887e+01 2.02860949596822e+01 7.47217737462618e-10 4.24121500438949e-10
8.00000000000000e-02 5.67507996643613e-10 3.82194584713954e-10 -6.52876648640817e+04 -3.28662678716205e+03 -4.62824394940220e+01 7.45177164882181e+01 6.52876648640819e+04 3.28662678716249e+03 6.61752324334318e-10 3.72219230773813e-10 3.30641373571705e+01 2.00295280928814e+01 4.62824394942666e+01 -7.45177164880778e+01 -3.30641373567531e+01 -2.00295280926745e+01 5.67128262538494e-10 5.05896896872637e-10
1.00000000000000e-01 4.73454041640968e-10 3.57369476888513e-10 -6.66279965967922e+04 -6.68331981790288e+03 -6.73394788092244e+01 2.17192959924847e+01 6.66279965967923e+04 6.68331981790322e+03 5.72583623217933e-10 3.33769356523792e-10 -5.96531866881592e+00 5.94287980334594e+01 6.73394788094488e+01 -2.17192959923937e+01 5.96531866917814e+00 -5.94287980332866e+01 3.87955662736211e-10 4.94462712790767e-10
1.20000000000000e-01 4.01812493287324e-10 3.15214153834881e-10 -6.65757814422108e+04 -1.02757369181282e+04 -4.92158544071022e+01 -1.45370219349725e+01 6.65757814422109e+04 1.02757369181284e+04 5.11504475734231e-10 2.83409741746502e-10 -5.88030387818074e+01 4.23394712043250e+01 4.92158544073272e+01 1.45370219350287e+01 5.88030387821434e+01 -4.23394712041988e+01 2.53322666273342e-10 4.16877387579710e-10
1.40000000000000e-01 3.53262733811727e-10 2.61752641081057e-10 -6.59843824834272e+04 -1.33221043726316e+04 -3.35493936287703e+01 -2.97094018004586e+01 6.59843824834273e+04 1.33221043726317e+04 4.74268818070867e-10 2.28401363651407e-10 -7.40655008036106e+01 4.02576184946351e+00 3.35493936290051e+01 2.97094018004912e+01 7.40655008039474e+01 -4.02576184938077e+00 1.80041938770197e-10 3.15693276667693e-10
1.60000000000000e-01 3.32460306833158e-10 2.04576524197121e-10 -6.55269204220277e+04 -1.66155651942168e+04 -1.75620206629154e+01 -5.32494145920818e+01 6.55269204220278e+04 1.66155651942169e+04 4.61364593650211e-10 1.75139927641129e-10 -7.52319116596671e+01 -2.49109106132922e+01 1.75620206631678e+01 5.32494145921004e+01 7.52319116600150e+01 2.49109106133477e+01 1.54214860583710e-10 2.21215330466812e-10
1.80000000000000e-01 3.37027712577844e-10 1.59904661242306e-10 -6.41482317052206e+04 -2.09621659804085e+04 3.19597975034605e+01 -7.41093928633527e+01 6.41482317052206e+04 2.09621659804086e+04 4.67498989470330e-10 1.35109827093609e-10 -6.77535022015416e+01 -6.01613658455165e+01 -3.19597975031922e+01 7.41093928633657e+01 6.77535022019063e+01 6.01613658455570e+01 1.59531999512302e-10 1.45833512600043e-10
