# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.59304298743044e+05 0.00000000000000e+00 -8.30221155923270e+02 0.00000000000000e+00 -2.28035413190485e+03 0.00000000000000e+00 -8.30221155923270e+02 0.00000000000000e+00 1.59369117506925e+05 0.00000000000000e+00 -1.96195129650157e+03 0.00000000000000e+00 -2.28035413190485e+03 0.00000000000000e+00 -1.96195129650156e+03 0.00000000000000e+00 1.91439033736215e+05 0.00000000000000e+00
2.00000000000000e-02 1.68020053510889e+05 -3.85439911299376e+04 -9.07146688886472e+02 6.98664155434906e+01 -2.46582081419817e+03 4.36941856766472e+02 -9.07146688886474e+02 6.98664155434908e+01 1.68089871726802e+05 -3.85534966658910e+04 -2.14087227742233e+03 2.42462165711465e+02 -2.46582081419817e+03 4.36941856766472e+02 -2.14087227742233e+03 2.42462165711466e+02 2.02357064895552e+05 -4.16080310591256e+04
4.00000000000000e-02 1.93789157791420e+05 -6.83623137808669e+04 -1.12223309319399e+03 2.63887255922704e+01 -3.05526015955629e+03 7.13056219356561e+02 -1.12223309319399e+03 2.63887255922696e+01 1.93872228465085e+05 -6.83769408056213e+04 -2.67098735467497e+03 2.57431031481491e+02 -3.05526015955628e+03 7.13056219356561e+02 -2.67098735467497e+03 2.57431031481492e+02 2.34074158446853e+05 -7.14691476873781e+04
6.00000000000000e-02 2.29580921410701e+05 -7.75785548036517e+04 -1.35891035146885e+03 -2.61821769187700e+02 -4.01100544336845e+03 4.67984053108484e+02 -1.35891035146885e+03 -2.61821769187701e+02 2.29681470233787e+05 -7.75954816476894e+04 -3.36737731874926e+03 -3.09554451978723e+02 -4.01100544336845e+03 4.67984053108486e+02 -3.36737731874927e+03 -3.09554451978724e+02 2.76482746145450e+05 -7.49684754459982e+04
8.00000000000000e-02 2.56954256913273e+05 -6.32793374781808e+04 -1.36472296638937e+03 -7.85274619458966e+02 -4.74775479269553e+03 -6.85575295969128e+02 -1.36472296638937e+03 -7.85274619458967e+02 2.57089347820971e+05 -6.32981669551219e+04 -3.54022249661022e+03 -1.60123538697736e+03 -4.74775479269552e+03 -6.85575295969127e+02 -3.54022249661022e+03 -1.60123538697736e+03 3.06023833159394e+05 -5.00962166362536e+04
1.00000000000000e-01 2.61860092285308e+05 -3.89916491011421e+04 -9.50613939052041e+02 -1.26455678647522e+03 -4.39792571275714e+03 -2.18776677619977e+03 -9.50613939052039e+02 -1.26455678647522e+03 2.62044423643300e+05 -3.89810832122847e+04 -2.58070145038024e+03 -2.76716522437253e+03 -4.39792571275713e+03 -2.18776677619976e+03 -2.58070145038025e+03 -2.76716522437253e+03 3.06198963014612e+05 -1.51790883660824e+04
1.20000000000000e-01 2.45335385596649e+05 -2.46067774777062e+04 -3.25080823631313e+02 -1.31824348642854e+03 -3.24714534690361e+03 -2.94410960627547e+03 -3.25080823631313e+02 -1.31824348642854e+03 2.45555129741273e+05 -2.45516327549339e+04 -1.21316365677235e+03 -2.88825463507041e+03 -3.24714534690361e+03 -2.94410960627547e+03 -1.21316365677235e+03 -2.88825463507040e+03 2.80360754528794e+05 4.39962193865468e+03
1.40000000000000e-01 2.23924604233409e+05 -2.98334470113708e+04 7.46927330699928e+01 -1.01032916837494e+03 -2.23709575890847e+03 -2.86488423601808e+03 7.46927330699896e+01 -1.01032916837495e+03 2.24204071855823e+05 -2.97164131558752e+04 -3.45668011508307e+02 -2.25483427118551e+03 -2.23709575890847e+03 -2.86488423601807e+03 -3.45668011508307e+02 -2.25483427118552e+03 2.51277303129555e+05 -1.36668580701867e+03
1.60000000000000e-01 2.11574238045829e+05 -4.86184886855208e+04 1.55091014964756e+02 -6.90109855270765e+02 -1.72951205242331e+03 -2.49878643642765e+03 1.55091014964754e+02 -6.90109855270765e+02 2.11926079413687e+05 -4.83378286126077e+04 -1.82647870747557e+02 -1.54078169489031e+03 -1.72951205242331e+03 -2.49878643642765e+03 -1.82647870747562e+02 -1.54078169489031e+03 2.34911784609215e+05 -2.22505157787764e+04
1.80000000000000e-01 2.12820717201794e+05 -6.88066892486873e+04 1.13997254886667e+02 -5.26772139683611e+02 -1.56177854143463e+03 -2.25858276737043e+03 1.13997254886667e+02 -5.26772139683610e+02 2.13068310208313e+05 -6.81989898488741e+04 -3.77055414883924e+02 -1.19506494009868e+03 -1.56177854143463e+03 -2.25858276737043e+03 -3.77055414883924e+02 -1.19506494009867e+03 2.34684677385209e+05 -4.33400088857130e+04
