# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 -5.23955408049616e-11 0.00000000000000e+00 -6.20472296874337e+04 0.00000000000000e+00 1.10024390237858e+02 0.00000000000000e+00 6.20472296874336e+04 0.00000000000000e+00 1.65824470320510e-11 0.00000000000000e+00 -4.04421644182869e+01 0.00000000000000e+00 -1.10024390237877e+02 0.00000000000000e+00 4.04421644182481e+01 0.00000000000000e+00 -2.89510155299615e-11 0.00000000000000e+00
2.00000000000000e-02 -5.23481977478669e-11 -1.22944970113115e-13 -6.16767975388050e+04 -1.21751791243585e+03 9.06664462032596e+01 5.38637863980547e+01 6.16767975388049e+04 1.21751791243585e+03 1.66096255085805e-11 -6.35661567849776e-14 -3.10034177688125e+01 -2.22941191225441e+01 -9.06664462032807e+01 -5.38637863980546e+01 3.10034177687712e+01 2.22941191225441e+01 -2.89674058395353e-11 -1.85483178565999e-14
4.00000000000000e-02 -5.22344056306386e-11 -1.76384601268552e-13 -6.14685853027336e+04 -1.36705893168176e+03 5.04567813825753e+01 8.24237069795463e+01 6.14685853027335e+04 1.36705893168176e+03 1.66776956554973e-11 -9.80993384245713e-14 -7.42081415844140e+00 -3.20945256520975e+01 -5.04567813825996e+01 -8.24237069795469e+01 7.42081415840001e+00 3.20945256520978e+01 -2.89761311359345e-11 -7.80576514379582e-14
6.00000000000000e-02 -5.21316268185832e-11 -1.34967924830281e-13 -6.29522982701236e+04 -1.41645894704666e+03 5.88384871042023e+00 9.23966776153063e+01 6.29522982701235e+04 1.41645894704666e+03 1.67744238832324e-11 -9.01994897570065e-14 2.10309583515311e+01 -2.02860949594384e+01 -5.88384871044429e+00 -9.23966776153070e+01 -2.10309583515712e+01 2.02860949594392e+01 -2.89385670959807e-11 -1.50043812002102e-13
8.00000000000000e-02 -5.21051518186879e-11 -4.81882953348152e-14 -6.52876648640817e+04 -3.28662678716225e+03 -4.62824394941547e+01 7.45177164882094e+01 6.52876648640816e+04 3.28662678716225e+03 1.68724298296618e-11 -1.02492503704441e-14 3.30641373569963e+01 2.00295280929417e+01 4.62824394941317e+01 -7.45177164882099e+01 -3.30641373570339e+01 -2.00295280929410e+01 -2.88301910509260e-11 -2.04361074958344e-13
1.00000000000000e-01 -5.21528348338423e-11 1.77820936024453e-15 -6.66279965967922e+04 -6.68331981790303e+03 -6.73394788093737e+01 2.17192959925064e+01 6.66279965967921e+04 6.68331981790303e+03 1.69078905158255e-11 1.14927631892313e-13 -5.96531866902198e+00 5.94287980335355e+01 6.73394788093513e+01 -2.17192959925076e+01 5.96531866898257e+00 -5.94287980335347e+01 -2.86761574463965e-11 -1.37400387091045e-13
1.20000000000000e-01 -5.21897589076133e-11 -1.81729465046440e-14 -6.65757814422108e+04 -1.02757369181283e+04 -4.92158544072710e+01 -1.45370219349347e+01 6.65757814422108e+04 1.02757369181283e+04 1.69059479597347e-11 2.18047194402673e-13 -5.88030387820454e+01 4.23394712043974e+01 4.92158544072466e+01 1.45370219349351e+01 5.88030387820049e+01 -4.23394712043963e+01 -2.86179919528874e-11 3.32940673226755e-14
1.40000000000000e-01 -5.21784494591814e-11 -2.81072469902709e-14 -6.59843824834272e+04 -1.33221043726317e+04 -3.35493936289580e+01 -2.97094018004197e+01 6.59843824834272e+04 1.33221043726317e+04 1.69203271903472e-11 3.30843302843636e-13 -7.40655008038688e+01 4.02576184952562e+00 3.35493936289351e+01 2.97094018004186e+01 7.40655008038307e+01 -4.02576184952538e+00 -2.86633602735373e-11 1.94050381619683e-13
1.60000000000000e-01 -5.21951393153965e-11 1.72418046820863e-15 -6.55269204220277e+04 -1.66155651942169e+04 -1.75620206631189e+01 -5.32494145920404e+01 6.55269204220277e+04 1.66155651942169e+04 1.69092502289355e-11 5.07995373630449e-13 -7.52319116599335e+01 -2.49109106132399e+01 1.75620206630939e+01 5.32494145920406e+01 7.52319116598961e+01 2.49109106132405e+01 -2.87451002918869e-11 3.19578767736366e-13
1.80000000000000e-01 -5.22881707397868e-11 -1.98300322922321e-14 -6.41482317052206e+04 -2.09621659804086e+04 3.19597975032388e+01 -7.41093928633142e+01 6.41482317052205e+04 2.09621659804085e+04 1.67861499548054e-11 7.07609678964334e-13 -6.77535022018192e+01 -6.01613658454708e+01 -3.19597975032635e+01 7.41093928633138e+01 6.77535022017843e+01 6.01613658454714e+01 -2.88532236932114e-11 4.58866225646315e-13
2.00000000000000e-01 -5.23170933311273e-11 -2.16189611138829e-13 -6.01811367146997e+04 -2.51627580633830e+04 1.03870038551165e+02 -3.23220829251521e+01 6.01811367146996e+04 2.51627580633830e+04 1.65743001925593e-11 7.78736098724277e-13 -3.46874854388952e+01 -8.87595421771269e+01 -1.03870038551189e+02 3.23220829251516e+01 3.46874854388567e+01 8.87595421771279e+01 -2.90670798717355e-11 6.05646464894788e-13
2.20000000000000e-01 -5.20521966400758e-11 -3.62720213791704e-13 -5.44894917172516e+04 -2.62697174232674e+04 9.79723726779919e+01 6.48305164080938e+01 5.44894917172515e+04 2.62697174232674e+04 1.65169579966277e-11 7.17410549899677e-13 7.35909422869819e-01 -8.53266731987301e+01 -9.79723726780137e+01 -6.48305164080945e+01 -7.35909422909395e-01 8.53266731987306e+01 -2.93967139779591e-11 6.12237723219687e-13
2.40000000000000e-01 -5.17661057112209e-11 -1.79251114984844e-13 -5.07170718640073e+04 -2.43532756512632e+04 2.45335697511564e+01 9.78953533122316e+01 5.07170718640072e+04 2.43532756512632e+04 1.66482445273712e-11 8.36351817816633e-13 1.26506674212338e+01 -8.58121830251796e+01 -2.45335697511763e+01 -9.78953533122328e+01 -1.26506674212728e+01 8.58121830251797e+01 -2.96543848001266e-11 4.37983440799577e-13
2.60000000000000e-01 -5.17069382890813e-11 1.45260024185436e-13 -4.98042943044463e+04 -2.26420249747737e+04 -2.21484787776428e+01 7.63244753088699e+01 4.98042943044462e+04 2.26420249747737e+04 1.66926362387327e-11 1.24548269395294e-12 4.98344090702949e+01 -1.03264338277232e+02 2.21484787776186e+01 -7.63244753088710e+01 -4.98344090703345e+01 1.03264338277233e+02 -2.97811456489806e-11 2.18904528188662e-13
2.80000000000000e-01 -5.18570378545786e-11 4.43823458871763e-13 -4.95036753502833e+04 -2.28631518567537e+04 -3.76934326766045e+01 4.72545840141608e+01 4.95036753502833e+04 2.28631518567537e+04 1.64106041392318e-11 1.84037482285690e-12 1.18962930957471e+02 -7.26296070532504e+01 3.76934326765823e+01 -4.72545840141616e+01 -1.18962930957510e+02 7.26296070532506e+01 -2.98048158876686e-11 -7.31814278852828e-15
3.00000000000000e-01 -5.21726772951774e-11 5.97220005384175e-13 -4.77735149667798e+04 -2.35413894899993e+04 -3.10051646438351e+01 3.29960397643217e+01 4.77735149667797e+04 2.35413894899993e+04 1.56349102619004e-11 2.28372566277916e-12 1.29880095438035e+02 1.48614942647683e+01 3.10051646438123e+01 -3.29960397643230e+01 -1.29880095438074e+02 -1.48614942647680e+01 -2.96729565176290e-11 -1.77685594192039e-13
3.20000000000000e-01 -5.24956839193021e-11 5.16369008112621e-13 -4.58514412126421e+04 -2.26245397184730e+04 -3.99675552267421e+01 3.89279669788427e+01 4.58514412126420e+04 2.26245397184730e+04 1.47068888996560e-11 2.14108479118624e-12 7.83520119361218e+01 5.24532929745563e+01 3.99675552267212e+01 -3.89279669788442e+01 -7.83520119361608e+01 -5.24532929745563e+01 -2.94990820757367e-11 -1.18356202722100e-13
3.40000000000000e-01 -5.26629218572483e-11 3.09941469958580e-13 -4.56676447087286e+04 -2.13445688617788e+04 -6.28348763808550e+01 2.10505174047143e+01 4.56676447087286e+04 2.13445688617788e+04 1.41683278978734e-11 1.66732906809693e-12 5.60482101311261e+01 4.87729803751257e+01 6.28348763808303e+01 -2.10505174047157e+01 -5.60482101311679e+01 -4.87729803751257e+01 -2.95131738475337e-11 4.47219700686901e-14
