# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.20248586415183e+07 0.00000000000000e+00 -3.70831845011600e+01 0.00000000000000e+00 -5.22247740723398e+03 0.00000000000000e+00 -3.70831845011272e+01 0.00000000000000e+00 1.20365905225465e+07 0.00000000000000e+00 4.65277468878933e+03 0.00000000000000e+00 -5.22247740723403e+03 0.00000000000000e+00 4.65277468878943e+03 0.00000000000000e+00 1.19626828997650e+07 0.00000000000000e+00
2.00000000000000e-02 1.03662574495847e+07 4.14650297983390e+06 -3.19682625009332e+01 -1.27873050000703e+01 -4.50213569589106e+03 -1.80085427835650e+03 -3.19682625005391e+01 -1.27873050000867e+01 1.03763711401263e+07 4.15054845605051e+06 4.01101266274939e+03 1.60440506510010e+03 -4.50213569589128e+03 -1.80085427835648e+03 4.01101266274964e+03 1.60440506510017e+03 1.03126576722112e+07 4.12506306888448e+06
4.00000000000000e-02 7.33223087897457e+06 5.86578470317966e+06 -2.26116978666127e+01 -1.80893582930816e+01 -3.18443744343568e+03 -2.54754995474864e+03 -2.26116978666209e+01 -1.80893582930857e+01 7.33938446496736e+06 5.87150757197389e+06 2.83705773706634e+03 2.26964618965315e+03 -3.18443744343556e+03 -2.54754995474864e+03 2.83705773706613e+03 2.26964618965317e+03 7.29431884132011e+06 5.83545507305609e+06
6.00000000000000e-02 4.92822075472062e+06 5.91386490566474e+06 -1.51980264349432e+01 -1.82376317214375e+01 -2.14035959312906e+03 -2.56843151175380e+03 -1.51980264348488e+01 -1.82376317215443e+01 4.93302890268298e+06 5.91963468321958e+06 1.90687487245440e+03 2.28824984694500e+03 -2.14035959312912e+03 -2.56843151175370e+03 1.90687487245434e+03 2.28824984694488e+03 4.90273889334631e+06 5.88328667201557e+06
8.00000000000000e-02 3.37776928132536e+06 5.40443085012058e+06 -1.04166248597050e+01 -1.66665997751930e+01 -1.46698803573973e+03 -2.34718085718378e+03 -1.04166248597584e+01 -1.66665997751109e+01 3.38106475352429e+06 5.40970360563887e+06 1.30695918224392e+03 2.09113469159043e+03 -1.46698803573970e+03 -2.34718085718379e+03 1.30695918224386e+03 2.09113469159053e+03 3.36030418532724e+06 5.37648669652359e+06
1.00000000000000e-01 2.40497172830366e+06 4.80994345660732e+06 -7.41663690030220e+00 -1.48332738006044e+01 -1.04449548144685e+03 -2.08899096289369e+03 -7.41663690032273e+00 -1.48332738006455e+01 2.40731810450930e+06 4.81463620901859e+06 9.30554937758025e+02 1.86110987551605e+03 -1.04449548144674e+03 -2.08899096289349e+03 9.30554937758078e+02 1.86110987551616e+03 2.39253657995300e+06 4.78507315990599e+06
1.20000000000000e-01 1.77882524282815e+06 4.26918058278756e+06 -5.48567818039892e+00 -1.31656276331676e+01 -7.72555829472681e+02 -1.85413399073441e+03 -5.48567818040713e+00 -1.31656276331389e+01 1.78056072818735e+06 4.27334574764964e+06 6.88280279406376e+02 1.65187267057587e+03 -7.72555829472697e+02 -1.85413399073440e+03 6.88280279406352e+02 1.65187267057587e+03 1.76962764789423e+06 4.24710635494615e+06
1.40000000000000e-01 1.36027812686859e+06 3.80877875523204e+06 -4.19493037330696e+00 -1.17458050453909e+01 -5.90777987243622e+02 -1.65417836428244e+03 -4.19493037331312e+00 -1.17458050453703e+01 1.36160526273150e+06 3.81249473564821e+06 5.26331978369910e+02 1.47372953943552e+03 -5.90777987243622e+02 -1.65417836428244e+03 5.26331978369899e+02 1.47372953943558e+03 1.35324467191912e+06 3.78908508137352e+06
1.60000000000000e-01 1.06982728127387e+06 3.42344730007639e+06 -3.29921570285766e+00 -1.05574902489590e+01 -4.64633221284235e+02 -1.48682630810934e+03 -3.29921570284330e+00 -1.05574902489467e+01 1.07087104293118e+06 3.42678733737978e+06 4.13947926048681e+02 1.32463336335635e+03 -4.64633221284253e+02 -1.48682630810937e+03 4.13947926048670e+02 1.32463336335629e+03 1.06429563165169e+06 3.40574602128541e+06
1.80000000000000e-01 8.61379558848016e+05 3.10096641185286e+06 -2.65638857447340e+00 -9.56299886840433e+00 -3.74102966134353e+02 -1.34677067808301e+03 -2.65638857447853e+00 -9.56299886840433e+00 8.62219951471811e+05 3.10399182529852e+06 3.33293315815778e+02 1.19985593693719e+03 -3.74102966134353e+02 -1.34677067808308e+03 3.33293315815791e+02 1.19985593693724e+03 8.56925709152219e+05 3.08493255294799e+06
