# units=S/m
# energy_eV xx_real xx_imag xy_real xy_imag xz_real xz_imag yx_real yx_imag yy_real yy_imag yz_real yz_imag zx_real zx_imag zy_real zy_imag zz_real zz_imag
0.00000000000000e+00 1.22507045753329e+07 0.00000000000000e+00 -6.24075623699640e+04 0.00000000000000e+00 -3.76546441299908e+03 0.00000000000000e+00 6.16868970049047e+04 0.00000000000000e+00 1.22624559757339e+07 0.00000000000000e+00 3.74830831881291e+03 0.00000000000000e+00 -3.98551319347392e+03 0.00000000000000e+00 3.82919264764713e+03 0.00000000000000e+00 1.21912838926427e+07 0.00000000000000e+00
2.00000000000000e-02 1.06006060409105e+07 4.12369557010674e+06 -6.20164107669954e+04 -1.18563182156474e+03 -3.18490517351075e+03 -1.00016696047758e+03 6.13371843106148e+04 1.24940400330705e+03 1.06107481970735e+07 4.12771894976107e+06 3.10041929121745e+03 1.65903434527164e+03 -3.36623806591851e+03 -1.10789453327320e+03 3.16242612675509e+03 1.70362258351667e+03 1.05519937746894e+07 4.09431730364909e+06
4.00000000000000e-02 7.58483872310288e+06 5.83307994789845e+06 -6.18734931167675e+04 -1.19550292825121e+03 -2.54348763387142e+03 -1.00203398578442e+03 6.10636774887007e+04 1.53861493511188e+03 7.59204272347880e+06 5.83877011045131e+06 1.75555621740508e+03 2.44192127595732e+03 -2.64440119663623e+03 -1.16688139974408e+03 1.77039784572198e+03 2.50611032726243e+03 7.55965019983061e+06 5.78889765035035e+06
6.00000000000000e-02 5.19636465923913e+06 5.88557270161274e+06 -6.36772055741861e+04 -1.25415485271191e+03 -2.57302624017873e+03 -9.64605627966681e+02 6.22273909660606e+04 1.57876304138167e+03 5.20124657069402e+06 5.89130700268130e+06 4.11343316028543e+02 2.28130664626124e+03 -2.58479393759999e+03 -1.14939898319746e+03 3.69281399324752e+02 2.32187883618059e+03 5.19475027332393e+06 5.84237662139674e+06
8.00000000000000e-02 3.65072672511941e+06 5.38839729307088e+06 -6.62129147462517e+04 -3.50087671578580e+03 -2.60057481744774e+03 -1.37156456775583e+03 6.43624149819115e+04 3.07237685853903e+03 3.65413346742129e+06 5.39363766308565e+06 -3.03332781301643e+02 1.47942168482406e+03 -2.50800993845977e+03 -1.52060000073224e+03 -3.69461056016016e+02 1.43936262863719e+03 3.66426627110278e+06 5.35674504734621e+06
1.00000000000000e-01 2.67015762797771e+06 4.80585713260979e+06 -6.73696785125936e+04 -7.30111756824320e+03 -2.26448001031759e+03 -1.82767515840297e+03 6.58863146809904e+04 6.06552206756284e+03 2.67265172722732e+06 4.81055393028846e+06 -2.91722839186795e+02 7.86606479737446e+02 -2.12980105269901e+03 -1.87111375038810e+03 -2.79792201848621e+02 6.67748883670792e+02 2.68790215108430e+06 4.78753432132607e+06
1.20000000000000e-01 2.02602214264468e+06 4.26822036859209e+06 -6.69569978061551e+04 -1.10076267882267e+04 -1.76087490307411e+03 -2.02243741395543e+03 6.61945650782664e+04 9.54384704802946e+03 2.02791488864935e+06 4.27241800123321e+06 -8.73697373029192e+01 5.09521364992001e+02 -1.66244319425947e+03 -1.99336337008561e+03 3.02363402608694e+01 4.24842422582898e+02 2.04135551384861e+06 4.25805748905216e+06
1.40000000000000e-01 1.58869597566177e+06 3.79755067857105e+06 -6.61244139864335e+04 -1.39414784258784e+04 -1.31648885229590e+03 -2.00321758900802e+03 6.58443509804207e+04 1.27027303193850e+04 1.59023362022630e+06 3.80131202292677e+06 3.87030357167994e+01 4.30809794902256e+02 -1.24939006503819e+03 -1.94379878540729e+03 1.86834037324552e+02 4.22758271203797e+02 1.60170112046505e+06 3.79053582030166e+06
1.60000000000000e-01 1.28755517958465e+06 3.39281595738005e+06 -6.55986610563627e+04 -1.71019562851622e+04 -9.98380506193432e+02 -1.87780851056086e+03 6.54551797876928e+04 1.61291741032718e+04 1.28892847629101e+06 3.39632155396106e+06 7.29014550496487e+01 4.14253008698629e+02 -9.63256464867227e+02 -1.77130968137684e+03 2.23365278369557e+02 4.64074829925212e+02 1.29995453255521e+06 3.38757380540624e+06
1.80000000000000e-01 1.07915700910585e+06 3.05095705853146e+06 -6.42214022594289e+04 -2.13995813326498e+04 -7.85513808948041e+02 -1.75457275031425e+03 6.40750611510122e+04 2.05247506281673e+04 1.08027526347766e+06 3.05448331245383e+06 5.74260389241341e+01 3.68640747670466e+02 -8.49433403954530e+02 -1.60635396458828e+03 1.92933043327800e+02 4.88963479361355e+02 1.09201881518009e+06 3.04791977180485e+06
